bootstrap_sample,xi_estimate
1,-0.0364066496333406
2,-0.22377899162636194
3,-0.25342913091708796
4,-0.1640362594083698
5,-0.21000776657479137
6,-0.056527195326146785
7,-0.10251852370287817
8,-0.131702982427426
9,-0.15222934856666098
10,-0.1100711144763552
11,-0.16650597579770157
12,-0.19234681003079335
13,-0.1111571432406071
14,-0.16520933661451656
15,-0.1780803914190423
16,-0.04897113440431888
17,-0.08467120410911877
18,-0.14854094078951843
19,-0.09998587315120397
20,-0.21291296583310743
21,-0.01846648439125126
22,-0.17528241529230898
23,-0.17866287570352835
24,-0.11306119298447803
25,-0.05862776843556157
26,-0.18141091956554628
27,-0.0849702613121811
28,-0.216768295099448
29,-0.1202604618548418
30,-0.12647704957602535
31,-0.07658692768516244
32,-0.07298841012146864
33,-0.08016750559527928
34,-0.16136461783679906
35,-0.17438777855256948
36,-0.14344151486039725
37,-0.11908020696525962
38,-0.09797126910515697
39,-0.28340021158762546
40,-0.2599977520742743
41,-0.161298201931021
42,-0.13638926180265132
43,-0.03525607794160011
44,-0.11572360187364247
45,-0.21369149572777285
46,-0.1899298324574351
47,-0.15692199654502992
48,-0.085520720837928
49,-0.14265280566533084
50,-0.13526279706450983
51,-0.15828441890406822
52,-0.2317749405296025
53,-0.1887276172396987
54,-0.06783693038374876
55,-0.15356647397867554
56,-0.07697247595139897
57,-0.226278482970443
58,-0.15358871902115312
59,-0.13293817245531372
60,-0.22974896206893874
61,-0.06651343117376071
62,-0.09031391692758434
63,-0.1631497438227778
64,-0.2470934035841686
65,-0.1739863963356404
66,-0.17215872491837486
67,-0.12560287771739562
68,-0.05633724088962677
69,-0.09194207699271437
70,-0.059354668439125555
71,-0.15340724156031033
72,-0.08084734374981965
73,-0.23056290378013355
74,-0.23245316832069896
75,-0.22361214749326536
76,-0.17390129546913485
77,-0.09574670297859789
78,-0.14153926791207522
79,-0.14291608712528814
80,-0.13097105780817336
81,-0.10188583289656025
82,-0.05709059485282824
83,-0.19560912258152457
84,-0.19174408801942322
85,-0.19081810975107688
86,-0.0437008372931611
87,-0.10294640417466205
88,-0.1444733157151597
89,-0.12973358831711185
90,-0.1864031576574004
91,-0.10137337000500432
92,-0.11007148276197665
93,-0.1063865921013173
94,-0.1517192655856232
95,-0.06857482901840237
96,-0.03905432112261306
97,-0.009474824604226568
98,-0.0937177151237243
99,-0.11836637829228012
100,-0.1884189079392405
101,-0.22959830975191603
102,-0.2666947487151105
103,-0.11302895694480389
104,-0.0539750372434529
105,-0.20377095955431487
106,-0.15922659793888072
107,-0.14879677329159385
108,-0.1795484379170081
109,-0.19316566698081283
110,-0.20645501774930586
111,-0.15238573218620238
112,-0.10699739784603668
113,-0.11243425361830664
114,-0.10375881712421403
115,-0.12786163819692786
116,-0.19805195735625686
117,-0.1409322180399274
118,-0.12889713626058985
119,-0.2261933961044711
120,-0.10024156450537589
121,-0.1006479874495643
122,-0.1403418970599956
123,-0.1713096948239807
124,-0.02564155055867487
125,-0.18055154551209612
126,-0.09758017740795875
127,-0.10726098333068482
128,-0.13952560100003839
129,-0.11213023928903171
130,-0.11276904033502905
131,-0.07529646058078639
132,-0.14595550994289663
133,-0.13542835885097976
134,-0.1467958818594373
135,-0.09920062121245074
136,-0.11380879176095053
137,-0.15217431851981977
138,-0.1848424726390723
139,-0.13830285625541475
140,-0.060437036948165906
141,-0.1593948208130837
142,-0.2409299015371767
143,-0.16875733387622444
144,-0.16840659268919772
145,-0.128186617011092
146,-0.23255944393890599
147,-0.14483675839208598
148,-0.2595021513454243
149,-0.12476960202249596
150,-0.2424223141369421
151,-0.0823077215194553
152,-0.18593860739041995
153,-0.15934041119062964
154,-0.1997748612840756
155,-0.14085466590260515
156,-0.12791224236018295
157,-0.1605251889849491
158,-0.10372852598370996
159,-0.1496068268221012
160,-0.17271984722154501
161,-0.14505268716317665
162,-0.11750154156821851
163,-0.13794021889274363
164,-0.051663792583750215
165,-0.2790225411450015
166,-0.17075260755479954
167,-0.06044384932554897
168,-0.10755532557154868
169,-0.20348533158538695
170,-0.12930016522083337
171,-0.10703816855994093
172,-0.13978261596243324
173,-0.09282367284550035
174,-0.05205573904869125
175,-0.15504477489954022
176,-0.15587189904673526
177,-0.1447932868674082
178,-0.16514507801440725
179,-0.09161958978430167
180,-0.07155961421968804
181,-0.09959124040685624
182,-0.09462401140309412
183,-0.10648226225922328
184,-0.12793612361800505
185,-0.22401607671555568
186,-0.05725203780000165
187,-0.14241839374857124
188,-0.12478672633297927
189,-0.1562989563296186
190,-0.12749632931896618
191,-0.11314897550360398
192,-0.18506884777083188
193,-0.0719854398777588
194,-0.1329201588433851
195,-0.1467388403401188
196,-0.16274540097476808
197,-0.14589086360593484
198,-0.24873243187418054
199,-0.059559681451051685
200,-0.13267435165703462
201,-0.2661649051199938
202,-0.11059007534192644
203,0.031484809439729186
204,-0.15569981966226287
205,-0.11688192738146763
206,-0.2266035658800332
207,-0.195054254572067
208,-0.0786045613425943
209,-0.1850241232501809
210,-0.11850717281601575
211,-0.08798737845875026
212,-0.11302074877103135
213,-0.1954184738670247
214,-0.14751606104147916
215,-0.1368378833020027
216,-0.22186367243868316
217,-0.21734559268625617
218,-0.17323456850103358
219,-0.1380063123601718
220,-0.19212694717220952
221,-0.14041100884061825
222,-0.08185694168180838
223,-0.13442201708251578
224,-0.1545906973471669
225,-0.13085522434050142
226,-0.14773388705475252
227,-0.19612143045499134
228,-0.2444755160687163
229,-0.179654918749595
230,-0.15070862771146282
231,-0.07960605121827774
232,-0.0798145552896672
233,-0.09566228763090491
234,-0.1629296383237131
235,-0.1077794644197258
236,-0.1383405953644704
237,-0.045549594148082656
238,-0.17583769523237336
239,-0.11690128887640351
240,-0.12359327836148301
241,-0.16160336434636385
242,-0.04685243991974773
243,-0.10843175025203904
244,-0.02167072353506405
245,-0.12979589128063518
246,-0.18967566280346915
247,-0.12976728499477558
248,-0.14360233986742188
249,-0.12205560756680733
250,-0.05520498657425272
251,-0.23605289313379668
252,-0.12978024923634895
253,-0.1697864410144468
254,-0.14751544020580204
255,-0.12660646141125506
256,-0.2281766642781603
257,-0.17973509086125927
258,-0.08464795281174717
259,-0.051066812827243034
260,-0.19039430662652326
261,-0.18986375399038719
262,-0.18360455209037554
263,-0.15443194248660963
264,-0.09338955921278166
265,-0.08128377874509851
266,-0.12503267071408236
267,-0.030240772088756945
