N,log10_N,magnitude,log10_magnitude,ln_N,ln_magnitude,theoretical_magnitude,ratio_observed_to_theoretical
10000,4.0,0.3482145579684343,-0.4581530760871707,9.210340371976182,-1.054936443307686,0.3482145579684343,1.0
31622,4.499989334334184,0.3546024076903109,-0.4502583199390879,10.36160835987009,-1.0367580954882873,0.4966993979137461,0.7139175307635244
100000,5.0,0.35596506840867603,-0.4485926181554756,11.512925464970229,-1.032922675391968,0.7085115328672548,0.5024125252670643
316227,5.499998947982042,0.3543243814330692,-0.45059896237886354,12.664215589106384,-1.037542453692156,1.0106402704850335,0.35059396679593957
1000000,6.0,0.3534157352134055,-0.4517141182015758,13.815510557964274,-1.0401101948658988,1.4416071376642796,0.24515398542352995
3162277,6.4999999093351235,0.35364037455714237,-0.45143815812050814,14.966802895697702,-1.039474773296971,2.056349339279472,0.1719748526196697
10000000,7.0,0.3539801045145761,-0.4510211468509068,16.11809565095832,-1.0385145693639761,2.9332354421307216,0.12067906293176474
31622776,7.499999991736717,0.3539817998394154,-0.4510190668796026,17.26938817842843,-1.0385097800530576,4.1840505355785504,0.08460265879424148
100000000,8.0,0.35393807700487273,-0.4510727130235246,18.420680743952364,-1.0386333048643488,5.96824886210814,0.05930350512894876
316227766,8.499999999976875,0.3539030792748678,-0.45111565859372155,19.57197329039614,-1.0387321906940945,8.51328012592045,0.04157070765207601
1000000000,9.0,0.35390369539781386,-0.4511149025150707,20.72326583694641,-1.0387304497586638,12.143585192118271,0.029143262866679037
