Comparison,Mean_1,Mean_2,Difference,t-statistic,p-value,Significant
ζ vs f_rand,0.009849617391072051,0.032025504158682,0.02217588676760995,-18.092549080039056,5.281810537115014e-33,YES
f_rand vs f_fully_rand,0.032025504158682,0.013172832136269956,0.018852672022412045,16.222929854879485,1.6359285866134905e-29,YES
"L(s,χ₄) mod5 vs f_rand",0.013198055913907993,0.032025504158682,0.01882744824477401,-14.178114883744186,1.7790935914920303e-25,YES
ζ vs L_DH,0.009849617391072051,0.01854337144743961,0.008693754056367558,-13.337090438677983,9.399354216231485e-24,YES
f_rand vs L_DH,0.032025504158682,0.01854337144743961,0.013482132711242392,11.88019071197351,1.0788688286376336e-20,YES
"f_rand vs L(s,χ_4) mod4",0.032025504158682,0.017212080204446454,0.014813423954235547,10.704058692001782,3.610619446214714e-18,YES
L_DH vs f_fully_rand,0.01854337144743961,0.013172832136269956,0.005370539311169653,10.277481031444962,3.026863813076041e-17,YES
"ζ vs L(s,χ_4) mod4",0.009849617391072051,0.017212080204446454,0.007362462813374403,-7.177377175018354,1.3779939167108023e-10,YES
"L(s,χ₄) mod5 vs L_DH",0.013198055913907993,0.01854337144743961,0.005345315533531616,-6.453898720945017,4.177127936414006e-09,YES
ζ vs f_fully_rand,0.009849617391072051,0.013172832136269956,0.003323214745197905,-4.759520503598087,6.698943411329034e-06,YES
"L(s,χ_4) mod4 vs f_fully_rand",0.017212080204446454,0.013172832136269956,0.004039248068176498,4.256803031410301,4.7552874665009035e-05,YES
"ζ vs L(s,χ₄) mod5",0.009849617391072051,0.013198055913907993,0.0033484385228359417,-3.5287394796513887,0.0006375293231037653,YES
"L(s,χ₄) mod5 vs L(s,χ_4) mod4",0.013198055913907993,0.017212080204446454,0.004014024290538461,-3.5026606447667414,0.0006955680112362429,YES
"L_DH vs L(s,χ_4) mod4",0.01854337144743961,0.017212080204446454,0.0013312912429931552,1.454476993571807,0.1490095296379026,NO
"L(s,χ₄) mod5 vs f_fully_rand",0.013198055913907993,0.013172832136269956,2.5223777638036862e-05,0.029153564729246344,0.9768014036718068,NO
