Function_Class,N_Points,CAS_mean,CAS_std,M_coh_mean,M_coh_std,R_comp_mean,R_comp_std
ζ,50,2.9168341521504035,0,1.909304139201403,0.14566815715027695,0.009849617391072003,0.0039980015064700215
"L(s,χ₄) mod5",50,3.602005701124516,0,1.7270816947854966,0.22894645115377935,0.013198055913907951,0.0053886007973473924
f_rand,50,1.007161398648151,0,1.9082653621244197,0.18995346372815267,0.03202550415868196,0.007689732630694972
L_DH,50,0.9073332087632595,0,1.994484270771951,0.1845374875463123,0.018543371447439568,0.0022937450900357595
"L(s,χ_4) mod4",50,3.69888313675259,0,1.9071290293846515,0.1744022082324107,0.01721208020444641,0.006052104573587249
f_fully_rand,50,0.9687787873104463,0,1.6288966551773763,0.16457200216567222,0.013172832136269907,0.002896872467039853
L_DH^(-0.10),50,0.9095642196563652,0,1.8601235825519273,0.17953304817146484,0.0002079463992161444,4.4533293347140065e-05
L_DH^(-0.05),50,0.9079056879482655,0,1.8244607449325838,0.22100893839493055,0.00021129270423707322,4.295677713372078e-05
L_DH^(0.00),50,0.9073332087632595,0,1.8040223714624444,0.22890935654511502,0.00021296403450268844,4.199651571856049e-05
L_DH^(0.05),50,0.9079056879482655,0,1.8095802215594394,0.22278022832603545,0.00021175505750405468,4.2669109054780635e-05
L_DH^(0.10),50,0.9095642196563652,0,1.813339335470775,0.24935654496837256,0.00021130545420175762,4.449677243150273e-05
