function,peak_id,t,mag,M_coh,R_comp
L_DH_validated_historical,0,6530.0,4.205329399425809,2.0,0.002
L_DH_validated_historical,1,5500.0,4.2186869046690845,2.0,0.002
L_DH_validated_historical,2,1570.0,4.225076141634315,2.0,0.002
L_DH_validated_historical,3,5930.0,4.2510674061584,2.0,0.002
L_DH_validated_historical,4,6750.0,4.30035291282929,2.0,0.002
L_DH_validated_historical,5,4520.0,4.434062284692005,2.0,0.002
L_DH_validated_historical,6,7830.0,4.600056363110157,2.0,0.002
L_DH_validated_historical,7,6950.0,4.622523718935526,2.0,0.002
L_DH_validated_historical,8,9510.0,4.734212617548396,2.0,0.002
L_DH_validated_historical,9,1420.0,4.740550043737719,2.0,0.002
L_DH_validated_historical,10,3650.0,4.756674313759571,2.0,0.002
L_DH_validated_historical,11,7880.0,4.858173027575408,2.0,0.002
L_DH_validated_historical,12,7340.0,4.890672263976641,2.0,0.002
L_DH_validated_historical,13,8840.0,4.994770433466834,2.0,0.002
L_DH_validated_historical,14,8500.0,5.004160966779339,2.0,0.002
L_DH_validated_historical,15,8420.0,5.042024872755509,2.0,0.002
L_DH_validated_historical,16,1820.0,5.059275687919332,2.0,0.002
L_DH_validated_historical,17,3710.0,5.18327502071557,2.0,0.002
L_DH_validated_historical,18,3110.0,5.215568174920893,2.0,0.002
L_DH_validated_historical,19,9770.0,5.230621746714174,2.0,0.002
L_DH_validated_historical,20,6610.0,5.244342311349119,2.0,0.002
L_DH_validated_historical,21,3570.0,5.295702711223464,2.0,0.002
L_DH_validated_historical,22,4860.0,5.30788026101675,2.0,0.002
L_DH_validated_historical,23,4190.0,5.358329757636169,2.0,0.002
L_DH_validated_historical,24,9860.0,5.3619205047308975,2.0,0.002
L_DH_validated_historical,25,2690.0,5.391729304195136,2.0,0.002
L_DH_validated_historical,26,9430.0,5.395780677812965,2.0,0.002
L_DH_validated_historical,27,3170.0,5.47104214055528,2.0,0.002
L_DH_validated_historical,28,8160.0,5.499936744220297,2.0,0.002
L_DH_validated_historical,29,6870.0,5.576601554662275,2.0,0.002
L_DH_validated_historical,30,9040.0,5.791404032656567,2.0,0.002
L_DH_validated_historical,31,3230.0,5.792637776661106,2.0,0.002
L_DH_validated_historical,32,3030.0,5.805114122642059,2.0,0.002
L_DH_validated_historical,33,1680.0,5.815789877072489,2.0,0.002
L_DH_validated_historical,34,2020.0,5.923170157730769,2.0,0.002
L_DH_validated_historical,35,6420.0,6.2537633765183385,2.0,0.002
L_DH_validated_historical,36,1480.0,6.287758186753448,2.0,0.002
L_DH_validated_historical,37,9970.0,6.300395914860709,2.0,0.002
L_DH_validated_historical,38,1620.0,6.4502888295050615,2.0,0.002
L_DH_validated_historical,39,8020.0,7.207701158308714,2.0,0.002
L_DH_validated_historical,40,3370.0,7.220212552103907,2.0,0.002
L_DH_validated_historical,41,8220.0,7.2206812140668735,2.0,0.002
L_DH_validated_historical,42,8360.0,7.287258269206921,2.0,0.002
L_DH_validated_historical,43,5120.0,7.321115771094629,2.0,0.002
L_DH_validated_historical,44,9910.0,7.464192776790392,2.0,0.002
L_DH_validated_historical,45,6810.0,7.5218492602253155,2.0,0.002
L_DH_validated_historical,46,9710.0,8.468027432889782,2.0,0.002
L_DH_validated_historical,47,6470.0,8.622276141254284,2.0,0.002
L_DH_validated_historical,48,4920.0,8.656089491383632,2.0,0.002
L_DH_validated_historical,49,4580.0,8.872976735866265,2.0,0.002
