function,window,t_midpoint,xi,xi_ci_lower,xi_ci_upper,ci_width
zeta,1,1950.0,-0.27389291098690305,-0.49433976459278633,-0.13548902884888528,0.35885073574390103
zeta,2,3850.0,-0.1987902613948452,-0.40540934372634163,-0.014279116170117567,0.39113022755622406
zeta,3,5750.0,-0.3286504465863946,-0.6191232042497341,0.22692624890127766,0.8460494531510118
zeta,4,7650.0,-0.05791700778894396,-0.2846422854128487,0.2512033398901114,0.5358456253029601
zeta,5,9550.0,-0.15011476502961918,-0.31912765859236897,0.02764189407279404,0.346769552665163
zeta,6,11450.0,-0.19754151558661487,-0.37522381780961456,-0.02427017646652051,0.35095364134309404
zeta,7,13350.0,-0.1373490943063177,-0.3448897883328654,0.004238668278148496,0.3491284566110139
zeta,8,15250.0,-0.14086779385778853,-0.38585978088214695,0.07577325869595283,0.46163303957809976
zeta,9,17150.0,-0.140532841326488,-0.2904237529187798,0.02267783608916816,0.313101589007948
zeta,10,19050.0,-0.05250968577770306,-0.3424509267063108,0.16573688776735404,0.5081878144736648
chi4,1,1950.0,-0.10579299225503888,-0.28253992012077433,0.1144374630450624,0.39697738316583675
chi4,2,3850.0,-0.1728486592501174,-0.3761939622276021,0.013327207758949472,0.38952116998655156
chi4,3,5750.0,-0.17673370209193456,-0.3158160561921313,0.015310653372598095,0.3311267095647294
chi4,4,7650.0,-0.031317147407538964,-0.2198387408655115,0.11250897912429723,0.3323477199898087
chi4,5,9550.0,-0.19946234548239983,-0.36864047348475903,0.07719567713524188,0.4458361506200009
chi4,6,11450.0,-0.08466014643388184,-0.29022402981423434,0.16705314333236357,0.4572771731465979
chi4,7,13350.0,-0.09006648400208428,-0.26812842547792176,0.06567065722509532,0.33379908270301706
chi4,8,15250.0,-0.19570387633137765,-0.3970719035436184,-0.012980536298018278,0.3840913672456001
chi4,9,17150.0,-0.09281615233650775,-0.2595611622528529,0.07072712945327601,0.33028829170612894
chi4,10,19050.0,0.03351435334961417,-0.16640598859829472,0.2263889994801458,0.3927949880784405
ldh,1,1950.0,-0.0912402975117049,-0.3193415077813406,0.13759478855634785,0.4569362963376884
ldh,2,3850.0,-0.05605267287539003,-0.20963497766622183,0.07792747628387976,0.2875624539501016
ldh,3,5750.0,-0.10160264546515513,-0.2851655401860769,0.026233630470294925,0.31139917065637185
ldh,4,7650.0,-0.055422769941441616,-0.18500670764455582,0.08248492335540848,0.2674916309999643
ldh,5,9550.0,-0.05481512818152991,-0.2114186928639772,0.08101178850829756,0.29243048137227473
ldh,6,11450.0,-0.1955280371324442,-0.4535458846382147,-0.038538264803634203,0.4150076198345805
ldh,7,13350.0,0.02543451864634659,-0.16768473357245223,0.21880687808679675,0.38649161165924895
ldh,8,15250.0,0.022833604486992995,-0.13361674745521085,0.25503072129427784,0.3886474687494887
ldh,9,17150.0,-0.0954258657942906,-0.25115484885258704,0.06834803822997937,0.3195028870825664
ldh,10,19050.0,0.06360425243882531,-0.10561605369399604,0.2270400604585402,0.33265611415253626
