function,M_max_magnitude,t_at_max,V_mean_square,K_kurtosis,RS_resonance_score,mean_magnitude,std_magnitude,n_points,N
L_DH,4.153125177378411,84.0931290615255,3.696873938592094,2.282301863550305,2.1600196418235487,1.6604011170142243,0.9489145167489249,18,10000
L_DH_perturbed,4.16538129157636,84.0931290615255,3.719249083357649,2.282064463653285,2.159867600445848,1.6655090544482791,0.9515789938305865,18,10000
L_chi4,3.2301708509731513,86.13969359228825,2.7070631878477758,2.297151084958555,1.9632531239778055,1.2851680621768726,0.9826284540364928,18,10000
f_rand,10.932565812522988,85.45750541536734,8.994744369408568,10.516686166987565,3.6452530986966907,1.7856870578027448,2.354374737535311,18,10000
zeta,5.497617751286742,90.91501083073467,9.686840251214715,1.9230360828351933,1.766377285209314,2.7769729563861723,1.4030483478126723,18,10000
L_DH,4.109967351698891,84.3660043322939,6.263664613376535,1.9057827454996559,1.642192726537982,2.0178993082219807,1.1698639824200574,6,100000
L_DH_perturbed,4.122420352732576,84.3660043322939,6.301832869168329,1.9056217759882195,1.642172719154851,2.0240064880475663,1.1734160953199098,6,100000
L_chi4,2.093791148494236,88.7320086645878,2.0515138091436014,1.528840150553468,1.4618275322189285,1.1304674725197676,0.6697242787071235,6,100000
f_rand,2.661173048116212,80.0,2.57250133722547,2.140872983521159,1.659186906229646,1.4352640686646405,0.9949604490569639,6,100000
zeta,5.597296433130169,82.18300216614695,18.426410979807166,1.171724943818579,1.3039409698725812,4.073433136429705,0.996650525870166,6,100000
