n,a_n_real,a_n_imag,a_n_magnitude,omega_n,is_squarefree
1,1.0,0.0,1.0,0,True
2,0.1986028939392892,0.0,0.1986028939392892,1,True
3,-0.1986028939392892,0.0,0.1986028939392892,1,True
4,0.0,0.0,0.0,0,False
5,0.0,0.0,0.0,0,True
6,1.0,0.0,1.0,2,True
7,0.1986028939392892,0.0,0.1986028939392892,1,True
8,0.0,0.0,0.0,0,False
9,0.0,0.0,0.0,0,False
10,0.0,0.0,0.0,0,True
11,1.0,0.0,1.0,1,True
12,0.0,0.0,0.0,0,False
13,-0.1986028939392892,0.0,0.1986028939392892,1,True
14,-1.0,0.0,1.0,2,True
15,0.0,0.0,0.0,0,True
16,0.0,0.0,0.0,0,False
17,0.1986028939392892,0.0,0.1986028939392892,1,True
18,0.0,0.0,0.0,0,False
19,-1.0,0.0,1.0,1,True
20,0.0,0.0,0.0,0,False
21,1.0,0.0,1.0,2,True
22,0.1986028939392892,0.0,0.1986028939392892,2,True
23,-0.1986028939392892,0.0,0.1986028939392892,1,True
24,0.0,0.0,0.0,0,False
25,0.0,0.0,0.0,0,False
26,1.0,0.0,1.0,2,True
27,0.0,0.0,0.0,0,False
28,0.0,0.0,0.0,0,False
29,-1.0,0.0,1.0,1,True
30,0.0,0.0,0.0,0,True
31,1.0,0.0,1.0,1,True
32,0.0,0.0,0.0,0,False
33,-0.1986028939392892,0.0,0.1986028939392892,2,True
34,-1.0,0.0,1.0,2,True
35,0.0,0.0,0.0,0,True
36,0.0,0.0,0.0,0,False
37,0.1986028939392892,0.0,0.1986028939392892,1,True
38,-0.1986028939392892,0.0,0.1986028939392892,2,True
39,-1.0,0.0,1.0,2,True
40,0.0,0.0,0.0,0,False
41,1.0,0.0,1.0,1,True
42,0.1986028939392892,0.0,0.1986028939392892,3,True
43,-0.1986028939392892,0.0,0.1986028939392892,1,True
44,0.0,0.0,0.0,0,False
45,0.0,0.0,0.0,0,False
46,1.0,0.0,1.0,2,True
47,0.1986028939392892,0.0,0.1986028939392892,1,True
48,0.0,0.0,0.0,0,False
49,0.0,0.0,0.0,0,False
50,0.0,0.0,0.0,0,False
51,1.0,0.0,1.0,2,True
52,0.0,0.0,0.0,0,False
53,-0.1986028939392892,0.0,0.1986028939392892,1,True
54,0.0,0.0,0.0,0,False
55,0.0,0.0,0.0,0,True
56,0.0,0.0,0.0,0,False
57,0.1986028939392892,0.0,0.1986028939392892,2,True
58,-0.1986028939392892,0.0,0.1986028939392892,2,True
59,-1.0,0.0,1.0,1,True
60,0.0,0.0,0.0,0,False
61,1.0,0.0,1.0,1,True
62,0.1986028939392892,0.0,0.1986028939392892,2,True
63,0.0,0.0,0.0,0,False
64,0.0,0.0,0.0,0,False
65,0.0,0.0,0.0,0,True
66,1.0,0.0,1.0,3,True
67,0.1986028939392892,0.0,0.1986028939392892,1,True
68,0.0,0.0,0.0,0,False
69,-1.0,0.0,1.0,2,True
70,0.0,0.0,0.0,0,True
71,1.0,0.0,1.0,1,True
72,0.0,0.0,0.0,0,False
73,-0.1986028939392892,0.0,0.1986028939392892,1,True
74,-1.0,0.0,1.0,2,True
75,0.0,0.0,0.0,0,False
76,0.0,0.0,0.0,0,False
77,0.1986028939392892,0.0,0.1986028939392892,2,True
78,-0.1986028939392892,0.0,0.1986028939392892,3,True
79,-1.0,0.0,1.0,1,True
80,0.0,0.0,0.0,0,False
81,0.0,0.0,0.0,0,False
82,0.1986028939392892,0.0,0.1986028939392892,2,True
83,-0.1986028939392892,0.0,0.1986028939392892,1,True
84,0.0,0.0,0.0,0,False
85,0.0,0.0,0.0,0,True
86,1.0,0.0,1.0,2,True
87,0.1986028939392892,0.0,0.1986028939392892,2,True
88,0.0,0.0,0.0,0,False
89,-1.0,0.0,1.0,1,True
90,0.0,0.0,0.0,0,False
91,1.0,0.0,1.0,2,True
92,0.0,0.0,0.0,0,False
93,-0.1986028939392892,0.0,0.1986028939392892,2,True
94,-1.0,0.0,1.0,2,True
95,0.0,0.0,0.0,0,True
96,0.0,0.0,0.0,0,False
97,0.1986028939392892,0.0,0.1986028939392892,1,True
98,0.0,0.0,0.0,0,False
99,0.0,0.0,0.0,0,False
100,0.0,0.0,0.0,0,False
101,1.0,0.0,1.0,1,True
102,0.1986028939392892,0.0,0.1986028939392892,3,True
103,-0.1986028939392892,0.0,0.1986028939392892,1,True
