Metric,Riemann ζ,f_rand,Ratio (ζ/f_rand)
Sample Size,10001.0,10001.0,1.0
Minimum,0.02106177607331614,0.009808471146874486,2.147304687747139
Maximum,11.216253043751205,40.84209445353207,0.27462482504447594
Mean,1.8066671535682555,2.139974561971506,0.8442470231533115
Std Dev,1.8446860128915556,2.683802192155273,0.6873405269149695
Median (50th %ile),1.185327800820952,1.3160606525588612,0.9006635055278639
90th Percentile,4.188056580466954,4.584756971258909,0.9134740634500792
95th Percentile,5.789912871396483,6.697788577755156,0.8644514236573652
99th Percentile,8.853246695826314,13.14449463511452,0.6735326797711596
99.9th Percentile,10.770663726316483,27.441667281880513,0.39249305137622803
99.99th Percentile,11.207655868164473,39.109554972654635,0.2865707849654862
Kurtosis (Pearson),7.3834320079259825,38.84843557472604,0.19005738323036836
Excess Kurtosis,4.3834320079259825,35.84843557472604,0.12227680058140114
