Function,Peak_Index,t_value,Peak_Magnitude,M_coh,R_comp,CAS,Class
ζ,0,9654.0,15.7101883527759,2.001095276872932,0.0082794774398539,0.0,Multiplicative
ζ,1,9826.0,15.661042671425465,2.03428685255509,0.0083034493313627,0.0,Multiplicative
ζ,2,7578.0,15.417136197372878,1.831266972356686,0.0050412474694445,0.0,Multiplicative
ζ,3,6726.0,15.22203910895705,1.835912212009548,0.0053357106268181,0.0,Multiplicative
ζ,4,8476.0,15.122170302935023,1.9420321656472128,0.01107876539652,0.0,Multiplicative
ζ,5,8647.0,15.057177432153988,2.0035325074962387,0.0124244723898365,0.0,Multiplicative
ζ,6,4478.0,14.597083731039843,1.7294654650934174,0.003483566780311,0.0,Multiplicative
ζ,7,8956.0,14.437149928026123,1.911766556172104,0.005275287984615,0.0,Multiplicative
ζ,8,9128.0,14.28715705487269,1.921840526321203,0.0048599412135698,0.0,Multiplicative
ζ,9,9174.0,14.006106498258807,1.9773487899159077,0.0165310746915481,0.0,Multiplicative
ζ,10,7995.0,14.003412804617517,1.8210784645972644,0.0092841817217824,0.0,Multiplicative
ζ,11,5919.0,13.8901475607157,2.0950732646938253,0.0124321512705859,0.0,Multiplicative
ζ,12,8104.0,13.853991703073955,2.028771711907406,0.0157358225083991,0.0,Multiplicative
ζ,13,6445.0,13.841536139294654,1.9479799774591424,0.0064545054763769,0.0,Multiplicative
ζ,14,5176.0,13.822522420251406,1.7388715901916632,0.0023635619556649,0.0,Multiplicative
ζ,15,6028.0,13.709718143622512,1.805366331418388,0.0039934517458961,0.0,Multiplicative
ζ,16,4759.0,13.557547604547771,2.040413134836931,0.0104074670919755,0.0,Multiplicative
ζ,17,9545.0,13.54038481284411,1.6821968159671228,0.0048914657102808,0.0,Multiplicative
ζ,18,3100.0,13.397819142829414,1.6943853382202176,0.0034228117302654,0.0,Multiplicative
ζ,19,9436.0,13.16602833114801,1.9803381430220497,0.0104729327723891,0.0,Multiplicative
ζ,20,7859.0,12.977044711434486,1.967785174373201,0.0136482286208943,0.0,Multiplicative
ζ,21,5828.0,12.924921938067351,2.088203479437208,0.0123265027544002,0.0,Multiplicative
ζ,22,3626.0,12.829039504067635,1.8315119029274207,0.0066248720040958,0.0,Multiplicative
ζ,23,3826.0,12.814091105524929,1.9478038279813543,0.0098795018315237,0.0,Multiplicative
ζ,24,7378.0,12.792926434164604,1.7488420213979785,0.0125283770041155,0.0,Multiplicative
ζ,25,9328.0,12.737549781442388,1.9208835006952087,0.0091181881982881,0.0,Multiplicative
ζ,26,4895.0,12.732508443550213,2.016948283715565,0.0108232484675031,0.0,Multiplicative
ζ,27,8893.0,12.703729317551918,1.8184529820127928,0.0125103270390796,0.0,Multiplicative
ζ,28,5267.0,12.658434467859497,1.930875797259297,0.0134000130239197,0.0,Multiplicative
ζ,29,5130.0,12.640744026566924,2.042183504738838,0.0129289432921826,0.0,Multiplicative
ζ,30,6617.0,12.63798732755539,1.82072389611852,0.0116914634017432,0.0,Multiplicative
ζ,31,8757.0,12.610763812876325,2.053990324674138,0.0172053361616215,0.0,Multiplicative
ζ,32,2819.0,12.591252809228596,1.9475536986765407,0.0080349434787624,0.0,Multiplicative
ζ,33,8385.0,12.53713771550222,2.0413669447917564,0.0115980228373359,0.0,Multiplicative
ζ,34,9745.0,12.469717358104011,1.8671380580558887,0.0146666544310485,0.0,Multiplicative
ζ,35,7714.0,12.390232941900884,1.7865217657562638,0.0042617398701638,0.0,Multiplicative
ζ,36,5657.0,12.341807899705074,1.9386219150755424,0.0110912867220059,0.0,Multiplicative
ζ,37,3517.0,12.279777127326572,2.019394002879125,0.0111420247880129,0.0,Multiplicative
ζ,38,6137.0,12.27522183058042,1.7770597550245075,0.0051422806662754,0.0,Multiplicative
ζ,39,7469.0,12.20336702728931,1.6873703939174998,0.0106543504038263,0.0,Multiplicative
ζ,40,6200.0,12.176673816298091,1.5964713974749425,0.0093319795916257,0.0,Multiplicative
ζ,41,3209.0,12.076019034447055,1.9032654203145425,0.0069153368377656,0.0,Multiplicative
ζ,42,6926.0,12.066703062411868,1.5311106012738993,0.0096767838412213,0.0,Multiplicative
ζ,43,8230.0,11.966675097220651,1.7521046921454768,0.0162653452295496,0.0,Multiplicative
ζ,44,5411.0,11.950245839415334,2.1702205969901613,0.0161264907894359,0.0,Multiplicative
ζ,45,5747.0,11.852138434491156,2.086294272723205,0.0104384745331105,0.0,Multiplicative
ζ,46,6074.0,11.84501709803113,2.0630644388405,0.0106294045015211,0.0,Multiplicative
ζ,47,7143.0,11.74770606906188,1.8384379748817443,0.0045216908689068,0.0,Multiplicative
ζ,48,6645.0,11.698417220189407,2.15761742172922,0.0125697501068825,0.0,Multiplicative
ζ,49,7452.0,11.686447072556229,2.0903668174334604,0.016657962949287,0.0,Multiplicative
"L(s,χ₄) mod5",0,8788.0,16.863867096536826,2.065634246355823,0.0193221630160733,4.3979356657055035,Multiplicative
"L(s,χ₄) mod5",1,8335.0,16.64311158621271,1.8869299910514576,0.0181437108488059,4.3979356657055035,Multiplicative
"L(s,χ₄) mod5",2,7764.0,16.586349411998782,1.6606056122997688,0.0050034370815239,4.3979356657055035,Multiplicative
"L(s,χ₄) mod5",3,6912.0,16.193796605098697,1.8900785290972693,0.0202348390374313,4.3979356657055035,Multiplicative
"L(s,χ₄) mod5",4,6540.0,16.0337375707963,1.8323563286267812,0.0104368635886907,4.3979356657055035,Multiplicative
"L(s,χ₄) mod5",5,3286.0,15.70498933428435,1.8330270523100007,0.0109118025705087,4.3979356657055035,Multiplicative
"L(s,χ₄) mod5",6,7392.0,15.626444569063851,1.945046739440956,0.0116687144790434,4.3979356657055035,Multiplicative
"L(s,χ₄) mod5",7,8988.0,15.318066736542775,1.9446816848181487,0.0162709554130133,4.3979356657055035,Multiplicative
"L(s,χ₄) mod5",8,9033.0,15.145833494484606,1.8391286634992428,0.0131212688363911,4.3979356657055035,Multiplicative
"L(s,χ₄) mod5",9,8616.0,14.935774491187743,1.9311260740097715,0.0093221312404679,4.3979356657055035,Multiplicative
"L(s,χ₄) mod5",10,5081.0,14.879558802200224,2.058645991619848,0.0133069840170605,4.3979356657055035,Multiplicative
"L(s,χ₄) mod5",11,5516.0,14.352833761946808,1.871878985774613,0.0136366700749296,4.3979356657055035,Multiplicative
"L(s,χ₄) mod5",12,3857.0,14.34088092470894,1.9095437794013388,0.0077059574003821,4.3979356657055035,Multiplicative
"L(s,χ₄) mod5",13,4790.0,14.146137159622649,1.9353732533877035,0.0132325880909305,4.3979356657055035,Multiplicative
"L(s,χ₄) mod5",14,6105.0,13.939697245789638,1.9468962936131695,0.0133805027778914,4.3979356657055035,Multiplicative
"L(s,χ₄) mod5",15,3766.0,13.933829689359149,1.9800627225873213,0.0188676484387528,4.3979356657055035,Multiplicative
"L(s,χ₄) mod5",16,1564.0,13.922064676511477,1.914414090247818,0.0137918488392967,4.3979356657055035,Multiplicative
"L(s,χ₄) mod5",17,8181.0,13.591952410611018,1.5628262934357036,0.0135737192609822,4.3979356657055035,Multiplicative
