Lag,Riemann_zeta_ACF,L_chi5_ACF,Validated_L_DH_ACF
0,1.0,1.0,1.0
1,0.99999,-0.25,-0.00257
2,0.99998,-0.2500125,0.00486
3,0.99997,-0.249975,-0.00137
4,0.99996,-0.2499875,0.00096
5,0.99995,0.99995,-0.00135
6,0.99994,-0.2499875,-0.00498
7,0.99993,-0.25,-0.00019
8,0.99992,-0.2499625,0.00206
9,0.99991,-0.249975,0.00041
10,0.9999,0.9999,-0.00754
11,0.99989,-0.249975,0.00357
12,0.99988,-0.2499875,-0.00758
13,0.99987,-0.24995,-0.00075
14,0.99986,-0.2499625,0.0026
15,0.99985,0.99985,-0.00133
16,0.99984,-0.2499625,0.0016
17,0.99983,-0.249975,-0.00277
18,0.99982,-0.2499375,0.00018
19,0.99981,-0.24995,-0.00617
20,0.9998,0.9998,-0.00108
21,0.99979,-0.24995,0.00649
22,0.99978,-0.2499625,0.00354
23,0.99977,-0.249925,0.00099
24,0.99976,-0.2499375,-0.00258
25,0.99975,0.99975,-0.00373
26,0.99974,-0.2499375,0.0007
27,0.99973,-0.24995,0.00227
28,0.99972,-0.2499125,0.0041
29,0.99971,-0.249925,-0.00579
30,0.9997,0.9997,0.00256
31,0.99969,-0.249925,-0.00211
32,0.99968,-0.2499375,-0.00488
33,0.99967,-0.2499,0.00113
34,0.99966,-0.2499125,-0.00276
35,0.99965,0.99965,0.01333
36,0.99964,-0.2499125,-0.002
37,0.99963,-0.249925,-0.00105
38,0.99962,-0.2498875,-0.0028
39,0.99961,-0.2499,0.00253
40,0.9996,0.9996,-0.00726
41,0.99959,-0.2499,-0.00467
42,0.99958,-0.2499125,-0.0047
43,0.99957,-0.249875,-0.00097
44,0.99956,-0.2498875,0.0079
45,0.99955,0.99955,-0.00067
46,0.99954,-0.2498875,0.00468
47,0.99953,-0.2499,-0.00593
48,0.99952,-0.2498625,-0.00272
49,0.99951,-0.249875,-0.00675
50,0.9995,0.9995,0.001
51,0.99949,-0.249875,0.00753
52,0.99948,-0.2498875,0.00052
53,0.99947,-0.24985,0.00083
54,0.99946,-0.2498625,0.00022
55,0.99945,0.99945,0.00461
56,0.99944,-0.2498625,0.00246
57,0.99943,-0.249875,-0.00165
58,0.99942,-0.2498375,0.00506
59,0.99941,-0.24985,0.00137
60,0.9994,0.9994,0.00102
61,0.99939,-0.24985,0.00159
62,0.99938,-0.2498625,0.00212
63,0.99937,-0.249825,0.00469
64,0.99936,-0.2498375,0.00062
65,0.99935,0.99935,0.00439
66,0.99934,-0.2498375,-0.00032
67,0.99933,-0.24985,-0.00165
68,0.99932,-0.2498125,0.00338
69,0.99931,-0.249825,0.00465
70,0.9993,0.9993,-0.01434
71,0.99929,-0.249825,-0.00341
72,0.99928,-0.2498375,-0.00148
73,0.99927,-0.2498,0.00101
74,0.99926,-0.2498125,8e-05
75,0.99925,0.99925,0.00157
76,0.99924,-0.2498125,-0.00222
77,0.99923,-0.249825,0.00037
78,0.99922,-0.2497875,-0.00204
79,0.99921,-0.2498,-0.00013
80,0.9992,0.9992,-0.00532
81,0.99919,-0.2498,0.00195
82,0.99918,-0.2498125,0.00554
83,0.99917,-0.249775,0.00373
84,0.99916,-0.2497875,-0.00478
85,0.99915,0.99915,0.00189
86,0.99914,-0.2497875,0.00098
87,0.99913,-0.2498,0.00149
88,0.99912,-0.2497625,0.00226
89,0.99911,-0.249775,0.00083
90,0.9991,0.9991,0.00264
91,0.99909,-0.249775,-0.00121
92,0.99908,-0.2497875,0.00224
93,0.99907,-0.24975,-0.00169
94,0.99906,-0.2497625,0.00164
95,0.99905,0.99905,0.00021
96,0.99904,-0.2497625,-0.00176
97,0.99903,-0.249775,0.00075
98,0.99902,-0.2497375,0.0057
99,0.99901,-0.24975,0.00437
100,0.999,0.999,-0.00078
101,0.99899,-0.24975,-0.00085
