function,N,T,n_samples,max_magnitude,mean_square,std_magnitude,kurtosis,resonance_score,mean_magnitude,median_magnitude,computation_time
zeta,10000,100.0,147,5.772646012627754,4.1734616995825355,1.2440381696425,3.278123412206422,2.825704287509708,1.6204415237999408,1.2167887991959003,0.33620500564575195
zeta,10000,1000.0,1466,11.135385041487085,6.514729102658369,1.8377965042410527,5.814751722681072,4.362717159287877,1.7712236198904239,1.119672245625343,3.2799038887023926
zeta,100000,100.0,184,7.907159651883629,13.922656682655207,1.4416018124821055,1.7988630345469547,2.1191390313869687,3.4415753510425304,3.121379782156407,4.145317792892456
zeta,100000,1000.0,1833,11.164834769887586,7.038176861965943,1.8653411707781626,5.483229031549459,4.208450392587267,1.8864461769597074,1.262068281874447,41.82713532447815
chi4,10000,100.0,147,8.421561745310463,5.31600349484592,1.5858807425490324,5.010591694115929,3.6525822834143216,1.673614580857268,1.1921139097721203,0.3288264274597168
chi4,10000,1000.0,1466,14.401191058507097,7.199013331959555,1.9868996543879434,7.263251690149088,5.367374804979602,1.8031203773882167,1.1698363789719743,3.299623489379883
chi4,100000,100.0,184,9.070429039106424,5.308993106492721,1.596834558389399,5.071548802032422,3.9366041804290797,1.6610576448835408,1.1163920122743098,4.2532854080200195
chi4,100000,1000.0,1833,13.61775507659755,7.206600952299734,1.986720123310508,6.9282193809116785,5.0727128792185,1.8054207553733321,1.1275545648649896,42.15170454978943
dh,10000,100.0,147,4.574590592136051,3.4889287151451267,1.1061678351383608,2.53505817966487,2.4490981171207413,1.5050984803827419,1.3751763234471033,0.34432029724121094
dh,10000,1000.0,1466,8.067058303814303,4.508968083869841,1.3133392660514922,3.623135383003366,3.799064046443212,1.6685646694441207,1.3853623512750104,3.3060779571533203
dh,100000,100.0,184,4.36661697405271,3.4735806171967676,1.0939515315381503,2.551206166718559,2.3429143225412337,1.5089236772753296,1.414811576687857,4.345266819000244
dh,100000,1000.0,1833,8.099419924999117,4.518813242536112,1.3231441640859054,3.529665353194424,3.8101468957557394,1.6637616306374907,1.336089624140393,42.61355686187744
rand,10000,100.0,147,15.891168154408703,9.990971311563369,2.250869488795788,8.246533393579588,5.027498703352998,2.219134483525403,1.5744022231462989,0.35805392265319824
rand,10000,1000.0,1466,23.827044397487388,9.695858744093734,2.342188681389895,12.312503844888635,7.652036521745813,2.05183111509276,1.344497838934184,3.3533170223236084
rand,100000,100.0,184,21.505656428833788,13.497418472350912,2.878280812847625,13.17865582343272,5.85365802241705,2.2831815597416094,1.3587466175454712,4.678067445755005
rand,100000,1000.0,1833,26.523808251517956,11.981210959589921,2.6617446856541784,14.261194632055865,7.6627652673137066,2.2127643769686967,1.3785044349197495,42.43497133255005
dh_perturbed,10000,100.0,147,4.588935184697784,3.510860008927688,1.1083774650090044,2.5345233182907037,2.4490923808573557,1.5107479617685742,1.3799021754509262,0.34190845489501953
dh_perturbed,10000,1000.0,1466,8.09242159662583,4.53761096238346,1.3166253649558612,3.6228778815479803,3.7989613159689264,1.6745472853097656,1.3909998342206675,3.307497024536133
dh_perturbed,100000,100.0,184,4.380290146370962,3.495452117886033,1.0962846123490904,2.5506838507806586,2.3428862309051053,1.51446761821197,1.4189941498129286,4.3678343296051025
dh_perturbed,100000,1000.0,1833,8.124755231077788,4.5474820453309865,1.326403583220312,3.5293399875685316,3.8099983679550893,1.6697711159770678,1.340767288854481,41.9319794178009
