Rank,t,|D(t)|,M
1,8475.830648,16.225231,0.534718
2,6925.658406,15.951921,0.520676
3,9825.980665,15.693298,0.491115
4,9653.961551,15.581955,0.501464
5,9173.908212,15.320991,0.489538
6,7577.730859,14.415823,0.552113
7,5547.505278,14.267395,0.576877
8,6508.612068,14.124440,0.514078
9,9127.903100,14.078831,0.524100
10,8955.883987,13.953072,0.541739
11,7097.677520,13.913883,0.540944
12,6199.577731,13.716524,0.518477
13,8892.876986,13.533292,0.475670
14,8756.861874,13.445410,0.498305
15,7206.689632,13.301387,0.546770
16,6273.585954,13.230313,0.467690
17,7858.762085,13.202929,0.481051
18,7823.758195,13.135341,0.483701
19,4278.364263,13.134263,0.525426
20,4169.352150,13.132731,0.539724
