function,N,log_N,M_F,log_M_F,t_max
zeta,10000,9.210340371976182,8.75063450126658,2.169126212170945,10.0
zeta,100000,11.512925464970229,32.99376883234055,3.496318720374716,10.0
zeta,1000000,13.815510557964274,99.73324211459251,4.602499042805382,10.0
L_chi4,10000,9.210340371976182,4.844069107496485,1.57775509220685,50.0
L_chi4,100000,11.512925464970229,4.844087215587178,1.5777588303981198,50.0
L_chi4,1000000,13.815510557964274,4.844087220059636,1.5777588313214017,50.0
f_rand,10000,9.210340371976182,11.383067225107727,2.4321269200717293,85.5
f_rand,100000,11.512925464970229,12.793053533471918,2.548902330917084,85.5
f_rand,1000000,13.815510557964274,12.530918194774348,2.528199045933792,85.5
L_DH,10000,9.210340371976182,3.8712474638030057,1.3535767971686077,84.0
L_DH,100000,11.512925464970229,3.8724812434988376,1.3538954497849134,84.0
L_DH,1000000,13.815510557964274,3.874503177447062,1.3544174423136885,84.0
