function,N,t,t_region,D_real,D_imag,D_magnitude
zeta,10000,80.0,peak_85.7,1.459922645821277,1.7904193922170202,2.310189544563078
zeta,10000,80.5,peak_85.7,2.277470118357916,3.6541757539892172,4.305794999887464
zeta,10000,81.0,peak_85.7,2.670486683435412,0.6232492422747875,2.7422506713285646
zeta,10000,81.5,peak_85.7,3.5898931239118537,-2.857197453887751,4.588127061406675
zeta,10000,82.0,peak_85.7,2.3959111325063125,-2.0497667219273734,3.1530832163437377
zeta,10000,82.5,peak_85.7,-0.6780836044476841,-0.06808362888057265,0.6814930338178894
zeta,10000,83.0,peak_85.7,-0.8866971617740296,-0.43181844881610515,0.9862550529330973
zeta,10000,83.5,peak_85.7,1.7858207367477619,-0.8564099086850543,1.9805538708887125
zeta,10000,84.0,peak_85.7,1.8903161699495827,0.19329009228154492,1.900172697979599
zeta,10000,84.5,peak_85.7,-0.6932807982139826,0.3504062052530674,0.776802918282412
zeta,10000,85.0,peak_85.7,-0.5426250169328553,-0.3883075499011937,0.6672515734800852
zeta,10000,85.5,peak_85.7,2.2297729741132435,0.344449000295586,2.256220873471932
zeta,10000,86.0,peak_85.7,2.421904410069974,1.0612588674804893,2.644218477229588
zeta,10000,86.5,peak_85.7,0.21668169277475244,-0.6595273836008183,0.694209857105957
zeta,10000,87.0,peak_85.7,-0.02051513323507512,-1.9255690727122066,1.925678354366949
zeta,10000,87.5,peak_85.7,1.188311561849825,0.010473988390534664,1.1883577207469036
zeta,10000,88.0,peak_85.7,0.6023952058728045,1.4824902875771437,1.600205435817258
zeta,10000,88.5,peak_85.7,-0.5999082645791303,-0.21082950015142085,0.6358765635282069
zeta,10000,89.0,peak_85.7,-0.06817974256503481,-0.7600907738682184,0.763142491161265
zeta,10000,89.5,peak_85.7,0.8634518858934342,2.330217031215664,2.4850473983046024
zeta,10000,90.0,peak_85.7,1.3904336749921307,3.9315042731921475,4.170135687802046
zeta,10000,90.5,peak_85.7,3.1828415160808254,0.8736308421892611,3.3005622195183664
