epsilon,peak_index,t_value,magnitude,M_coh,R_comp
-0.1,0.0,8646.0,15.349779797287097,1.375669592839036,0.011437665400632548
-0.1,1.0,1706.0,14.010194845066039,1.4851629722773212,0.010862784962762473
-0.1,2.0,5978.0,13.751467973255831,0.916632432703762,0.02428357165825642
-0.1,3.0,8878.0,13.284729323001814,1.400904683416805,0.012600436470164716
-0.1,4.0,3210.0,12.547565190959224,1.394532084640478,0.010435569493120932
-0.1,5.0,8400.0,12.289170034662366,1.3393844069408545,0.010801325492269682
-0.1,6.0,9560.0,12.288649492807052,1.3878662514983569,0.015805647432190165
-0.1,7.0,4518.0,12.205868637116268,1.523523858374892,0.010766439751497228
-0.1,8.0,1906.0,11.975639505642599,1.4105721893798087,0.00891339337880952
-0.1,9.0,6506.0,11.779131103237575,1.4946145950363445,0.010678526844480113
-0.1,10.0,4122.0,11.694746507258152,1.404126766146836,0.005083453706990772
-0.1,11.0,3908.0,11.49416522923413,1.4701376784234945,0.008947087527213515
-0.1,12.0,4990.0,11.38465501774848,1.2347297773759986,0.012938009952652917
-0.1,13.0,3196.0,11.283837689160332,1.4524131398979694,0.005487873381466823
-0.1,14.0,4760.0,11.261202470292138,1.373659025218335,0.010055714752807907
-0.1,15.0,6896.0,11.200286228121819,1.2958806457640184,0.012919150409257583
-0.1,16.0,8496.0,11.157664064529765,1.1511316502954791,0.012765874636179314
-0.1,17.0,2668.0,10.49240000453607,1.401213363597179,0.006857327827339155
-0.1,18.0,1268.0,10.440313002072516,1.3338613191090263,0.00797097264119097
-0.1,19.0,4184.0,10.301132914148228,1.4119460118393121,0.004831524987432492
-0.1,20.0,5808.0,10.258081620090131,1.431950081080366,0.006741760557366243
-0.1,21.0,4504.0,10.23961885379026,1.4772125342295743,0.005894602848512218
-0.1,22.0,8120.0,10.200599775533227,1.2596710321401092,0.005440237155644357
-0.1,23.0,6542.0,9.905538767224394,1.4638379312763192,0.005611783568159292
-0.1,24.0,6398.0,9.841830821691566,1.447407847071263,0.0037737884795621844
-0.1,25.0,5794.0,9.724905984763337,1.453463385341089,0.00850864701530204
-0.1,26.0,2182.0,9.654208986211096,1.4916719710293114,0.008444536821981586
-0.1,27.0,2434.0,9.56706429497773,0.8113799954602402,0.011012110360534089
-0.1,28.0,9936.0,9.557707219516146,1.2811968940603917,0.005039205972763889
-0.1,29.0,2894.0,9.491553814377516,1.4651757940424435,0.00465309960400561
-0.1,30.0,9034.0,9.43504122298269,1.4050875364492301,0.005731246762806565
-0.1,31.0,8758.0,9.419434641558125,1.319637673988488,0.009596055127816186
-0.1,32.0,8024.0,9.308709625553512,1.304864408711954,0.006524196965663912
-0.1,33.0,9856.0,9.29333208014778,0.8394681948033544,0.012336692137679852
-0.1,34.0,6166.0,9.255731742842483,1.3786050452760792,0.006901319950171171
-0.1,35.0,2632.0,9.163654280698001,1.3441159438369203,0.007842678945643656
-0.1,36.0,1194.0,9.104906820784002,1.3515367246370644,0.007228704120042015
-0.1,37.0,2326.0,9.072932290243788,1.1173993860938025,0.008515704127945221
-0.1,38.0,4590.0,9.010686992370362,0.9275092203521939,0.01448752457817221
-0.1,39.0,5644.0,8.943908722726093,1.3940725036632569,0.008294458551922675
-0.1,40.0,6062.0,8.899417033956377,1.4241570885021495,0.006942314938071789
-0.1,41.0,1586.0,8.85228240362315,1.3940619079728545,0.008434967071820636
-0.1,42.0,8106.0,8.851345165064405,1.3815253184022938,0.006615648166662396
-0.1,43.0,9744.0,8.772856874151188,1.3980854861242904,0.006006583938837957
-0.1,44.0,4368.0,8.759937995420106,1.252475666936313,0.007946118929727748
-0.1,45.0,3656.0,8.712654894021172,1.0979249114307776,0.006484106441282129
-0.1,46.0,3544.0,8.65319823601102,1.5287371253280937,0.0038982587057620043
-0.1,47.0,1770.0,8.64578188825107,0.8217292480696472,0.012234604575307229
-0.1,48.0,7748.0,8.637108972687491,1.4072440076063557,0.0051009135636462845
-0.1,49.0,2498.0,8.608169923156522,1.0564895618719694,0.008218672586011647
-0.05,0.0,8646.0,15.725020052348295,1.3756237432800824,0.011437665400632548
-0.05,1.0,1706.0,14.353731027346376,1.4856973440390584,0.010862784962762476
-0.05,2.0,5978.0,14.051922392094673,0.915265031183315,0.024283571658256432
-0.05,3.0,8878.0,13.6087993347026,1.4008915492257101,0.012600436470164721
-0.05,4.0,3210.0,12.860144930275213,1.3946983449606025,0.010435569493120932
-0.05,5.0,8400.0,12.604386063672095,1.3406658865092835,0.010801325492269677
-0.05,6.0,9560.0,12.603139492338752,1.3877515097947242,0.01580564743219016
-0.05,7.0,4518.0,12.506074635298045,1.523443156219449,0.010766439751497232
-0.05,8.0,1906.0,12.273659894856872,1.411391688829252,0.008913393378809522
-0.05,9.0,6506.0,12.06762177955335,1.4937567913015033,0.010678526844480118
-0.05,10.0,4122.0,11.989627026005824,1.4048848516327557,0.005083453706990777
-0.05,11.0,3908.0,11.77058847919048,1.4703815913440903,0.008947087527213514
-0.05,12.0,4990.0,11.685788534343978,1.2350928570894837,0.012938009952652913
-0.05,13.0,3196.0,11.569449098935626,1.4529426889168078,0.005487873381466822
-0.05,14.0,4760.0,11.522889487761521,1.3743097171516447,0.010055714752807898
-0.05,15.0,6896.0,11.462324750461018,1.2966483543326537,0.012919150409257589
-0.05,16.0,8496.0,11.422497614778862,1.151381162263323,0.012765874636179307
-0.05,17.0,2668.0,10.766894919468127,1.4016295669888104,0.006857327827339153
-0.05,18.0,1268.0,10.69814584553582,1.334223149281374,0.00797097264119097
-0.05,19.0,4184.0,10.5699286762761,1.4129696462940051,0.004831524987432496
-0.05,20.0,5808.0,10.520411361359937,1.4321764268559856,0.006741760557366242
-0.05,21.0,4504.0,10.490414058640141,1.4770350563629322,0.005894602848512224
-0.05,22.0,8120.0,10.44090665525463,1.2601921733401003,0.005440237155644351
-0.05,23.0,6542.0,10.154044419443904,1.463948253282286,0.005611783568159292
-0.05,24.0,6398.0,10.0864746285547,1.4471773185400865,0.0037737884795621865
-0.05,25.0,5794.0,9.956826974372449,1.454200896094897,0.00850864701530204
-0.05,26.0,2182.0,9.88084454238659,1.4912060768269315,0.00844453682198159
-0.05,27.0,9936.0,9.803734379489743,1.2826326218983384,0.0050392059727638805
-0.05,28.0,2434.0,9.786347366594876,0.8108657892122736,0.01101211036053407
-0.05,29.0,2894.0,9.732869708235539,1.46500156818527,0.004653099604005607
-0.05,30.0,9034.0,9.669150017393479,1.4056853147239305,0.005731246762806556
-0.05,31.0,8758.0,9.636821928890843,1.3186438276165,0.009596055127816182
-0.05,32.0,8024.0,9.533633145842801,1.3055945254148038,0.0065241969656639155
-0.05,33.0,9856.0,9.504990466288783,0.838976628072759,0.012336692137679852
-0.05,34.0,6166.0,9.469460117267605,1.378690852838306,0.00690131995017117
-0.05,35.0,2632.0,9.370485973201822,1.3438707752648091,0.007842678945643652
-0.05,36.0,1194.0,9.322108739915388,1.3523298905632173,0.007228704120042013
-0.05,37.0,2326.0,9.286474449429667,1.1176290328699867,0.008515704127945223
-0.05,38.0,4590.0,9.218300767770254,0.9267999153347645,0.014487524578172217
-0.05,39.0,5644.0,9.142877023325486,1.3956020322638845,0.008294458551922672
-0.05,40.0,6062.0,9.106624593975212,1.4245651131316943,0.006942314938071792
-0.05,41.0,8106.0,9.066403114834193,1.3810279847217475,0.0066156481666623974
-0.05,42.0,1586.0,9.061376988490744,1.3945839185313111,0.008434967071820633
-0.05,43.0,9744.0,8.991211298187066,1.3979049928998042,0.006006583938837963
-0.05,44.0,4368.0,8.98659621719285,1.2537259370315903,0.007946118929727748
-0.05,45.0,3656.0,8.922608592444124,1.0974464246535156,0.006484106441282133
-0.05,46.0,3544.0,8.880959330215875,1.527861964964407,0.003898258705762
-0.05,47.0,7748.0,8.854786730406866,1.4063249548840124,0.005100913563646285
-0.05,48.0,1770.0,8.850806423884837,0.8215011118242445,0.012234604575307223
-0.05,49.0,2498.0,8.811822599000912,1.0563749211324749,0.008218672586011642
0.05,0.0,8646.0,16.490407170087447,1.3756162144701796,0.011437665400632555
0.05,1.0,1706.0,15.053853625894705,1.4867074251087944,0.010862784962762478
0.05,2.0,5978.0,14.66511042143297,0.912670067314062,0.024283571658256425
0.05,3.0,8878.0,14.268090508806347,1.400771313936626,0.012600436470164728
0.05,4.0,3210.0,13.496758875069263,1.3950240416085757,0.010435569493120935
0.05,5.0,8400.0,13.24571821965185,1.3430277543871068,0.01080132549226968
0.05,6.0,9560.0,13.241115278115192,1.3873639446826713,0.015805647432190165
0.05,7.0,4518.0,13.116957943245527,1.5232265593438457,0.01076643975149723
0.05,8.0,1906.0,12.881869253299039,1.4130482933248323,0.00891339337880952
0.05,9.0,6506.0,12.65472912995077,1.4921211713311016,0.010678526844480115
0.05,10.0,4122.0,12.591362230667448,1.4064508377320686,0.005083453706990775
0.05,11.0,3908.0,12.333980383106256,1.4708204832701433,0.008947087527213508
0.05,12.0,4990.0,12.295864999289089,1.2355790065108045,0.012938009952652915
0.05,13.0,3196.0,12.151232897679744,1.4539821198136256,0.005487873381466821
0.05,14.0,4760.0,12.057948059543941,1.3756279150325548,0.010055714752807893
0.05,15.0,6896.0,11.995953713637613,1.297956537698248,0.012919150409257583
0.05,16.0,8496.0,11.96148171124399,1.1517347000467881,0.012765874636179314
0.05,17.0,2668.0,11.325885149284979,1.4025211580611392,0.006857327827339157
0.05,18.0,1268.0,11.223953557588493,1.3349698544357762,0.00797097264119098
0.05,19.0,4184.0,11.116404068244393,1.4148466001248305,0.0048315249874324945
0.05,20.0,5808.0,11.054365068757248,1.432633954036159,0.00674176055736624
0.05,21.0,4504.0,11.002433059722637,1.4768595992178635,0.005894602848512224
0.05,22.0,8120.0,10.93268596741306,1.2613365730229502,0.005440237155644355
0.05,23.0,6542.0,10.659424611430486,1.4640885252522087,0.00561178356815929
0.05,24.0,6398.0,10.584976206028472,1.446808382598759,0.003773788479562184
0.05,25.0,5794.0,10.427859492315887,1.4552995893869871,0.008508647015302035
0.05,26.0,2182.0,10.342760471638973,1.4902875655637313,0.008444536821981593
0.05,27.0,9936.0,10.304536390195207,1.2853135275721246,0.005039205972763875
0.05,28.0,2434.0,10.232300612461145,0.809781204503079,0.01101211036053408
0.05,29.0,2894.0,10.224322714176433,1.4647552797956702,0.00465309960400561
0.05,30.0,9034.0,10.145662766276093,1.4067527868425322,0.005731246762806558
0.05,31.0,8758.0,10.07943047809841,1.316670615835262,0.00959605512781618
0.05,32.0,8024.0,9.994023628158228,1.307194426082801,0.006524196965663909
0.05,33.0,9856.0,9.936383221583897,0.8380011607203365,0.012336692137679855
0.05,34.0,6166.0,9.90632216888155,1.3789339523535162,0.006901319950171162
0.05,35.0,2632.0,9.791838532629198,1.343262452432034,0.00784267894564365
0.05,36.0,1194.0,9.766230456307431,1.3539637168286418,0.007228704120042014
0.05,37.0,2326.0,9.72147121982239,1.1179823726079126,0.008515704127945218
0.05,38.0,4590.0,9.63698040759969,0.9250042345743229,0.014487524578172215
0.05,39.0,5644.0,9.550263184859897,1.398562955048392,0.008294458551922679
0.05,40.0,6062.0,9.52862441449033,1.4251936216057928,0.006942314938071792
0.05,41.0,8106.0,9.503067299077728,1.3798916635277978,0.006615648166662402
0.05,42.0,1586.0,9.488722229624065,1.3956727847968424,0.008434967071820629
0.05,43.0,4368.0,9.447511625651883,1.2560144782075666,0.007946118929727748
0.05,44.0,9744.0,9.434193358605249,1.3973397209166594,0.006006583938837966
0.05,45.0,3656.0,9.349051170788817,1.0963945819167276,0.006484106441282133
0.05,46.0,3544.0,9.343032081472746,1.5261608407068699,0.003898258705762003
0.05,47.0,7748.0,9.298216939627657,1.4047189514129048,0.005100913563646281
0.05,48.0,1770.0,9.269536620137005,0.8211363074072991,0.012234604575307223
0.05,49.0,9140.0,9.233099076602505,1.3850719562112175,0.004199293634167781
0.1,0.0,8646.0,16.879878133512857,1.3756472851951014,0.01143766540063255
0.1,1.0,1706.0,15.409847136348512,1.487183562485625,0.010862784962762476
0.1,2.0,5978.0,14.97734131741077,0.9114422227800694,0.02428357165825643
0.1,3.0,8878.0,14.602808224995703,1.4006728678452554,0.012600436470164718
0.1,4.0,3210.0,13.820265454379845,1.3951825607228507,0.010435569493120935
0.1,5.0,8400.0,13.571319256634554,1.3441147883444946,0.010801325492269675
0.1,6.0,9560.0,13.56417796429422,1.38710716728768,0.01580564743219016
0.1,7.0,4518.0,13.427158857665708,1.5230964608896669,0.01076643975149723
