block_index,block_maximum
1,6.872623827260768e-06
2,5.883976942713598e-06
3,5.273890035954053e-06
4,4.3570388622637225e-06
5,5.614920674557055e-06
6,5.629426540452491e-06
7,5.768935447986119e-06
8,8.481416062195153e-06
9,7.568794207465552e-06
10,5.289710631950345e-06
11,5.790258507782901e-06
12,6.1917322549915205e-06
13,6.113472686826356e-06
14,5.689985731954009e-06
15,6.349230407598724e-06
16,5.799632427979752e-06
17,6.5072472402980925e-06
18,5.314870546029875e-06
19,5.558424287025807e-06
20,6.155507929198274e-06
21,6.6734902686777166e-06
22,5.352902950355969e-06
23,6.374592822026369e-06
24,6.006387601437775e-06
25,6.6189058328000695e-06
26,7.535566577143539e-06
27,5.904967911661525e-06
28,5.6277788691656865e-06
29,6.816967837150781e-06
30,5.5979576170000435e-06
31,6.426879089125579e-06
32,5.929449928186836e-06
33,7.772067365825327e-06
34,6.79899932926303e-06
35,5.951598562517852e-06
36,7.407503109736781e-06
37,8.203605537056549e-06
38,5.636096450215589e-06
39,6.771519433887166e-06
40,6.1989207210771284e-06
41,5.746975337551971e-06
42,6.405405685825267e-06
43,7.821988440602739e-06
44,7.338539728064785e-06
45,8.280393728171984e-06
46,7.3309451051140886e-06
47,6.2024008703851206e-06
48,6.429136449794639e-06
49,6.2549263089536864e-06
50,7.139286534742444e-06
51,8.78739549487582e-06
52,7.71737799607169e-06
53,5.8947795166297195e-06
54,8.178625663069714e-06
55,5.747577459710619e-06
56,8.275452743459686e-06
57,5.73573077302699e-06
58,6.363853065439217e-06
59,5.6548079512237965e-06
60,7.42060902671551e-06
61,6.196821940649241e-06
62,7.688773444330006e-06
63,7.123832435981342e-06
64,7.0034179367772124e-06
65,7.113453097641934e-06
66,6.5605880776246844e-06
67,7.432340187844252e-06
68,6.8541006377107714e-06
69,6.142237559459354e-06
70,8.330567449459959e-06
71,6.396642161228211e-06
72,6.584875666070643e-06
73,6.099851650123111e-06
74,6.362058940353928e-06
75,6.519811428894674e-06
76,7.814099075469137e-06
77,6.830480527420265e-06
78,6.241094593130493e-06
79,6.618460133449584e-06
80,6.510470274215289e-06
81,8.506045127679615e-06
82,7.04175902165929e-06
83,6.857207600318099e-06
84,6.5324129639635856e-06
85,7.0503509358353e-06
86,7.681314648571319e-06
87,7.265067014360735e-06
88,8.425387405085787e-06
89,7.541145843961039e-06
90,6.979347077450955e-06
91,6.460378760049681e-06
92,7.755379294544182e-06
93,6.452104227286963e-06
94,6.2515661721082865e-06
95,7.356256349437111e-06
96,7.533080520167532e-06
97,6.547458401189852e-06
98,7.455179539305325e-06
99,6.7364211885916286e-06
100,6.564857439321701e-06
