t,R_comp
1000.0,8.662300817849467e-07
1001.0,2.3909876610373115e-06
1002.0,5.1073737597118e-07
1003.0,5.44831068414244e-07
1004.0,2.788211476382099e-06
1005.0,6.989408324677391e-07
1006.0,1.9771285167189952e-06
1007.0,2.4120055490692755e-06
1008.0,1.607261746788662e-06
1009.0,4.3330795147680394e-07
1010.0,1.0169972038601449e-06
1011.0,5.782820915774544e-07
1012.0,3.5833834812409533e-06
1013.0,1.6068459579781244e-06
1014.0,2.087222264391252e-06
1015.0,2.123781953213538e-06
1016.0,1.4739398387856793e-06
1017.0,1.6367599230344649e-06
1018.0,2.4917563973926295e-06
1019.0,3.779480900938949e-06
1020.0,3.4496730739787477e-06
1021.0,8.42380486418316e-07
1022.0,6.867731776907009e-07
1023.0,9.80310469830097e-07
1024.0,1.6869318649563538e-06
1025.0,1.067044728556482e-06
1026.0,7.981228825178323e-07
1027.0,3.620633799153384e-06
1028.0,1.4528254837310558e-06
1029.0,7.350253607653546e-07
1030.0,2.189237260291455e-06
1031.0,5.722927989647282e-07
1032.0,3.832514529172128e-06
1033.0,3.744878893936181e-06
1034.0,1.241651701361144e-06
1035.0,1.4733762788380947e-06
1036.0,1.9452632117452843e-06
1037.0,1.1341626073122969e-06
1038.0,2.0728102772726254e-06
1039.0,7.23859791844066e-07
1040.0,1.1419198095845599e-06
1041.0,1.984555628298732e-06
1042.0,1.8844342860530732e-06
1043.0,3.316884910876729e-06
1044.0,9.857250016409607e-07
1045.0,1.5232396424785375e-06
1046.0,1.8437205123526367e-06
1047.0,1.4156451049524716e-06
1048.0,3.3509141604663845e-06
1049.0,4.876028488824839e-06
1050.0,1.1227135326145436e-06
1051.0,2.2741176687391676e-07
1052.0,5.67679557118339e-07
1053.0,3.4963612510743594e-07
1054.0,1.1687215097238783e-06
1055.0,1.8944459757130203e-06
1056.0,1.3044036366820155e-06
1057.0,1.3018232107862506e-06
1058.0,2.0254572308044556e-06
1059.0,5.188207606017462e-06
1060.0,2.5116888885186386e-06
1061.0,5.1273050640235015e-06
1062.0,1.6405977174320066e-06
1063.0,4.483266740249988e-06
1064.0,3.3045202885426307e-06
1065.0,5.947131661779138e-07
1066.0,1.953692528548535e-06
1067.0,2.4147721178795405e-07
1068.0,1.052685514011146e-06
1069.0,3.5629026350570927e-06
1070.0,1.597300155823319e-06
1071.0,1.8840771802247283e-06
1072.0,2.875104584095668e-06
1073.0,1.220942832964512e-06
1074.0,2.3527512492229634e-06
1075.0,2.188065706876528e-06
1076.0,2.1967811320470557e-06
1077.0,3.3824646384966083e-06
1078.0,3.2692265751737124e-06
