Function,Block Size B,Number of Blocks,Block Length,ξ,95% CI
ζ(s),400,400,10,-0.0653239748690809,"[-0.131, 0.014]"
f_rand,400,400,10,0.29310704602952126,"[0.215, 0.378]"
ζ(s),200,200,20,-0.13694998919153994,"[-0.219, -0.057]"
f_rand,200,200,20,0.2576593305495881,"[0.140, 0.379]"
ζ(s),100,100,40,-0.08791960313752326,"[-0.221, 0.064]"
f_rand,100,100,40,0.16266720486524439,"[0.003, 0.336]"
ζ(s),50,50,80,-0.20911762580084386,"[-0.402, -0.021]"
f_rand,50,50,80,0.11788367393484078,"[-0.083, 0.318]"
ζ(s),40,40,100,-0.15843668686339013,"[-0.393, 0.047]"
f_rand,40,40,100,0.18575137127302677,"[-0.090, 0.478]"
