Function,Actual_xi,LOOCV_Predicted_xi,LOOCV_Error,Full_Predicted_xi,Full_Error,mean_offdiag_real,C_66,sum_negative_real_offdiag,std_offdiag_real,C_55
zeta,-0.3039273531080012,-0.29267065878526877,0.011256694322732408,-0.3007949396389829,0.0031324134690182692,-0.08628838522884288,0.0003881081344689814,-2.720596214483945,0.14396882000641667,0.034037589256152516
F_k1,-0.24102997121702424,-0.1839859499058819,0.057044021311142334,-0.20123759686791476,0.03979237434910948,-0.03181024796935372,0.0003688737178404679,-1.8243001932013208,0.16150142640201454,0.03500517270305795
F_k2,0.0006058921233521994,0.024218601744139118,0.023612709620786917,0.012069617961265891,0.01146372583791369,0.024346681197336136,0.0003859361527073844,-1.0569066799875266,0.1746365048881182,0.03697263294959431
F_k3,-0.025365717274329604,-0.16551904787319932,-0.14015333059886972,-0.08088024345029694,-0.05551452617596734,0.03731664039626909,0.0003578766299002333,-0.6068070074428725,0.16197419965169982,0.03409989387274666
random_mult_1,-0.03936599562922018,-0.11950996808190467,-0.0801439724526845,-0.09426982745386975,-0.05490383182464957,-0.019126428347265648,0.00035991288359098477,-0.7214884685575882,0.05560645002376701,0.04247560980931872
random_mult_2,-0.2765375902970013,-0.09643036374492758,0.18010722655207373,-0.13658684186306178,0.13995074843393954,-0.01741714407490563,0.00036054657572835377,-0.5841335734734415,0.03883716989238083,0.03983710007879994
random_mult_3,-0.05706769647394959,-0.06763504769637749,-0.010567351222427898,-0.0659095689762138,-0.008841872502264217,-0.023188066075275227,0.0003850643791393015,-0.8153719073744298,0.04747585765634013,0.040814499188630594
random_mult_4,0.008921501346700708,-0.12519538668766989,-0.1341168880343706,-0.10753240940936439,-0.1164539107560651,-0.027192224672709604,0.0003708584516467262,-1.0172716521458864,0.07496893455247076,0.04071888368224884
random_mult_5,0.03489862828917997,-0.0744076719285677,-0.10930630021774768,-0.05985008599558806,-0.09474871428476803,-0.018974352244042245,0.00038061280453150425,-0.6624818978186103,0.04616921727232324,0.04117244508145404
random_mult_6,-0.07805285750068064,-0.04869397747406867,0.029358880026611966,-0.05636447306650805,0.021688384434172592,-0.003305832321997482,0.0003822678851816954,-0.463259721968568,0.045581470693142515,0.03903298149688123
random_mult_7,-0.2619207747137494,-0.131425296988937,0.1304954777248124,-0.14845624938151453,0.11346452533223489,-0.03208664195825841,0.00036816567902523366,-1.0004033084241344,0.05388087380142498,0.03985147612130606
random_mult_8,-0.03205975770861934,-0.043587003221883434,-0.011527245513264096,-0.040834503952834875,-0.008774746244215537,-0.02366005348129856,0.0003894848167803,-0.727018818181091,0.04822430255205387,0.04137671868074633
random_mult_9,-0.0959546185317284,-0.11973252852133306,-0.023777909989604662,-0.11528064540637581,-0.019326026874647406,-0.018012040116622104,0.0003628266243251404,-0.5654806719574355,0.033951014746294854,0.04091559205466574
random_mult_10,-0.07096718140735567,-0.0374928053329672,0.03347437607438847,-0.04189572460116669,0.02907145680618898,-0.012090263834384987,0.0003792971510893595,-0.5924116427152066,0.05666149460996102,0.04126360970632876
