Function,Type,t_value,N,R_comp
Zeta,Peak,2447.6033114262164,10000,0.4156295481685818
Zeta,Peak,2447.6033114262164,30000,0.5428236077143865
Zeta,Peak,2447.6033114262164,100000,0.41762345285540825
Zeta,Peak,2447.6033114262164,300000,0.37168471834408384
Zeta,Peak,2447.6033114262164,1000000,0.22943505773581743
Zeta,Peak,2447.6033114262164,3000000,0.14239469751777348
Zeta,Peak,2447.6033114262164,10000000,0.1258103110357621
Zeta,Peak,2819.3958678481235,10000,0.7067711365435041
Zeta,Peak,2819.3958678481235,30000,0.7615463430768987
Zeta,Peak,2819.3958678481235,100000,0.47683272590445214
Zeta,Peak,2819.3958678481235,300000,0.4371496603027105
Zeta,Peak,2819.3958678481235,1000000,0.3666858682701079
Zeta,Peak,2819.3958678481235,3000000,0.4000842041119688
Zeta,Peak,2819.3958678481235,10000000,0.4014303768375516
Zeta,Peak,2927.863787978552,10000,0.8096160875308237
Zeta,Peak,2927.863787978552,30000,0.6511461156707788
Zeta,Peak,2927.863787978552,100000,0.46468326527156734
Zeta,Peak,2927.863787978552,300000,0.3437019135251168
Zeta,Peak,2927.863787978552,1000000,0.2509389915339194
Zeta,Peak,2927.863787978552,3000000,0.3377923822524424
Zeta,Peak,2927.863787978552,10000000,0.07210418712692335
Zeta,Peak,2202.015567734681,10000,0.8753162228495018
Zeta,Peak,2202.015567734681,30000,0.6967486546207757
Zeta,Peak,2202.015567734681,100000,0.5803514021863653
Zeta,Peak,2202.015567734681,300000,0.4560223647281667
Zeta,Peak,2202.015567734681,1000000,0.3589712037452962
Zeta,Peak,2202.015567734681,3000000,0.08601547922939567
Zeta,Peak,2202.015567734681,10000000,0.21201111286556262
Zeta,Peak,1967.3428348738803,10000,0.9582142784636175
Zeta,Peak,1967.3428348738803,30000,0.8610603104465074
Zeta,Peak,1967.3428348738803,100000,0.9501221984615181
Zeta,Peak,1967.3428348738803,300000,0.7925418037406998
Zeta,Peak,1967.3428348738803,1000000,0.6704830270315774
Zeta,Peak,1967.3428348738803,3000000,0.6777886820124799
Zeta,Peak,1967.3428348738803,10000000,0.3335434402006329
Zeta,Peak,2556.7534197335654,10000,0.8064420970789117
Zeta,Peak,2556.7534197335654,30000,0.8374126373821286
Zeta,Peak,2556.7534197335654,100000,0.8312064694242036
Zeta,Peak,2556.7534197335654,300000,0.9280611188703635
Zeta,Peak,2556.7534197335654,1000000,0.7081536821704946
Zeta,Peak,2556.7534197335654,3000000,0.9278165340810838
Zeta,Peak,2556.7534197335654,10000000,0.5354651198488721
Zeta,Peak,1658.9937789056196,10000,0.6014715233813962
Zeta,Peak,1658.9937789056196,30000,0.4451211406177258
Zeta,Peak,1658.9937789056196,100000,0.5466969048727004
Zeta,Peak,1658.9937789056196,300000,0.6314601932589567
Zeta,Peak,1658.9937789056196,1000000,0.3393138507153735
Zeta,Peak,1658.9937789056196,3000000,0.468307080824612
Zeta,Peak,1658.9937789056196,10000000,0.4457113135112375
Zeta,Peak,1549.8436705982706,10000,0.26587116085929174
Zeta,Peak,1549.8436705982706,30000,0.5230086713413195
Zeta,Peak,1549.8436705982706,100000,0.4745065949962604
Zeta,Peak,1549.8436705982706,300000,0.41257856808702453
Zeta,Peak,1549.8436705982706,1000000,0.607737643715973
