N,Peak,t_value,peak_height,frac_k_ge_4,entropy,frac_k_0_1,frac_k_2_3
10^6,1,1948000.0,20.262917787476262,0.41992234814189244,1.778675508864784,0.08329921303794775,0.4967784388201598
10^6,2,1828000.0,17.54511646911281,0.27269532997557333,1.6660471281771743,0.1422123492939317,0.5850923207304949
10^6,3,1894000.0,16.478854099971613,0.2669651874490104,1.5880054184667902,0.11388145434774014,0.6191533582032492
10^6,4,1734000.0,16.450579921387657,0.5106452484656706,1.8762562479332112,0.06877656614663558,0.42057818538769426
10^6,5,1787000.0,15.934243242728249,0.18650631290530723,1.491701228029549,0.14246220207039653,0.6710314850242964
10^7,1,18484848.484848484,16.50856068503056,0.4154829854408505,1.6366971559260228,0.06964993001649938,0.5148670845426498
10^7,2,12323232.323232325,10.284026817455429,0.3731059130726442,1.8502897938674812,0.14233913913194332,0.4845549477954124
10^7,3,10909090.909090908,6.367052146451278,0.255650595207325,1.8125182329925913,0.18645246750066866,0.557896937292006
10^7,4,16161616.16161616,5.935386416394831,0.2103263379558748,1.8233314093738853,0.3128764882125169,0.47679717383160813
10^7,5,11919191.91919192,5.878669413976298,0.13723731935193362,1.6833311389186612,0.5422908879695264,0.32047179267854015
