N,Peak,t_value,Entropy,Frac_k>=4,r_canonical,P_k0,P_k1,P_k2,P_k3,P_k4
10^6,1,1.28e+06,1.7962,0.4068,3.2279,1.00,13.43,39.75,50.12,36.38
10^6,2,1.19e+06,1.8127,0.5459,1.8904,1.00,12.73,37.66,65.16,70.71
10^6,3,1.93e+06,1.6753,0.2908,2.5403,1.00,17.82,49.67,47.87,28.65
10^6,4,1.56e+06,1.9329,0.5722,2.6290,1.00,5.92,15.52,29.09,30.59
10^6,5,1.57e+06,1.6412,0.2341,4.9468,1.00,8.57,17.76,16.93,8.96
10^7,1,1.98e+07,1.6342,0.2616,4.2261,1.00,11.34,28.33,26.42,15.57
10^7,2,1.79e+07,1.9191,0.3984,5.9189,1.00,4.23,8.52,12.30,7.87
10^7,3,1.36e+07,1.3400,0.0581,2.7103,1.00,8.36,17.88,10.60,1.87
10^7,4,1.93e+07,1.6244,0.1365,1.7595,1.00,8.44,12.51,5.87,1.52
10^7,5,1.21e+07,1.6386,0.1299,3.7631,1.00,4.19,4.51,1.85,0.89
