N,Peak,t_value,Entropy,Fraction_k>=4,Canonical_r
10^6,1,1282282.2822822821,1.7962147593722517,0.4067607004245491,3.22786462974325
10^6,2,1193193.193193193,1.8127198101156865,0.5458749807633684,1.890392725340339
10^6,3,1929929.9299299298,1.6752528413815577,0.290787719124702,2.5402554681660585
10^6,4,1562562.5625625625,1.9329017309189238,0.5722325352338232,2.628962997487642
10^6,5,1569569.5695695695,1.6411630066637075,0.23409630859079522,4.946844949698779
10^7,1,19797979.7979798,1.6342420267754714,0.2616226090511736,4.226127611831831
10^7,2,17878787.87878788,1.9191134358098458,0.3984146719089795,5.918889953005312
10^7,3,13636363.636363637,1.3399796677366336,0.05810207258493205,2.7103021467100192
10^7,4,19292929.29292929,1.6244184248656204,0.136455902134929,1.7595129489202337
10^7,5,12121212.12121212,1.638572635994195,0.1299030607205094,3.763080887226937
