peak,t,magnitude,S_2_reduction,S_3_reduction,dominant
1,1508650.8650865087,40.278461522607664,19.18394786006356,27.20579950732016,S_3
2,1015701.5701570157,37.578835599583755,23.12743547386025,10.229801008833467,S_2
3,1064606.4606460645,36.41828745053987,24.124191186180248,30.57814601588717,S_3
4,1444744.4744474448,30.987041379322193,29.70400920949321,24.58520019228159,S_2
5,1587558.7558755875,30.73660339320792,38.44304863624584,17.6616397544862,S_2
6,1639363.9363936393,29.66231085422266,29.982134727543137,38.51669076021265,S_3
7,1623962.396239624,29.55192676325956,32.79268429638552,32.334148588352164,S_2
8,1214921.492149215,28.474871814039144,43.65112257531563,9.946229270935973,S_2
9,1776177.617761776,28.320876046208202,26.770922164728038,31.165239842121164,S_3
10,1621062.106210621,28.14132961516685,21.912924405667827,24.871353417432992,S_3
11,1426242.6242624263,27.894410942039812,11.049798426058487,48.05519894884707,S_3
12,1158715.8715871586,27.514477697065292,11.132771570255368,44.71916409104051,S_3
13,1523652.3652365236,26.687967908601735,6.016600504726761,36.65424666309924,S_3
14,1034003.400340034,26.161793170440507,29.210348107217616,28.672027893472258,S_2
15,1493449.3449344933,26.032353053199387,30.639158936612766,28.62069464200373,S_2
16,1067506.7506750675,25.88347790403879,31.148865407119814,45.06099246041001,S_3
17,1855085.5085508549,25.580914128311566,55.835611141073926,30.196788899225776,S_2
18,1034203.4203420342,25.402903626968627,35.45034767256804,15.934638318647737,S_2
19,1654565.4565456547,25.307773736239362,22.63693837628326,29.279988259416996,S_3
20,1773277.3277327733,25.162372906047214,26.850116401085145,39.63238098169556,S_3
