n,Re(a_n),Im(a_n),chi(n),pattern
1,1.0,0.0,(1+0j),n≡1 (mod 5)
2,0.28407904384041227,0.0,1j,n≡2 (mod 5)
3,-0.28407904384041227,0.0,(-0-1j),n≡3 (mod 5)
4,-1.0,0.0,(-1+0j),n≡4 (mod 5)
5,0.0,0.0,0j,n≡0 (mod 5)
6,1.0,0.0,(1+0j),n≡1 (mod 5)
7,0.28407904384041227,0.0,1j,n≡2 (mod 5)
8,-0.28407904384041227,0.0,(-0-1j),n≡3 (mod 5)
9,-1.0,0.0,(-1+0j),n≡4 (mod 5)
10,0.0,0.0,0j,n≡0 (mod 5)
11,1.0,0.0,(1+0j),n≡1 (mod 5)
12,0.28407904384041227,0.0,1j,n≡2 (mod 5)
13,-0.28407904384041227,0.0,(-0-1j),n≡3 (mod 5)
14,-1.0,0.0,(-1+0j),n≡4 (mod 5)
15,0.0,0.0,0j,n≡0 (mod 5)
16,1.0,0.0,(1+0j),n≡1 (mod 5)
17,0.28407904384041227,0.0,1j,n≡2 (mod 5)
18,-0.28407904384041227,0.0,(-0-1j),n≡3 (mod 5)
19,-1.0,0.0,(-1+0j),n≡4 (mod 5)
20,0.0,0.0,0j,n≡0 (mod 5)
21,1.0,0.0,(1+0j),n≡1 (mod 5)
22,0.28407904384041227,0.0,1j,n≡2 (mod 5)
23,-0.28407904384041227,0.0,(-0-1j),n≡3 (mod 5)
24,-1.0,0.0,(-1+0j),n≡4 (mod 5)
25,0.0,0.0,0j,n≡0 (mod 5)
26,1.0,0.0,(1+0j),n≡1 (mod 5)
27,0.28407904384041227,0.0,1j,n≡2 (mod 5)
28,-0.28407904384041227,0.0,(-0-1j),n≡3 (mod 5)
29,-1.0,0.0,(-1+0j),n≡4 (mod 5)
30,0.0,0.0,0j,n≡0 (mod 5)
31,1.0,0.0,(1+0j),n≡1 (mod 5)
32,0.28407904384041227,0.0,1j,n≡2 (mod 5)
33,-0.28407904384041227,0.0,(-0-1j),n≡3 (mod 5)
34,-1.0,0.0,(-1+0j),n≡4 (mod 5)
35,0.0,0.0,0j,n≡0 (mod 5)
36,1.0,0.0,(1+0j),n≡1 (mod 5)
37,0.28407904384041227,0.0,1j,n≡2 (mod 5)
38,-0.28407904384041227,0.0,(-0-1j),n≡3 (mod 5)
39,-1.0,0.0,(-1+0j),n≡4 (mod 5)
40,0.0,0.0,0j,n≡0 (mod 5)
41,1.0,0.0,(1+0j),n≡1 (mod 5)
42,0.28407904384041227,0.0,1j,n≡2 (mod 5)
43,-0.28407904384041227,0.0,(-0-1j),n≡3 (mod 5)
44,-1.0,0.0,(-1+0j),n≡4 (mod 5)
45,0.0,0.0,0j,n≡0 (mod 5)
46,1.0,0.0,(1+0j),n≡1 (mod 5)
47,0.28407904384041227,0.0,1j,n≡2 (mod 5)
48,-0.28407904384041227,0.0,(-0-1j),n≡3 (mod 5)
49,-1.0,0.0,(-1+0j),n≡4 (mod 5)
50,0.0,0.0,0j,n≡0 (mod 5)
51,1.0,0.0,(1+0j),n≡1 (mod 5)
52,0.28407904384041227,0.0,1j,n≡2 (mod 5)
53,-0.28407904384041227,0.0,(-0-1j),n≡3 (mod 5)
54,-1.0,0.0,(-1+0j),n≡4 (mod 5)
55,0.0,0.0,0j,n≡0 (mod 5)
56,1.0,0.0,(1+0j),n≡1 (mod 5)
57,0.28407904384041227,0.0,1j,n≡2 (mod 5)
58,-0.28407904384041227,0.0,(-0-1j),n≡3 (mod 5)
59,-1.0,0.0,(-1+0j),n≡4 (mod 5)
60,0.0,0.0,0j,n≡0 (mod 5)
61,1.0,0.0,(1+0j),n≡1 (mod 5)
62,0.28407904384041227,0.0,1j,n≡2 (mod 5)
63,-0.28407904384041227,0.0,(-0-1j),n≡3 (mod 5)
64,-1.0,0.0,(-1+0j),n≡4 (mod 5)
65,0.0,0.0,0j,n≡0 (mod 5)
66,1.0,0.0,(1+0j),n≡1 (mod 5)
