j,k,contribution,is_top_3_negative
1,3,-0.10376019129684341,True
2,4,-0.07901243227714827,True
1,4,-0.06181209878661579,True
3,5,-0.01359638542408253,False
2,5,-0.006390176898515204,False
4,6,-0.000936348170187852,False
3,6,-0.0005366555295246306,False
2,7,-7.419221327528019e-05,False
5,6,-4.977334950893959e-05,False
1,7,-4.946528541536842e-05,False
5,7,-9.97629725471426e-07,False
6,7,8.396565494094181e-08,False
4,7,8.66916401270814e-06,False
3,7,1.9744630667061478e-05,False
4,5,0.0005366954910917297,False
2,6,0.0006666938162480527,False
1,6,0.0008411020166262693,False
1,5,0.0035822520487779797,False
3,4,0.015441944981160707,False
2,3,0.0727719177298688,False
1,2,0.19559564340365707,False
