Function,N,Quartile,Mean_r,Std_r,N_peaks
Zeta,10000,Q1,0.8194173783694559,0.8586263120735156,50
Zeta,10000,Q2,1.2358675779398636,1.030506775101575,50
Zeta,10000,Q3,1.2695289667477183,0.9666490105613018,50
Zeta,10000,Q4,1.7781845057662258,0.919600755536114,50
Liouville,10000,Q1,-0.8442532485899724,0.21596174120283337,50
Liouville,10000,Q2,-0.8845226802603752,0.13023983258661595,50
Liouville,10000,Q3,-0.9329430498573943,0.0933675200527724,50
Liouville,10000,Q4,-0.9482970306204627,0.07223453430402785,50
Zeta,100000,Q1,0.054053205294488024,0.23743626741178583,50
Zeta,100000,Q2,0.024454340334051694,0.23239849008342825,50
Zeta,100000,Q3,-0.062010056681186275,0.18152311988035577,50
Zeta,100000,Q4,-0.20768499800935225,0.09824607082509197,50
Liouville,100000,Q1,0.1663209631068182,0.27388878819446827,50
Liouville,100000,Q2,0.03960482072549179,0.2557793913340158,50
Liouville,100000,Q3,-0.09912934263297825,0.15477311316631295,50
Liouville,100000,Q4,-0.2174525476651787,0.12144659284361939,50
Zeta,1000000,Q1,0.07141969882642348,0.2994112702109623,35
Zeta,1000000,Q2,0.0329174682511697,0.2786693599478403,35
Zeta,1000000,Q3,-0.044060456484598554,0.24673289616747018,34
Zeta,1000000,Q4,-0.20254597872968388,0.09193205833022951,35
Liouville,1000000,Q1,0.15571331856565065,0.29179462951758905,33
Liouville,1000000,Q2,0.09169585716508416,0.2970617607147332,33
Liouville,1000000,Q3,-0.0027392154601227577,0.23701190040469447,33
Liouville,1000000,Q4,-0.21257421657776301,0.10915913912783667,33
