Peak_Rank,t_value,Magnitude,S2_reduction_pct,S3_reduction_pct,S4_reduction_pct
1,1811905.9529764883,38.97724539058487,33.53089415275169,44.53275899378133,46.357819053555176
2,1916458.2291145572,34.52488518869228,33.62881141915335,39.59077260783489,36.17220533158175
3,1074037.0185092546,24.021291943117017,24.867991605379473,30.765899340220958,30.367649086709996
4,1039019.5097548774,20.61988400120155,48.606536864358056,41.95764530557947,27.7670664802086
5,1441220.6103051526,19.32414273903458,3.9756775201340147,50.415842833358745,81.82069349500041
6,1178589.2946473237,19.024414230035617,28.449483831736273,42.52843418051329,39.482208391186866
7,1567283.6418209104,18.79474709266329,33.55075487423546,33.95420629362895,36.41133308759651
8,1326163.0815407704,18.26758910957698,39.52273438341621,39.52702935964304,24.663568634336883
9,1503251.6258129063,17.994873935591386,31.45790294511881,42.938351197541714,37.2248276040613
10,1937968.984492246,17.608239392689338,37.62530597635654,65.44153101788149,51.28612379172658
11,1288644.3221610805,17.387692050374046,40.652030180673684,37.5420725823553,26.38333822618599
12,1991495.7478739368,16.422273194418725,24.835680299016,68.35940573480201,52.8991514723957
13,1430715.3576788395,16.135992048047243,40.986763276424895,29.274449704503304,28.00187008053478
14,1452226.1130565284,16.106390566046883,43.66307221349969,37.854786418376946,23.3219125447456
15,1127563.7818909455,15.973181761625113,41.54929459147294,41.37850610946271,28.22396232338814
16,1114557.2786393196,15.55428729140654,41.25337373345668,76.54327010040193,55.61736077988103
17,1143571.7858929464,15.509225405684994,56.24264809980141,59.544053429492536,41.589176861170586
18,1200100.0500250126,15.355642936735977,33.27725892884966,27.462097378063287,18.979024338678187
19,1184092.0460230114,15.11581566348661,15.909408760934069,52.817514935656604,52.49494363298039
20,1377188.5942971485,14.924352078217742,60.77310318075494,43.38009894184551,19.28906561882104
Mean,,19.38210830096154,35.71793634187618,45.2904363232472,37.91766504173727
Std,,6.377097526052006,12.855483327448814,13.258034006182355,15.43943231951077
