Regime,Function,Category,Percentage
Top 10%,Zeta,PD,2.3489113941776316
Top 10%,Zeta,MD,28.796405711263247
Top 10%,Zeta,3A,15.115741278530692
Top 10%,Zeta,3B,26.838510486693913
Top 10%,Zeta,4I,26.900431129334514
Top 10%,Möbius,PD,4.9130428745377595
Top 10%,Möbius,MD,45.46059378828335
Top 10%,Möbius,3A,15.653123945903095
Top 10%,Möbius,3B,25.633148867110613
Top 10%,Möbius,4I,8.340090524165177
Top 10%,f_rand,PD,1.5314141996113562
Top 10%,f_rand,MD,23.354847326581538
Top 10%,f_rand,3A,13.732925091951534
Top 10%,f_rand,3B,26.889561507340158
Top 10%,f_rand,4I,34.49125187451541
Top 1%,Zeta,PD,0.8742899841038445
Top 1%,Zeta,MD,18.378101447067216
Top 1%,Zeta,3A,19.63444583796292
Top 1%,Zeta,3B,32.34935489362369
Top 1%,Zeta,4I,28.763807837242325
Top 1%,Möbius,PD,3.9753667989206574
Top 1%,Möbius,MD,42.474082724854156
Top 1%,Möbius,3A,17.5796086447023
Top 1%,Möbius,3B,28.04479385858696
Top 1%,Möbius,4I,7.926147972935925
Top 1%,f_rand,PD,0.4254340595397694
Top 1%,f_rand,MD,12.843512007991523
Top 1%,f_rand,3A,17.66543038792695
Top 1%,f_rand,3B,32.289006407199224
Top 1%,f_rand,4I,36.776617137342534
