Function,Formula,Mean,Median,Std,Min,Max,% r<0
zeta,r = (|D_F|² - Σ|S_k|²) / Σ|S_k|²,1.403556254653925,1.4977347524201599,1.0809636349951663,-0.7390405658923627,3.7206242292766785,13.0
zeta,r = (|D_F|² - Σ|S_k|²) / (2Σ|S_k|²),0.7017781273269625,0.7488673762100799,0.5404818174975832,-0.36952028294618133,1.8603121146383392,13.0
chi4,r = (|D_F|² - Σ|S_k|²) / Σ|S_k|²,1.435037748574924,1.532915838431291,0.8206027047924657,-0.5616027991654766,3.31470885023123,4.5
chi4,r = (|D_F|² - Σ|S_k|²) / (2Σ|S_k|²),0.717518874287462,0.7664579192156455,0.41030135239623283,-0.2808013995827383,1.657354425115615,4.5
f_rand,r = (|D_F|² - Σ|S_k|²) / Σ|S_k|²,1.0830488495971173,0.995802298214391,0.6792229837144301,-0.31567666135154604,2.9709768804542795,4.0
f_rand,r = (|D_F|² - Σ|S_k|²) / (2Σ|S_k|²),0.5415244247985587,0.4979011491071955,0.33961149185721506,-0.15783833067577302,1.4854884402271398,4.0
mobius,r = (|D_F|² - Σ|S_k|²) / Σ|S_k|²,1.7284990248616645,1.85912100607039,1.0685835457991115,-0.6903266682775561,3.9397701060478028,7.5
mobius,r = (|D_F|² - Σ|S_k|²) / (2Σ|S_k|²),0.8642495124308323,0.929560503035195,0.5342917728995558,-0.34516333413877803,1.9698850530239014,7.5
liouville,r = (|D_F|² - Σ|S_k|²) / Σ|S_k|²,1.1454347993928298,1.1705553246726,1.0084653866452415,-0.8683738678032105,3.841630036816605,13.0
liouville,r = (|D_F|² - Σ|S_k|²) / (2Σ|S_k|²),0.5727173996964149,0.5852776623363,0.5042326933226208,-0.43418693390160523,1.9208150184083026,13.0
