Peak,t,Magnitude_Original,Magnitude_Pert_S2,Magnitude_Pert_S3,Magnitude_Pert_S4,Reduction_S2_Percent,Reduction_S3_Percent,Reduction_S4_Percent
1,1146845.7133214509,55.27376168530724,29.282991065297033,55.27376168530724,22.120063450924935,47.02189579204815,0.0,59.98089730736592
2,1706927.3886067818,54.29169643123181,28.7397948495628,54.29169643123181,16.561413159663264,47.06410604434538,0.0,69.49549517090396
3,1524459.221643512,24.803534384802973,11.222292962817999,24.803534384802973,7.743778246113715,54.755266774827646,0.0,68.77953711766861
4,1355270.9906779407,23.358649841754964,9.448347375905424,23.358649841754964,8.30204947262076,59.55096959835433,0.0,64.45835042323228
5,1603690.3695620203,19.85605851418646,16.763941789728666,19.85605851418646,8.010706824050033,15.572661222007312,0.0,59.65610789106679
6,1252688.06207754,19.551741646153904,3.8365186046068827,19.551741646153904,6.501962692630837,80.37761201001969,0.0,66.74484140439804
7,1096145.1337820103,19.404276693234458,5.571388663120363,19.404276693234458,10.016584570518553,71.28783127967404,0.0,48.379500411829525
8,1823150.6231913434,16.721290657282438,3.7500024863552808,16.721290657282438,5.97640829594107,77.57348662124903,0.0,64.25869020261166
9,1795222.7526072192,14.738543090473232,2.1201443948447185,14.738543090473232,6.613286474486044,85.61496627020654,0.0,55.12930664930666
10,1987738.003420587,13.831623479169792,4.9448580061394765,13.831623479169792,6.178656724803366,64.24961962284215,0.0,55.329490178008925
11,1408462.3053182191,12.211719043209602,2.1036404433400486,12.211719043209602,6.590775661479877,82.77359284228054,0.0,46.02909190623152
12,1680300.5776035336,11.897621422474078,2.684409842047257,11.897621422474078,6.095285510405093,77.43742428233155,0.0,48.76887325653706
13,1234419.7260647686,11.759767774187562,3.9319885629104747,11.759767774187562,7.193134215689933,66.5640628419457,0.0,38.83268484707063
14,1311121.9686597465,11.41343678280374,7.808016273590409,11.41343678280374,5.725235183328519,31.589262531733674,0.0,49.8377632234793
15,1056660.0703843187,11.327633342576942,4.602397922303227,11.327633342576942,3.352534192698328,59.37017218765115,0.0,70.40393088910083
16,1506919.5115417752,11.02631282576571,4.463887735881195,11.02631282576571,6.415127817454454,59.51604306518299,0.0,41.81982754503464
17,1497878.431590629,10.822482575276974,8.937930426130563,10.822482575276974,12.224356841778654,17.413307307618187,0.0,-12.953352031299548
18,1728885.930055721,10.348795235451082,1.6819380879936165,10.348795235451082,3.6642489533678484,83.74749862445891,0.0,64.5925069537031
19,1543332.4063046596,10.084267231766662,3.9468681877567824,10.084267231766662,3.7775476331118583,60.861130540812425,0.0,62.54018714208478
20,1465514.1587318543,10.040085475378234,2.736694571620003,10.040085475378234,8.502266795609144,72.74231799787636,0.0,15.316788721972085
