Function,N,t_value,peak_height,r_value
Zeta,10000000,18484848.484848484,16.50856068503056,0.7807265036229077
Zeta,10000000,12323232.323232323,10.284026817455427,0.6317127942567029
Zeta,10000000,10909090.909090908,6.367052146451278,-0.07479273571986912
Zeta,10000000,16161616.161616161,5.935386416394831,1.4373051978241171
Zeta,10000000,11919191.91919192,5.878669413976298,0.6693115417144969
Liouville,10000000,19797979.7979798,21.827988769425378,1.924899533394066
Liouville,10000000,17878787.87878788,17.305548463448464,1.1813825415594024
Liouville,10000000,13636363.636363637,12.219003368737601,1.7878879524256035
Liouville,10000000,19292929.29292929,9.473383178645443,-0.3459843051288555
Liouville,10000000,12121212.121212121,7.941801307801953,0.850409794856132
