Peak,t,|F|,S_2_reduction_%,S_3_reduction_%,Dominant
1,1703231.0,37.168162900877086,16.638617747755454,37.31311112503821,S_3
2,1860300.0,35.19454922567974,24.774135362758223,23.522359119165394,S_2
3,1660600.0,32.102970635880546,20.370693250510257,43.96733942798171,S_3
4,1717300.0,31.961371018834345,24.356236805563082,35.94635181276596,S_3
5,1607200.0,31.197843735465284,29.431660793646643,16.32070612368568,S_2
6,1022000.0,31.174011045564157,27.884222843495365,34.22439742319076,S_3
7,1446600.0,29.39445303164447,35.666953403256706,40.09187695214772,S_3
8,1709400.0,29.27333075143471,6.292395887841148,53.79655177557515,S_3
9,1550500.0,29.25161257004466,20.54871498715957,28.741084986607774,S_3
10,1025100.0,28.503699614253613,26.63094570300366,34.847916815869375,S_3
11,1720400.0,28.128803136133996,19.20552454133517,40.95638880266216,S_3
12,1088000.0,27.462544214241007,37.77813860817666,30.429879464590474,S_2
13,1876200.0,27.088494944664568,38.645361632360874,24.177874876811316,S_2
14,1184000.0,27.061608582305386,22.114776185363983,38.87874376643967,S_3
15,1670300.0,26.21317782709885,27.241238099621146,45.93086779557514,S_3
16,1454700.0,26.19843721491442,36.368353868615586,41.17276674947193,S_3
17,1547400.0,25.72828336784269,34.09534108129715,19.68136927137477,S_2
18,1816400.0,25.43793517326621,50.08459280525275,0.893681733678634,S_2
19,1597700.0,25.17668734491489,-0.22303436764572593,25.376119763771392,S_3
20,1714200.0,25.126430541952487,34.04670373619544,44.36801748684996,S_3
