N,Term Type,Mean (%),Median (%),Std Dev (%)
10⁴,All Equal,3.388778754027703,2.0181195849252327,3.4045158176029253
10⁴,Three Equal,20.916224687451322,18.611220718719807,9.401831305145192
10⁴,Two Pairs Equal,18.69706489679882,13.10954226586815,17.26318321727553
10⁴,One Pair Equal,45.66043953271852,50.69437052366273,14.91698352091472
10⁴,All Distinct,11.337492129003627,12.664645593953976,16.41359518665867
10⁵,All Equal,15.342645027116802,2.912059151926573,44.34290004333472
10⁵,Three Equal,9.498324233161776,17.884442098994132,60.966732579058366
10⁵,Two Pairs Equal,85.51880109685945,16.672771951826025,248.31020412417976
10⁵,One Pair Equal,-44.088884838200165,49.16525077874668,361.0011069848701
10⁵,All Distinct,33.72911448106215,17.058395615262008,132.0640533788913
10⁶,All Equal,62.11983980666525,1.790883723694157,391.41395003844957
10⁶,Three Equal,-161.04119596407912,17.20655361385686,1238.4644159621705
10⁶,Two Pairs Equal,405.7033910939081,15.761831151157182,2568.585326715887
10⁶,One Pair Equal,-427.7335727564919,51.77319186208718,3141.4836726005246
10⁶,All Distinct,220.9515378199977,11.185783569420423,1419.6986304281484
