N,Peak,t,magnitude,r_canonical,pct_adjacent,pct_nonadjacent,numerator_adjacent,numerator_nonadjacent,numerator_total,denominator
10^6,1,1786669.9354167231,8.642383181205146,6.231536900964276,26.941770216067557,73.05822978393245,17.340344767067208,47.02196189653042,64.36230666359762,10.328480387179946
10^6,2,1820517.3201552879,49.293050841603986,5.740645230156445,32.29825003689218,67.70174996310783,668.3587331643201,1400.9754642020937,2069.3341973664137,360.4706639065414
10^6,3,1911726.9580638628,7.314679056996201,4.651605748468091,36.31559928725224,63.68440071274775,15.992442826763309,28.04494920486726,44.037392031630574,9.467137675228251
10^6,4,1063142.2326053788,4.900052596267377,4.563816711878613,35.63349760287194,64.36650239712807,7.018031539742401,12.67700827351683,19.69503981325923,4.315475632927449
10^6,5,1294264.9450098258,5.167669014765958,3.7859990529344603,41.30532758189475,58.694672418105256,8.725761589130748,12.399265374595567,21.125026963726313,5.579776082445843
10^7,1,19797979.7979798,21.827988769425378,4.243714700652637,42.68247370128661,57.31752629871339,164.58268733503203,221.01513083938855,385.5978181744206,90.86327554373999
10^7,2,17878787.87878788,17.305548463448464,5.914642028489381,31.46163477705503,68.53836522294498,80.59549824632708,175.57522783782852,256.1707260841556,43.31128153660762
10^7,3,13636363.636363637,12.219003368737601,2.7155335076729665,61.6663131860211,38.3336868139789,67.29046619039926,41.82983420345188,109.12030039385114,40.1837429313697
10^7,4,19292929.29292929,9.473383178645443,1.7855743865096272,68.1917721106712,31.808227889328805,39.22883146121696,18.298389561212108,57.527221022429075,32.21776782701341
10^7,5,12121212.12121212,7.941801315501649,3.748737626155004,45.9873974295906,54.01260257040939,22.897271739225644,26.893046954678933,49.79031869390458,13.281889440999207
