rank,t_value,magnitude,|S_0|,|S_1|,|S_2|,|S_3|,|S_4|,|S_5|,|S_6|,|S_7|,|S_8|,|S_9|,|S_10|,r_at_0deg,r_at_180deg,delta_r,mag_at_180deg,reduction_pct,theta_min_deg,mag_at_min
1,1802537.6324525897,37.72538250824723,1.0,2.958673873421282,4.400377105854633,5.663696059230742,5.975736130412362,5.720396904654628,4.896772997385096,3.665206237104761,2.584148649885233,1.730728688073509,1.0876903010135721,7.000235465973827,3.0427894606594874,-3.957446005314339,0.7108683485482782,28.913165145172183,195.42857142857142,0.7029181806850845
2,1749091.7175759596,27.45314666097595,1.0,3.0524470405020407,5.49394601381386,7.116416235958086,7.403201056629569,6.768743387671046,5.471233384417361,3.898426955734016,2.626739270221195,1.657708976256432,1.0438713661055479,2.0434668988975235,0.5091119145781994,-1.5343549843193243,0.7041682389704991,29.58317610295009,226.28571428571428,0.5577414336371722
3,1161535.313111101,25.14299186523253,1.0,2.5207042696083604,3.300773261636398,4.2634425974708385,4.310197278501135,3.52035476809806,2.584307184873687,1.7135945641398107,1.1247365907903708,0.6766720110839508,0.4312398287694107,7.010200085011046,2.530709782647925,-4.479490302363121,0.6639101805358614,33.60898194641386,185.14285714285714,0.6612500061076384
4,1675858.1310857448,24.215951583374174,1.0,2.654705699225519,4.033830824010061,4.902631739674902,4.807476545484503,3.8477262358075923,2.481426640404775,1.3797192480580607,0.6118553800361375,0.37050168348017865,0.3148632455952565,5.176417601786865,1.19823762079271,-3.9781799809941547,0.5965804152458366,40.34195847541634,174.85714285714286,0.5965804152458366
5,1549795.0995699868,22.871891433620547,1.0,2.5806236054151057,3.690422725582935,3.5932138285563826,3.0363672261131494,2.7043327344645816,2.6469684442014056,2.2407942362423867,1.71092522093453,1.2007210137339193,0.7977078591031538,6.720706523435969,2.6345304306556936,-4.086176092780276,0.6861129752241154,31.38870247758846,174.85714285714286,0.6861129752241154
6,1963001.7028716377,21.680780583935267,1.0,2.289457252119598,3.3251307510247656,3.4388529103515686,4.163903410571699,3.1885679233122732,2.128547849096099,1.375605361645558,0.919645710369483,0.5564020866771947,0.32224223011446634,6.309105119561371,2.4791002436410547,-3.8300048759203165,0.6899241817414644,31.00758182585356,164.57142857142858,0.6872020203001583
7,1780855.0740016473,20.596964838597643,1.0,2.3245995066817664,2.9091477954432348,3.8819088686449454,3.3437075717235256,2.5918236827651193,1.764109060423963,1.240149409610159,0.8106788905102593,0.5290161458540126,0.32592526431996854,6.925568204767529,2.0825962231106168,-4.842971981656913,0.6236531455009664,37.63468544990336,174.85714285714286,0.6236531455009664
8,1593433.080176452,20.510407154030275,1.0,2.6388651544045265,4.143485516667624,4.757029355664757,3.880654606635857,2.911058924762857,1.8064600347128714,1.022065009297291,0.686060216795535,0.41322651060423105,0.23407765420050416,4.513508303833609,0.6957310795933564,-3.8177772242402526,0.5545803449170196,44.54196550829804,164.57142857142858,0.5460552421362632
9,1413226.815427916,20.08476336495583,1.0,2.836398630763564,4.8018663963939385,6.842275457448842,7.480252219314533,6.925285599590512,5.490884862745864,4.033258218925131,2.6296650585481105,1.64564898056324,1.023336073859197,0.6813767975105439,-0.22105678361497882,-0.9024335811255227,0.6806445552309845,31.935544476901544,113.14285714285714,0.45869224758853683
10,1391887.863123481,18.509060449767755,1.0,2.243486519182746,2.6201942462332233,3.1040718222035464,3.109150343489063,2.4620830273407677,1.8010855715898852,1.3109110310196144,0.9214524211469761,0.6024130904867284,0.4003084968880614,6.6817674066326465,2.4045129797913574,-4.277254426841289,0.6657281488771101,33.427185112288996,185.14285714285714,0.6652065847346303
