peak_id,t,original_mag,reduction_S2,reduction_S3,S2_dominant
1,1123848.5871895973,27.17026042039453,28.49563081251636,28.70932035518069,False
2,1598159.7872876925,26.768201786238375,46.669456246773684,37.138970191810124,True
3,1762512.1771650948,25.611231335638678,31.493704916370035,38.8886849766167,False
4,1011065.5280096803,23.421463179524658,40.611487807151924,42.75226635455101,False
5,1102075.026053002,22.08363530857187,34.55649260404803,42.92294399896417,False
6,1631698.7645398518,21.491679442234787,49.01482512439492,50.94566976662888,False
7,1583093.8932497802,20.669018149818516,41.86571326518164,42.08227159948585,False
8,1899353.6524933353,20.13548145971287,39.29543611037139,35.00933199015831,True
9,1318667.118097575,19.891303389472053,54.648781202155,43.19872934274091,True
10,1150979.9227056724,18.672651357377827,64.68613670831009,47.0325351854398,True
11,1820345.230416496,17.792586630041804,45.95837944239543,27.089512528538343,True
12,1473411.9345378485,16.704218425516586,57.1628141121831,54.70315726727189,True
13,1324369.8075530976,15.576301263885137,52.271570097918776,53.066120202906745,False
14,1361271.5728497263,15.422580860773158,59.278264025118794,27.602033928201863,True
15,1156979.547854189,15.100136446864207,31.860143939969852,39.93838304772535,False
16,1211985.6326762163,14.586290295787245,26.801688771892913,67.45552534824306,False
17,1260389.0331314271,14.21024465112148,57.31819399100646,24.244193625438346,True
18,1169281.5590170496,14.202206098325224,54.08867930775367,39.04228545763,True
19,1263762.7416402411,13.595881832620854,55.737041164119404,35.29559422978494,True
20,1625680.075398004,13.347454268286297,51.401867811098086,40.53545934719521,True
