class,family,GRH,lambda,mean_abs_lp,log_q,q,lambda_pred_loo
F1,zeta,GRH,0.4513343348819608,1.0,0.0,1,0.3550479084311613
F2,character,GRH,0.4308121134269286,0.96,1.6094379124341003,5,0.3966293178351187
F4,DH,violator,0.4449479599667091,0.5590847999999999,1.6094379124341003,5,0.36341073818587444
F5p,DH,violator,0.4455281845688272,0.5870848000000001,1.6094379124341003,5,0.36627803444380125
F5m,DH,violator,0.4443298958853445,0.5310848,1.6094379124341003,5,0.3603846690158832
F6,liouville/mobius,GRH,0.4369320789374039,1.0,0.0,1,0.35905308118934276
F7,liouville/mobius,GRH,0.4620680123659416,1.0,0.0,1,0.35206294324102433
F9,modular,GRH,0.3198558229952307,0.7477154002273436,0.0,1,0.3736251195590847
F10,modular,GRH,0.2965272007740036,0.7662515036170114,2.3978952727983707,11,0.45072852264121704
F11,modular,GRH,0.1018302345409213,0.6463310165629444,0.0,1,0.421400528333128
F12,DH,violator,0.4387644627713832,2.1062413263467543,2.70805020110221,15,0.8081800254985609
