class,k,C_k,M_kk,A,logA,d,q,logd,logq,grh,resid
F1,0,1.0,1.0,1.0,0.0,1,1,0.0,0.0,True,-1.4056454557186275
F1,1,3.6603396969770516,18.865715289910533,5.154088650703943,1.6397903124516593,1,1,0.0,0.0,True,0.05546773470674227
F1,2,5.1281883291951775,50.6440877374778,9.875629459463694,2.2900700514862047,1,1,0.0,0.0,True,0.5270703517149982
F1,3,3.4004212240425264,30.87098014116998,9.078575302053197,2.205917275242095,1,1,0.0,0.0,True,0.26424045344459857
F1,4,1.0634493999480994,10.354162395002994,9.736394035774827,2.275870826905576,1,1,0.0,0.0,True,0.1555168830817899
F1,5,0.13550474105253843,2.2503265383144035,16.606994861101562,2.8098239837828607,1,1,0.0,0.0,True,0.5107929179327857
F1,6,0.004812368424230543,0.05865516589589065,12.188419656433332,2.500486292466481,1,1,0.0,0.0,True,0.022778104590115866
F1,7,1.0963226099890267e-05,1.537211684918346e-05,1.4021526792498902,0.33800868371726966,1,1,0.0,0.0,True,-2.3183766261853846
F2,0,1.0,1.0,1.0,0.0,1,5,0.0,1.6094379124341003,True,-1.3687563134957017
F2,1,3.410340336977052,18.568333555917064,5.444715694380273,1.6946455409501464,1,5,0.0,1.6094379124341003,True,0.14721210542815522
F2,2,4.315878906997118,46.662960114539764,10.811925246300921,2.38064971443367,1,5,0.0,1.6094379124341003,True,0.6545391568853893
F2,3,2.456297405481128,39.28186190333525,15.992306882578374,2.7721077867700044,1,5,0.0,1.6094379124341003,True,0.867320107195434
F2,4,0.6025321125291302,17.24305235588132,28.617648748219512,3.354023616603206,1,5,0.0,1.6094379124341003,True,1.2705588150023464
F2,5,0.050292353802169246,1.4628580805381404,29.0870872000237,3.370294336865437,1,5,0.0,1.6094379124341003,True,1.1081524132382872
F2,6,0.0007274449932025927,0.005969091396199683,8.205557055139833,2.1048116143934683,1,5,0.0,1.6094379124341003,True,-0.3360074312599708
F4,0,1.0,1.0,1.0,0.0,2,5,0.6931471805599453,1.6094379124341003,False,-1.4477026187776303
F4,1,1.5168283797795212,4.84893008831055,3.1967559105238834,1.1621365176239506,2,5,0.6931471805599453,1.6094379124341003,False,-0.46424322317996913
F4,2,2.396936944893432,15.645580116483377,6.5273223602379655,1.8759968071630768,2,5,0.6931471805599453,1.6094379124341003,False,0.07093994433286754
F4,3,1.3276706885146294,11.84677088770096,8.922973889673562,2.188629286731234,2,5,0.6931471805599453,1.6094379124341003,False,0.20489530187473504
F4,4,0.32436926342181804,5.314069131046475,16.382776453562816,2.7962305667204834,2,5,0.6931471805599453,1.6094379124341003,False,0.6338194598376949
F4,5,0.027268464482057712,0.4895139950419918,17.951652369867965,2.887682164729217,2,5,0.6931471805599453,1.6094379124341003,False,0.5465939358201388
F4,6,0.00039162401286286857,0.0020858549873311446,5.326167239038862,1.6726318873942232,2,5,0.6931471805599453,1.6094379124341003,False,-0.8471334635411443
F5p,0,1.0,1.0,1.0,0.0,2,5,0.6931471805599453,1.6094379124341003,False,-1.4477026187776303
F5p,1,1.5804906876814284,4.923136954458133,3.1149420827530148,1.1362105590498754,2,5,0.6931471805599453,1.6094379124341003,False,-0.49016918175404434
F5p,2,2.461454242274614,15.729576306083834,6.390359014575154,1.85479045062577,2,5,0.6931471805599453,1.6094379124341003,False,0.049733587795560696
F5p,3,1.3656165706563943,11.949708972481599,8.750412985057642,2.1691008975480206,2,5,0.6931471805599453,1.6094379124341003,False,0.1853669126915216
F5p,4,0.3337214562502968,5.361727349633086,16.06647474776599,2.776734787157308,2,5,0.6931471805599453,1.6094379124341003,False,0.6143236802745196
F5p,5,0.028042557259990705,0.4953691876530762,17.66490777072734,2.8715800597800625,2,5,0.6931471805599453,1.6094379124341003,False,0.5304918308709845
F5p,6,0.00040291474623745457,0.0021083646437442694,5.232781037261222,1.6549428838357234,2,5,0.6931471805599453,1.6094379124341003,False,-0.864822467099644
F5m,0,1.0,1.0,1.0,0.0,2,5,0.6931471805599453,1.6094379124341003,False,-1.4477026187776303
F5m,1,1.4634647498739102,4.787125632466805,3.271090494580929,1.1851234138968623,2,5,0.6931471805599453,1.6094379124341003,False,-0.4412563269070575
F5m,2,2.342856637511795,15.543107554363878,6.634254655407026,1.892246326192557,2,5,0.6931471805599453,1.6094379124341003,False,0.08718946336234779
F5m,3,1.2958633274906601,11.806238361299066,9.110712612078421,2.209450931272803,2,5,0.6931471805599453,1.6094379124341003,False,0.2257169464163038
F5m,4,0.31652997871235045,5.252026052312447,16.592507520702405,2.808951239296988,2,5,0.6931471805599453,1.6094379124341003,False,0.6465401324141995
F5m,5,0.026619597014389536,0.4844495907426065,18.19898289522308,2.901365707643279,2,5,0.6931471805599453,1.6094379124341003,False,0.5602774787342009
F5m,6,0.0003821597861167583,0.0020647132151211368,5.402748510253565,1.686907807462414,2,5,0.6931471805599453,1.6094379124341003,False,-0.8328575434729535
F6,0,1.0,1.0,1.0,0.0,1,1,0.0,0.0,True,-1.4056454557186275
F6,1,3.6603396969770516,21.99838378842183,6.009929571998341,1.7934130300089604,1,1,0.0,0.0,True,0.20909045226404332
F6,2,5.1281883291951775,93.66659483683382,18.26504582594648,2.904989169192715,1,1,0.0,0.0,True,1.1419894694215085
F6,3,3.4004212240425264,125.14097205201695,36.80160892045176,3.605541564883615,1,1,0.0,0.0,True,1.6638647430861189
F6,4,1.0634493999480994,54.201921987454746,50.96803100373184,3.93119859311199,1,1,0.0,0.0,True,1.810844649288204
F6,5,0.13550474105253843,5.660904663454651,41.77643246637239,3.7323323639324038,1,1,0.0,0.0,True,1.4333012980823288
F6,6,0.004812368424230543,0.07763230542603149,16.131829191453527,2.7807942887734107,1,1,0.0,0.0,True,0.3030861008970458
F6,7,1.0963226099890267e-05,1.55953488493694e-05,1.422514568911928,0.35242612873175694,1,1,0.0,0.0,True,-2.3039591811708977
F7,0,1.0,1.0,1.0,0.0,1,1,0.0,0.0,True,-1.4056454557186275
F7,1,2.8873280995676724,9.584625853356567,3.3195485662996522,1.199828799676965,1,1,0.0,0.0,True,-0.38449377806795204
F7,2,3.2249042478451937,24.18140788727784,7.498333602752793,2.0146808095556046,1,1,0.0,0.0,True,0.25168110978439806
F7,3,1.770094581745644,23.041919531017758,13.017338038679334,2.5662821641629856,1,1,0.0,0.0,True,0.6246053423654894
F7,4,0.4937386797814167,8.7369376463182,17.695469291946367,2.873308634606887,1,1,0.0,0.0,True,0.7529546907831008
F7,5,0.06382412570811968,1.0104089758035293,15.831144799763162,2.76197918964593,1,1,0.0,0.0,True,0.4629481237958548
F7,6,0.002815447306314143,0.025220298333278802,8.957829996220417,2.1925280097327797,1,1,0.0,0.0,True,-0.2851801781435852
F7,7,1.0963226099890267e-05,2.2506537248102516e-05,2.0529118931814963,0.7192592209841128,1,1,0.0,0.0,True,-1.9371260889185415
F9,0,1.0,1.0,1.0,0.0,2,1,0.6931471805599453,0.0,True,-1.4845917610005561
F9,1,2.3564668282507233,11.764416792827888,4.9923965199887705,1.607916059000139,2,1,0.6931471805599453,0.0,True,-0.055352824026706715
F9,2,1.9495277662168244,31.079181219392904,15.941902320121308,2.768951008783429,2,1,0.6931471805599453,0.0,True,0.9270050037302939
F9,3,0.6900005769531143,23.244383358810975,33.687483945959706,3.51712637211132,2,1,0.6931471805599453,0.0,True,1.4965032450318954
F9,4,0.10124884605164221,3.859179700546562,38.11578947357265,3.6406286181621734,2,1,0.6931471805599453,0.0,True,1.4413283690564591
F9,5,0.0051177023918990506,0.10828851456862067,21.15959590382463,3.052093509634996,2,1,0.6931471805599453,0.0,True,0.6741161385029923
F9,6,5.705846891006413e-05,0.0003610756205726261,6.328168762147394,1.8450108992227905,2,1,0.6931471805599453,0.0,True,-0.7116435939355028
F9,7,2.670911035558882e-08,4.298691430446401e-08,1.609447627875374,0.47589103185195875,2,1,0.6931471805599453,0.0,True,-2.259440583332624
F10,0,1.0,1.0,1.0,0.0,2,17,0.6931471805599453,2.833213344056216,True,-1.4196530583706957
F10,1,3.232967442858615,17.373644256166077,5.373900159292717,1.6815539315489492,2,17,0.6931471805599453,2.833213344056216,True,0.08322375115196401
F10,2,3.4670874849510933,57.27477380462188,16.519564058658244,2.804545379043569,2,17,0.6931471805599453,2.833213344056216,True,1.0275380766202944
F10,3,1.450601196833054,46.49711132442488,32.05368327693177,3.4674120996007405,2,17,0.6931471805599453,2.833213344056216,True,1.5117276751511763
F10,4,0.22691726703448387,7.397153194532877,32.59845886214008,3.484265013087721,2,17,0.6931471805599453,2.833213344056216,True,1.3499034666118672
F10,5,0.010821252224562223,0.1838053578034912,16.98559039094268,2.8323653605576196,2,17,0.6931471805599453,2.833213344056216,True,0.5193266920554764
F10,6,9.39761858696486e-05,0.0004973867367938286,5.29268912321828,1.6663264575817773,2,17,0.6931471805599453,2.833213344056216,True,-0.8253893329466557
F10,7,1.901861275345914e-08,2.2288428158588885e-08,1.1719271246287415,0.15864950887063956,2,17,0.6931471805599453,2.833213344056216,True,-2.5117434036840827
F11,0,1.0,1.0,1.0,0.0,3,1,1.0986122886681098,0.0,True,-1.5307723891609688
F11,1,2.615115978431735,16.973332416435593,6.4904702339872395,1.8703349832510716,3,1,1.0986122886681098,0.0,True,0.16088547206381332
F11,2,2.4063194903002025,54.320308992464426,22.574021949881494,3.1167997738852917,3,1,1.0986122886681098,0.0,True,1.2286731406717437
F11,3,0.923031674976297,43.83931548403494,47.49491991719646,3.860622756209478,3,1,1.0986122886681098,0.0,True,1.7938190009696404
F11,4,0.13839291019366715,8.3471758491157,60.31505398242335,4.099581724025209,3,1,1.0986122886681098,0.0,True,1.8541008467590823
F11,5,0.006227182643675558,0.26174664934410385,42.032916701092525,3.738453042305009,3,1,1.0986122886681098,0.0,True,1.3142950430125926
F11,6,4.47758641140661e-05,0.0004979649692403899,11.12128105382464,2.408860484869189,3,1,1.0986122886681098,0.0,True,-0.19397463644951696
F11,7,3.061644900828201e-12,3.101801161760418e-12,1.0131159106405039,0.013030641860406143,3,1,1.0986122886681098,0.0,True,-2.7684816014845897
F12,0,4.309617785599009,4.309617785599009,1.0,0.0,2,15,0.6931471805599453,2.70805020110221,False,-1.4225218617869864
F12,1,15.307501513481832,79.99589899013331,5.225927883768506,1.6536323674946927,2,15,0.6931471805599453,2.70805020110221,False,0.05243338368141681
F12,2,19.39078431013247,210.42311645726897,10.851707341580525,2.3843224262779077,2,15,0.6931471805599453,2.70805020110221,False,0.6044463204383423
F12,3,10.738947784801042,139.75276205309387,13.013636424500321,2.5659977634226907,2,15,0.6931471805599453,2.70805020110221,False,0.6074445355568359
F12,4,2.5615151627168307,58.90319204894209,22.995449297464766,3.1352963397209774,2,15,0.6931471805599453,2.70805020110221,False,0.9980659898288331
F12,5,0.20726807123860091,5.265322421965248,25.403441979753666,3.234884675857627,2,15,0.6931471805599453,2.70805020110221,False,0.9189772039391926
F12,6,0.0028769963172721345,0.020319995862063064,7.062920359011708,1.9548586145613875,2,15,0.6931471805599453,2.70805020110221,False,-0.5397259793833362
