,mean_abs_ap,var_abs_ap,skew_abs_ap,kurt_abs_ap,autocorr_k1,autocorr_k2,autocorr_k3,second_moment,PC1,PC2
F1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,14.392726722865726,-14.292172766051287,-9.976394475496276
F2,0.9940476190476191,0.005916950113378684,-12.845465660066676,163.0059880239522,-0.2000002000002,-0.1999993999988,-0.2000006000018,11.836068560779799,22.733997634644048,-10.550284396811353
F4,0.9754471428571427,0.08557061880612242,-0.04536903040852499,-1.3605047371137877,-0.10250839178839355,-0.32977129996114773,-0.32977327859982997,13.035797557222175,-35.639850257835874,-0.22818303325073241
F5p,0.9721733333333333,0.11612316203174597,0.033401903321716504,-1.6694498619409184,-0.08868997796998304,-0.3559528214162004,-0.3559549571448754,13.444667658395112,-35.57234461663167,-0.2909228051374537
F5m,0.9787209523809524,0.059966878018140615,-0.2011902471542968,-0.6300954579130935,-0.11732680660679895,-0.3045897755061066,-0.30459160305481114,12.686107798853131,-35.68644502399781,-0.17653370997839435
F6,1.0,0.0,0.0,0.0,-0.001109001109001109,7.000014000028e-05,-0.000425001275003825,14.392726722865726,85.39755129539301,-12.368033574246924
F7,1.0,0.0,0.0,0.0,0.000409000409000409,-0.000383000766001532,-0.000304000912002736,9.44271614518046,-2.5927081557840594,-7.855462822549853
F9,0.8164761240179756,0.2707493151084184,0.3232760350096864,-0.950039570508936,3.8553892072227975e-06,-9.787386437265128e-05,-4.541700445463783e-05,6.102418805042224,37.90696242172461,20.603848090608643
F10,0.8091934362206782,0.2548007223252672,0.27421859112945285,-0.8760443947556547,-0.00023299447680226058,5.408500415279579e-05,0.00047076868727151145,9.38848863910629,29.053215810633084,21.890313763344885
F11,0.8186262110437622,0.28144170486310915,1.2941165901179457,2.2639740873559218,0.00012622851045242123,0.00019930633757131704,-0.0005544473787874705,7.089132012412755,-55.57212404703957,5.084321433211402
F12,2.147343599143572,0.014088872492073008,-5.356224253186245,49.24523986513101,-1.0615264417317487,-1.0615314755792449,-0.06152127688016192,52.51851162428707,4.26391770494525,-6.132668469693897
