,C_0,M_00,C_1,M_11,C_2,M_22,C_3,M_33,C_4,M_44,C_5,M_55,C_6,M_66,C_7,M_77
F1,1.0,1.0,3.6603396969770516,18.865715289910533,5.1281883291951775,50.6440877374778,3.4004212240425264,30.87098014116998,1.0634493999480994,10.354162395002994,0.13550474105253843,2.2503265383144035,0.004812368424230543,0.05865516589589065,1.0963226099890267e-05,1.537211684918346e-05
F2,1.0,1.0,3.410340336977052,18.568333555917064,4.315878906997118,46.662960114539764,2.456297405481128,39.28186190333525,0.6025321125291302,17.24305235588132,0.050292353802169246,1.4628580805381404,0.0007274449932025927,0.005969091396199683,0.0,0.0
F4,1.0,1.0,1.5168283797795212,4.84893008831055,2.396936944893432,15.645580116483377,1.3276706885146294,11.84677088770096,0.32436926342181804,5.314069131046475,0.027268464482057712,0.4895139950419918,0.00039162401286286857,0.0020858549873311446,0.0,0.0
F5p,1.0,1.0,1.5804906876814284,4.923136954458133,2.461454242274614,15.729576306083834,1.3656165706563943,11.949708972481599,0.3337214562502968,5.361727349633086,0.028042557259990705,0.4953691876530762,0.00040291474623745457,0.0021083646437442694,0.0,0.0
F5m,1.0,1.0,1.4634647498739102,4.787125632466805,2.342856637511795,15.543107554363878,1.2958633274906601,11.806238361299066,0.31652997871235045,5.252026052312447,0.026619597014389536,0.4844495907426065,0.0003821597861167583,0.0020647132151211368,0.0,0.0
F6,1.0,1.0,3.6603396969770516,21.99838378842183,5.1281883291951775,93.66659483683382,3.4004212240425264,125.14097205201695,1.0634493999480994,54.201921987454746,0.13550474105253843,5.660904663454651,0.004812368424230543,0.07763230542603149,1.0963226099890267e-05,1.55953488493694e-05
F7,1.0,1.0,2.8873280995676724,9.584625853356567,3.2249042478451937,24.18140788727784,1.770094581745644,23.041919531017758,0.4937386797814167,8.7369376463182,0.06382412570811968,1.0104089758035293,0.002815447306314143,0.025220298333278802,1.0963226099890267e-05,2.2506537248102516e-05
F9,1.0,1.0,2.3564668282507233,11.764416792827888,1.9495277662168244,31.079181219392904,0.6900005769531143,23.244383358810975,0.10124884605164221,3.859179700546562,0.0051177023918990506,0.10828851456862067,5.705846891006413e-05,0.0003610756205726261,2.670911035558882e-08,4.298691430446401e-08
F10,1.0,1.0,3.232967442858615,17.373644256166077,3.4670874849510933,57.27477380462188,1.450601196833054,46.49711132442488,0.22691726703448387,7.397153194532877,0.010821252224562223,0.1838053578034912,9.39761858696486e-05,0.0004973867367938286,1.901861275345914e-08,2.2288428158588885e-08
F11,1.0,1.0,2.615115978431735,16.973332416435593,2.4063194903002025,54.320308992464426,0.923031674976297,43.83931548403494,0.13839291019366715,8.3471758491157,0.006227182643675558,0.26174664934410385,4.47758641140661e-05,0.0004979649692403899,3.061644900828201e-12,3.101801161760418e-12
F12,4.309617785599009,4.309617785599009,15.307501513481832,79.99589899013331,19.39078431013247,210.42311645726897,10.738947784801042,139.75276205309387,2.5615151627168307,58.90319204894209,0.20726807123860091,5.265322421965248,0.0028769963172721345,0.020319995862063064,0.0,0.0
