class,pc1_complex,H_complex,t_min,t_max,n_peaks,source
F1,0.9588934505561402,0.2116598962053014,22299.100000044746,99937.9000003272,200,peak_recomputed
F2,0.9537137694157592,0.22206657622268897,17859.900000028596,99586.90000032591,200,peak_recomputed
F4,0.9227181376548591,0.3641903498534227,17859.800000028594,99972.80000032732,200,peak_recomputed
F5p,0.9221673340583854,0.3669988293064488,17859.800000028594,99972.80000032732,200,peak_recomputed
F5m,0.9236916004823755,0.3598206605180538,17859.800000028594,99972.80000032732,200,peak_recomputed
F6,0.9363334925369198,0.2807531516637515,15387.4000000196,99716.8000003264,200,peak_recomputed
F7,0.9398316828847234,0.2669428917580504,14735.500000017228,99923.70000032714,200,peak_recomputed
F9,0.9564104073526408,0.2119994178884219,14990.700000018156,99515.40000032564,200,peak_recomputed
F10,0.9529787005574213,0.21892905152560652,13058.800000011128,99962.10000032728,200,peak_recomputed
F11,0.9542603888827419,0.21495517163053993,10411.700000001498,99345.60000032504,200,peak_recomputed
F12,0.9318135532827204,0.3119766301779301,14118.300000014982,99888.400000327,200,peak_recomputed
F13,0.9495929416617989,0.2293577318358999,10047.360000001034,19963.84000021749,200,peak_recomputed
F14,0.895351534007104,0.45432088535819243,10037.750000000138,19999.580000036378,200,peak_recomputed
F15,0.9412682231836961,0.2576691828288922,10043.29774999937,19996.38724985453,200,class_npy
F16(c=0.00),0.9405179706645548,0.2599958213908669,10043.298499999371,19996.384999854534,200,F16_csv
F16(c=0.20),0.9350195039991052,0.2901581323611075,10043.298499999371,19996.384999854534,200,F16_csv
F16(c=0.40),0.9206105756379556,0.3526408482113309,10043.298499999371,19996.384999854534,200,F16_csv
F16(c=0.45),0.9178372067339984,0.3642012422640425,10043.298499999371,19996.384999854534,200,F16_csv
F16(c=0.50),0.9149619988552934,0.3744565961352367,10043.298499999371,19996.384999854534,200,F16_csv
F16(c=0.55),0.9133061960511816,0.3836840732723372,10043.298499999371,19996.384999854534,200,F16_csv
F16(c=0.60),0.9093870129504804,0.4013053290497321,10043.298499999371,19996.384999854534,200,F16_csv
F16(c=0.70),0.9053747570915304,0.4191186801585247,10043.298499999371,19996.384999854534,200,F16_csv
F16(c=0.80),0.8997955615952519,0.442141325370309,10043.298499999371,19996.384999854534,200,F16_csv
F16(c=0.90),0.9002140850525361,0.4425657681651883,10043.298499999371,19996.384999854534,200,F16_csv
F16(c=1.00),0.9057726562118966,0.4242978762915739,10043.298499999371,19996.384999854534,200,F16_csv
