c,pc1_complex,H_complex,mean_log|S1|,mean_log|S2|,mean_log|S3|,mean_log|S4|,mean_log|S5|,mean_log|S6|,top_|L|,mean_|L|
0.0,0.9424334249163192,0.13987750268184576,1.1336899952423025,1.4208957377368572,0.859405788476714,-0.5536757161786425,-2.8533205075923966,-6.144997048071138,18.313529671186345,10.980688927314391
0.05,0.9437412004826177,0.13827111106608087,1.1321357901038465,1.4169531318880684,0.8607998670325672,-0.5539312181091778,-2.8309459714708898,-6.089998138793922,18.31133744560942,11.02723609738594
0.1,0.9434125254913882,0.14004544884774484,1.1323896733853926,1.4163678161336488,0.856791556760937,-0.5566833389428493,-2.809596072180217,-6.026318016947659,18.309149481738643,11.082305577304123
0.15,0.9412468303338974,0.14578353053896473,1.136595726362935,1.416297136917247,0.8567181130746817,-0.5616274692147681,-2.7826674706624397,-5.9209211584709145,18.30696578110201,11.144812162611215
0.2,0.9378784234331076,0.1539447276460479,1.1432159629695373,1.4178342924540621,0.8519046586735647,-0.5763802653388796,-2.740413139924229,-5.797708710381375,18.30478634522531,11.21245225682977
0.3,0.9292468409940153,0.17330460500029973,1.1609840095823458,1.423057575861823,0.8482479624720841,-0.550645478644618,-2.6609352038925205,-5.618116944431183,18.300440273843474,11.383526669561887
0.4,0.9225504684666634,0.18835563847141923,1.1916769719585614,1.4336852483405438,0.8313970057270467,-0.5263168062343365,-2.55080579325061,-5.395746138772297,18.29611127975413,11.617617513286422
0.5,0.9167830784796251,0.20005465297032862,1.2416728449789138,1.4400301244448483,0.8300338638822251,-0.49220544115027076,-2.451446005716713,-5.199384741322858,18.29179937508196,11.945002400335724
0.6,0.9118249113801169,0.21286377899069822,1.2780703783215466,1.4479208944105109,0.8442937132332611,-0.41311029796921644,-2.258286025387184,-4.979680849508796,18.437798247980872,12.36203386245099
0.8,0.899629032386444,0.23817164413785,1.3637894656627088,1.509540072882711,0.9313068949103135,-0.1662303137551593,-1.8720043255407637,-4.601730818825655,20.742160253197518,13.581300447988287
1.0,0.9032923351934391,0.23200770154514763,1.4841352714635192,1.5791732954757465,1.0482898859590435,0.1015501375400774,-1.4558160023996474,-4.213482357562172,23.791013705747027,15.29376645866907
1.5,0.9231255043600906,0.1950174937632856,1.751472541472223,1.8219771748604483,1.3963927650280379,0.6481260683212133,-0.8526122400732246,-3.7160114954136896,31.49702706966388,20.67994140001885
2.0,0.9365646758077362,0.16884774738339509,1.9882197569735793,2.0605575621982344,1.672315975868753,0.9851436658325724,-0.5104151851182551,-3.4116025961398986,39.28265031109238,26.60702450361529
