n,macro_auc_11class,acc_11class,macro_auc_4family,acc_4family
1,0.5443288636363637,0.11090909090909092,0.568191388888889,0.42363636363636364
2,0.6027818181818182,0.13454545454545455,0.63470203125,0.45045454545454544
3,0.6506693181818182,0.1440909090909091,0.6774995486111111,0.4722727272727273
5,0.6922197727272726,0.16454545454545455,0.747979357638889,0.5018181818181818
10,0.7565402272727273,0.22181818181818183,0.8248061458333333,0.585
20,0.8227647727272726,0.28545454545454546,0.9095213368055555,0.7027272727272728
30,0.8527854545454545,0.33181818181818185,0.9452302256944445,0.7731818181818182
50,0.8842777272727272,0.41454545454545455,0.9755705034722223,0.8690909090909091
75,0.9049024999999999,0.47909090909090907,0.9923512152777778,0.9377272727272727
100,0.9201363636363635,0.5590909090909091,0.99842171875,0.9772727272727273
150,0.9447429545454546,0.6418181818181818,0.99999703125,0.9990909090909091
175,0.9618106818181819,0.7195454545454546,1.0,1.0
199,0.9944829545454547,0.935,1.0,1.0
