function,GRH_true,pc1_complex,H_complex
F1,True,0.9467826521719364,0.27314691044070805
F2,True,0.9501613718308296,0.2507849905801772
F4,False,0.9024645319810355,0.43729921835935376
F5p,False,0.9013900054580932,0.44177245415691435
F5m,False,0.9035025078528027,0.432961745452995
F6,True,0.9036292424413968,0.36915561363904287
F7,True,0.9248333027868573,0.2955894745009969
F9,True,0.9455347576376585,0.24585639452687544
F10,True,0.9333633234364785,0.2846822465989157
F11,True,0.9317254949794147,0.2908470203954488
F12,False,0.912877855583476,0.3965900910629186
