class,GRH_status,pc1_complex,H_complex,dist_to_GRH_true_centroid,dist_to_GRH_false_centroid
F1,GRH-true,0.9563449532949623,0.20659871658862045,0.022647497070321255,0.1105064018607622
F2,GRH-true,0.9554064519307692,0.21047096405604174,0.018665373202340386,0.10652207662234817
F4,GRH-false,0.9285606837842321,0.3219623940411782,0.09602898297243488,0.008177950688080537
F5p,GRH-false,0.9278267757025951,0.3244163186411766,0.0985855458812326,0.01072401058924665
F5m,GRH-false,0.929139042691566,0.31974834204468827,0.09374147150041384,0.005902461996613629
F6,GRH-true,0.9405331274895059,0.2595462495620335,0.03261989757542582,0.055378789457530615
F7,GRH-true,0.9449205852528307,0.24762305862738893,0.019938147355868307,0.06795224668900735
F9,GRH-true,0.9558686715776101,0.20703559259075388,0.02210270889001686,0.10996885059876424
F10,GRH-true,0.9480009003325125,0.23963544995276723,0.0114412259102032,0.07643306618368845
F11,GRH-true,0.9513351330698825,0.22814739577091908,0.0010322640756428346,0.08838541467276115
F12,GRH-false,0.9400831537321755,0.27284561334177926,0.04557888991723988,0.042292852452972256
F13,GRH-true,0.949104963309384,0.23115550359871118,0.0029878656020242405,0.08493849256350373
F14,GRH-false,0.9239291294904194,0.3305080887310806,0.10543392322311912,0.01765504038733994
