class,family,GRH,lambda,C,R2,lead_eigval
F1,zeta,GRH,0.4513343348819608,0.5757261030990576,0.5682469257846565,49.583846442027685
F2,character,GRH,0.43081211342692866,0.6233459063262212,0.7588244175055376,84.09583567918074
F4,DH,violator,0.44494795996670916,0.5864039835207926,0.6874893152164159,25.06694513243189
F5p,DH,violator,0.44552818456882726,0.5852230870791689,0.6895876204123296,25.133016638501083
F5m,DH,violator,0.4443298958853445,0.5877267005623923,0.6854539820326089,25.026048271055704
F6,liouville/mobius,GRH,0.4369320789374039,0.6197866138239967,0.8765392933100774,144.96124161548187
F7,liouville/mobius,GRH,0.4620680123659416,0.5677776033618256,0.8996293073767004,59.04914690400746
F9,modular,GRH,0.31985582299523074,0.9313155006638179,0.8532211540757515,97.35641509051621
F10,modular,GRH,0.2965272007740036,1.0117559713069744,0.8807563162291263,89.41170435496342
F11,modular,GRH,0.1018302345409213,1.7265093595502103,0.2767846207875839,5.021584013011677
F12,DH,violator,0.43876446277138326,0.6020018218943224,0.7279110245675773,64.58073153453475
