n,lambda_critical_only,lambda_offline_contrib,lambda_total
1,0.09630772584745968,0.0003860170806217774,0.09669374292808146
2,0.38351188714467643,0.0015440528746786585,0.3850559400193551
3,0.8565134825767732,0.003474061039755886,0.8599875436165291
4,1.5070055188473155,0.0061759643418641125,1.5131814831891797
5,2.323752583226912,0.009649654660492014,2.333402237887404
6,3.2929676531682466,0.013894992995679445,3.3068626461639257
7,4.398772215618154,0.018911809477110613,4.417684025095265
8,5.6237227103681375,0.024699903375226633,5.648422613743365
9,6.949383895610932,0.03125904311435663,6.980642938725289
10,8.356928050805733,0.03858896628786649,8.3955170170936
11,9.827738045097188,0.04668937967532412,9.874427424772513
12,11.34399224169204,0.05555995926168001,11.399552200953721
13,12.88920998105108,0.06520035025846169,12.954410331309543
14,14.448737958213353,0.07561016712698056,14.524348125340333
15,16.010160121341535,0.0867889936035495,16.096949114945083
16,17.56361668089057,0.09873638272670918,17.662353063617278
17,19.102021318199213,0.11145185686646156,19.213473175065673
18,20.621169584979302,0.12493490775550795,20.746104492734812
19,22.119735642081956,0.13918499652248978,22.258920638604447
20,23.599158738454356,0.1542015537272295,23.753360292181586
21,25.063425017265665,0.16998397939796905,25.233408996663634
22,26.51875419636151,0.1865316430706034,26.70528583943211
23,27.973204253852213,0.203843883829906,28.17704813768212
24,29.436210320607678,0.2219200103527435,29.65813033096042
25,30.918076423273135,0.24075930095327655,31.15883572422641
26,32.42944044181867,0.2603610036301431,32.68980144544881
27,33.98073357991636,0.28072433611562136,34.261457916031986
28,35.58165576002817,0.30184848592676833,35.88350424595494
29,37.24068764481534,0.32373261041853063,37.56442025523387
30,38.96465848068989,0.34637583683882356,39.311034317528716
31,40.75838671677829,0.3697772623855742,41.128163979163865
32,42.62440746017325,0.39393595426572536,43.018343414438974
33,44.562797397850986,0.4188509497561949,44.981648347607184
34,46.57110397931039,0.44452125626678685,47.015625235577176
35,48.64438155960858,0.47094585140504935,49.11532741101363
36,50.77533300760643,0.49812368304307547,51.2734566906495
37,52.95455115027246,0.5260536693862408,53.480604819658694
38,55.17085050981838,0.5547346990438741,55.72558520886225
39,57.41167624678104,0.5841656311018556,57.995841877882896
40,59.66357418523077,0.6143452951971368,60.277919480427904
41,61.91270338294193,0.6452724915941782,62.557975874536105
42,64.14537101256718,0.6769459912632971,64.82231700383048
43,66.34856840510449,0.7093645359609227,67.0579329410654
44,68.5104870097533,0.7425268383117493,69.25301384806505
45,70.62099374880577,0.776431581892785,71.39742533069857
46,72.67204676518989,0.8110774213192883,73.48312418650919
47,74.65803481589539,0.8464629823325848,75.50449779822797
48,76.57602647073148,0.8825868618897613,77.45861333262124
49,78.42591872167766,0.9194476282552283,79.34536634993289
50,80.21047846175112,0.9570438210941438,81.16752228284527
51,81.93527440637997,0.9953739515676943,82.93064835794766
52,83.6085012472267,1.0344365024302233,84.64293774965692
53,85.24070198668565,1.074229928128203,86.31493191481384
54,86.84439834144437,1.114752654901039,87.95915099634541
55,88.43364267433249,1.1560030808837023,89.5896457552162
56,90.02350797796905,1.1979795762111844,91.22148755418023
57,91.62953487349866,1.2406804831247606,92.87021535662342
58,93.26715630878486,1.2841041160800613,94.55126042486494
59,94.95112157599037,1.3282487618569376,96.27937033784731
60,96.6949413816447,1.3731126796711195,98.06805406131582
61,98.51037498757252,1.4186941012876517,99.92906908886017
62,100.40697892451107,1.4649912311361035,101.87197015564716
63,102.39173451857465,1.5120022464275455,103.9037367650022
64,104.46876854908217,1.5597252972732782,106.02849384635545
65,106.63917788502694,1.608158506805312,108.24733639183226
66,108.90096505804605,1.6572999712985836,110.55826502934464
67,111.24908756956823,1.7071477602949054,112.95623532986315
68,113.67561945673052,1.7576999167286322,115.43331937345914
69,116.17001941789431,1.8089544570540437,117.97897387494835
70,118.71949578461968,1.8609093713744278,120.58040515599411
71,121.30945497533098,1.9135626235728584,123.22301759890384
72,123.92401691547313,1.9669121514446581,125.89092906691779
73,126.54657837955372,2.020955866831534,128.56753424638526
74,129.16040339835268,2.0756916557573803,131.23609505411008
75,131.74921884877503,2.131117378565735,133.88033622734076
76,134.29779314345382,2.187230870058883,136.48502401351269
77,136.7924765700441,2.244029939638594,139.03650650968268
78,139.2216832722673,2.301512371448486,141.52319564371578
79,141.57629706149572,2.3596759245180032,143.93597298601372
80,143.84998611564953,2.418518332908,146.2685044485575
81,146.03941505254699,2.478037305857919,148.5174523584049
82,148.14434672737835,2.538230527934549,150.6825772553129
83,150.167630252036,2.599095659182363,152.76672591121834
84,152.11507601019204,2.6606303352754113,154.77570634546743
85,153.9952226840071,2.7228321676707696,156.71805485167786
86,155.81900535529152,2.785698743763528,158.60470409905503
87,157.59933744241513,2.8492276270433057,160.44856506945843
88,159.35062244420538,2.913416357252285,162.26403880145767
89,161.08821406207412,2.978262450544754,164.06647651261886
90,162.82784516354712,3.0437633996481406,165.87160856319525
91,164.58504716312333,3.109916674025532,167.69496383714886
92,166.37458168856054,3.1767197200396655,169.55130140860018
93,168.20990586215314,3.244169961118379,171.4540758232715
94,170.10269117886173,3.3122647979215087,173.41495597678323
95,172.06241385862273,3.3810016085092256,175.44341546713196
96,174.09603176996288,3.450377748511792,177.5464095184747
97,176.2077596730207,3.520390551300734,179.7281502243214
98,178.39895074069887,3.5910373281614083,181.98998806886027
99,180.6680882321013,3.662315368466961,184.33040360056827
100,183.01088696895877,3.7342219398536582,186.74510890881243
101,185.4205000649167,3.80675428839758,189.22725435331427
102,187.88782233984847,3.8799096387926597,191.76773197864114
103,190.4018781701649,3.9536851945300673,194.35556336469497
104,192.95027832182814,4.028078138078909,196.97835645990705
105,195.51972770754188,4.103085631068241,199.62281333861011
106,198.09656410247612,4.17870481447038,202.2752689169465
107,200.66730671623424,4.254932808785497,204.92223952501973
108,203.2191931953977,4.331766714227487,207.5509599096252
109,205.7406841325592,4.4092036109110895,210.14988774347032
110,208.22191546436105,4.487240559040257,212.7091560234013
111,210.65508120196523,4.565874599097757,215.22095580106298
112,213.0347316729975,4.645102752035985,217.6798344250335
113,215.35797575891453,4.724922019468988,220.0828977783835
