front,observable,m,min_delta_5pct,baseline,val_at_dmax,rel_change_at_dmax
Front I,Re(a_0),1,blind at δ≤0.1,0.5000000000000061,0.5000200000000061,4.0000000000039516e-05
Front I,Re(a_0),5,blind at δ≤0.1,0.5000000000000061,0.5001000000000061,0.00019999999999997553
Front I,Re(a_0),20,blind at δ≤0.1,0.5000000000000061,0.5004000000000062,0.0008000000000001242
Front I,Re(a_1),1,blind at δ≤0.1,0.4999999999999879,0.50017835121873,0.00035670243748421067
Front I,Re(a_1),5,blind at δ≤0.1,0.4999999999999879,0.500883754519482,0.0017675090389881892
Front I,Re(a_1),20,blind at δ≤0.1,0.4999999999999879,0.5034590983074207,0.006918196614865869
Front I,Re(a_2),1,blind at δ≤0.1,0.5000000000000119,0.5005767819413273,0.001153563882630743
Front I,Re(a_2),5,blind at δ≤0.1,0.5000000000000119,0.5028112558371456,0.005622511674267283
Front I,Re(a_2),20,blind at δ≤0.1,0.5000000000000119,0.5105712481111739,0.02114249622232361
Front I,Re(a_3),1,blind at δ≤0.1,0.499999999999988,0.5012913961261141,0.0025827922522521705
Front I,Re(a_3),5,blind at δ≤0.1,0.499999999999988,0.5061454462284131,0.012290892456850406
Front I,Re(a_3),20,blind at δ≤0.1,0.499999999999988,0.5217876442804548,0.04357528856093456
Front I,Re(a_4),1,blind at δ≤0.1,0.5000000000000121,0.502388156486536,0.004776312973047698
Front I,Re(a_4),5,blind at δ≤0.1,0.5000000000000121,0.5110146047599312,0.022029209519837688
Front I,Re(a_4),20,1e-01,0.5000000000000121,0.5361096120103419,0.07221922402065786
Front I,|b_0|,1,blind at δ≤0.1,1508.627125318078,1508.6271253174164,4.385824597978787e-13
Front I,|b_0|,5,blind at δ≤0.1,1508.627125318078,1508.6271253147922,2.1779914524189505e-12
Front I,|b_0|,20,blind at δ≤0.1,1508.627125318078,1508.6271253052687,8.490715276691854e-12
Front I,|b_1|,1,blind at δ≤0.1,1390.5256964499,1390.5256964366538,9.525971540198447e-12
Front I,|b_1|,5,blind at δ≤0.1,1390.5256964499,1390.5256963851439,4.656945422264307e-11
Front I,|b_1|,20,blind at δ≤0.1,1390.5256964499,1390.5256962088758,1.7333304567029302e-10
Front I,|b_2|,1,blind at δ≤0.1,1372.2190387874136,1372.219038710992,5.56920246683462e-11
Front I,|b_2|,5,blind at δ≤0.1,1372.2190387874136,1372.219038424303,2.6461557508280574e-10
Front I,|b_2|,20,blind at δ≤0.1,1372.2190387874136,1372.2190375492578,9.023019002774874e-10
Front I,|b_3|,1,blind at δ≤0.1,1366.267219686646,1366.267219419312,1.9566753875302842e-10
Front I,|b_3|,5,blind at δ≤0.1,1366.267219686646,1366.2672184692658,8.910264707232295e-10
Front I,|b_3|,20,blind at δ≤0.1,1366.267219686646,1366.2672160548848,2.6581632213716314e-09
Front I,|b_4|,1,blind at δ≤0.1,1363.6779846932216,1363.677983985075,5.192917095655738e-10
Front I,|b_4|,5,blind at δ≤0.1,1363.6779846932216,1363.6779816501837,2.2314929802378423e-09
Front I,|b_4|,20,blind at δ≤0.1,1363.6779846932216,1363.6779771810134,5.508784529494046e-09
Front II,λ_1,1,blind at δ≤0.1,0.022868873550821345,0.02386537446503545,0.04357455175916677
Front II,λ_1,5,1e-01,0.022868873550821345,0.025036337210988968,0.09477789342579045
Front II,λ_1,20,1e-01,0.022868873550821345,0.02605589306310674,0.139360581324782
Front II,λ_2,1,blind at δ≤0.1,0.09143839356916406,0.0934149446354795,0.021616205066205388
Front II,λ_2,5,blind at δ≤0.1,0.09143839356916406,0.09575048471703784,0.047158430715562805
Front II,λ_2,20,1e-01,0.09143839356916406,0.09778820092307128,0.06944355763538457
Front II,λ_3,1,blind at δ≤0.1,0.20559740183059616,0.2085227478007663,0.014228516236700791
Front II,λ_3,5,blind at δ≤0.1,0.20559740183059616,0.21201069627132707,0.031193460538062646
Front II,λ_3,20,blind at δ≤0.1,0.20559740183059616,0.2150639099501641,0.04604390928718042
Front II,λ_4,1,blind at δ≤0.1,0.36516111289405706,0.36898946696823964,0.010484013601123212
Front II,λ_4,5,blind at δ≤0.1,0.36516111289405706,0.37361191015706163,0.023142653926176343
Front II,λ_4,20,blind at δ≤0.1,0.36516111289405706,0.37767669331965625,0.03427413265998643
Front II,λ_5,1,blind at δ≤0.1,0.5698718291952107,0.5745432673888593,0.008197348867456227
Front II,λ_5,5,blind at δ≤0.1,0.5698718291952107,0.5802766032081981,0.018258095031090164
Front II,λ_5,20,blind at δ≤0.1,0.5698718291952107,0.5853477660642179,0.027156872960122855
Front III,H1_total_persistence,1,blind at δ≤0.1,8.39854134619236,8.373723462224007,0.0029550231338213197
Front III,H1_total_persistence,5,blind at δ≤0.1,8.39854134619236,8.373723462224007,0.0029550231338213197
Front III,H1_total_persistence,20,blind at δ≤0.1,8.39854134619236,8.331578150391579,0.007973193563087035
