function,coef,weight,c0,c1_logn,c2_log2n,resid_std
zeta,a,unif,2777.0334324996525,-29.252485032887023,4.383557246441061,3.0398724273750637
zeta,a,weighted,2781.8956665549904,-30.583946976119922,4.494385317015951,3.1248342179633153
zeta,b,unif,1332.2272600468582,17.80680165769825,-2.7220456882821367,2.016194354416974
zeta,b,weighted,1332.7273658389265,17.25140302762816,-2.6533436063256897,2.103741140649131
zeta_delta,a,unif,2777.0334324996525,-29.252485032887023,4.383557246441061,3.0398724273750637
zeta_delta,a,weighted,2781.8956665549904,-30.583946976119922,4.494385317015951,3.1248342179633153
zeta_delta,b,unif,1332.2272600468582,17.80680165769825,-2.7220456882821367,2.016194354416974
zeta_delta,b,weighted,1332.7273658389265,17.25140302762816,-2.6533436063256897,2.103741140649131
L_DH,a,unif,2522.097837166527,-17.828044920531784,2.580827470752478,7.916467521316404
L_DH,a,weighted,2525.999381313683,-18.786840859997607,2.6474231732554934,7.484533103318913
L_DH,b,unif,1228.8580943141162,10.43592028879047,-1.5834586694736643,3.9244906331446225
L_DH,b,weighted,1230.8928407655703,9.364396344666307,-1.4703441869601903,4.1211123080839975
L_chi5,a,unif,2229.4259229991394,-19.386814231146296,2.790854097619121,2.5151662687852516
L_chi5,a,weighted,2234.0771671545876,-20.746884063788926,2.903519965686584,2.5703144738507224
L_chi5,b,unif,1078.76749382712,11.710159113702417,-1.7614236634374976,1.5715491811123157
L_chi5,b,weighted,1078.6485811587245,11.495199880882424,-1.7290944625240456,1.5045179327652858
L_Delta,a,unif,511.2870186090727,-7.050421427115307,1.5617186739756832,0.8084381913496967
L_Delta,a,weighted,512.5386166013974,-6.955999772281026,1.5074276374505056,0.9002634626012563
L_Delta,b,unif,244.21340693656572,4.089825655322709,-0.9398903589866032,0.4779980748844477
L_Delta,b,weighted,244.42191529586725,3.6166050598843786,-0.8590573116187987,0.4911690648794692
