function,coef,weight,N_coeff,AIC_const,AIC_loglin,AIC_logquad,BIC_const,BIC_loglin,BIC_logquad,best_AIC,best_BIC,resid_std_logquad,resid_std_loglin
zeta,a,unif,500,2424.7606539646677,1724.5868356677045,1108.9210254594664,2428.9672298913924,1732.9999875211543,1121.5407532396412,M2_logquad,M2_logquad,3.0398724273750637,5.665881777576815
zeta,a,weighted,500,2410.5333976286383,1750.0984949801182,1136.266181677176,2414.739973555363,1758.511646833568,1148.8859094573509,M2_logquad,M2_logquad,3.1248342179633153,5.813483346260382
zeta,b,unif,499,1989.5721981515142,1268.7103041808532,700.1996340079351,1993.7767559140827,1277.1194197059906,712.8133072956412,M2_logquad,M2_logquad,2.016194354416974,3.587606100634767
zeta,b,weighted,499,1980.6705341032264,1265.6933075832715,742.2800827425801,1984.875091865795,1274.1024231084089,754.8937560302862,M2_logquad,M2_logquad,2.103741140649131,3.576689616254034
zeta_delta,a,unif,500,2424.7606539646677,1724.5868356677045,1108.9210254594664,2428.9672298913924,1732.9999875211543,1121.5407532396412,M2_logquad,M2_logquad,3.0398724273750637,5.665881777576815
zeta_delta,a,weighted,500,2410.5333976286383,1750.0984949801182,1136.266181677176,2414.739973555363,1758.511646833568,1148.8859094573509,M2_logquad,M2_logquad,3.1248342179633153,5.813483346260382
zeta_delta,b,unif,499,1989.5721981515142,1268.7103041808532,700.1996340079351,1993.7767559140827,1277.1194197059906,712.8133072956412,M2_logquad,M2_logquad,2.016194354416974,3.587606100634767
zeta_delta,b,weighted,499,1980.6705341032264,1265.6933075832715,742.2800827425801,1984.875091865795,1274.1024231084089,754.8937560302862,M2_logquad,M2_logquad,2.103741140649131,3.576689616254034
L_DH,a,unif,500,2282.319640837506,2115.4509356947087,2058.3935256036525,2286.526216764231,2123.8640875481587,2071.0132533838273,M2_logquad,M2_logquad,7.916467521316404,8.402075560148255
L_DH,a,weighted,500,2232.789474182065,2069.564233980592,2002.7359291736823,2236.99605010879,2077.977385834042,2015.355656953857,M2_logquad,M2_logquad,7.484533103318913,8.022274699748653
L_DH,b,unif,499,1721.6509161204563,1445.1151776397878,1359.5642021396893,1725.8554738830248,1453.5242931649252,1372.1778754273953,M2_logquad,M2_logquad,3.9244906331446225,4.287363162821517
L_DH,b,weighted,499,1742.0365439940151,1475.6960987777547,1407.9618735681643,1746.2411017565837,1484.1052143028921,1420.5755468558702,M2_logquad,M2_logquad,4.1211123080839975,4.421865721384071
L_chi5,a,unif,500,1921.8059124474446,1366.4151274648723,920.9602009177595,1926.0124883741696,1374.828279318322,933.5799286979343,M2_logquad,M2_logquad,2.5151662687852516,3.948762924677116
L_chi5,a,weighted,500,1899.3249255989003,1398.5522600341135,942.4760287490832,1903.5315015256253,1406.9654118875633,955.095756529258,M2_logquad,M2_logquad,2.5703144738507224,4.078782957667154
L_chi5,b,unif,499,1545.3296557830597,903.7129410830989,453.54125369058346,1549.5342135456283,912.1220566082363,466.15492697828955,M2_logquad,M2_logquad,1.5715491811123157,2.4813454930802905
L_chi5,b,weighted,499,1524.3430790686225,875.5689326333536,410.38781107117325,1528.547636831191,883.978048158491,423.00148435887934,M2_logquad,M2_logquad,1.5045179327652858,2.411798317862349
L_Delta,a,unif,129,306.6759073793075,73.93878336289306,-47.16276285859526,309.5042211166098,79.59541083749767,-38.67782164668836,M2_logquad,M2_logquad,0.8084381913496967,1.3228058617711151
L_Delta,a,weighted,129,292.14288363453954,79.66397967904281,-20.26695556827412,294.97119737184187,85.32060715364742,-11.782014356367217,M2_logquad,M2_logquad,0.9002634626012563,1.3534486879522505
L_Delta,b,unif,128,189.64826819527377,-54.749944441340126,-177.06084633642195,192.4685497608788,-49.109381310130054,-168.60000163960683,M2_logquad,M2_logquad,0.4779980748844477,0.7890741859560945
L_Delta,b,weighted,128,179.56404710845842,-65.58936521249888,-170.31978693390883,182.38432867406345,-59.948802081288804,-161.85894223709371,M2_logquad,M2_logquad,0.4911690648794692,0.7553286857662517
