W,N,lambda_min,lambda_max,trace,rank_pos,rank_neg
2.0,100,0.04714239565583603,0.6886164866870487,36.78794411714422,100,0
2.0,250,-0.03705313789558965,0.7832049150643905,91.9698602928606,246,4
2.0,500,-0.07299033395647841,0.844744759962827,183.9397205857212,460,40
2.0,1000,-0.11198484199771909,0.9432003806565384,367.8794411714424,873,127
2.0,2000,-0.13455094642473472,1.0079125301551177,735.7588823428848,1657,343
5.0,100,-0.15014293629775655,1.2563358016627797,36.78794411714422,69,31
5.0,250,-0.17287645858508718,1.5097464004024548,91.9698602928606,166,84
5.0,500,-0.19306698731074518,1.7096162050444201,183.9397205857212,324,176
5.0,1000,-0.22111737419955965,1.911689113677247,367.8794411714424,633,367
5.0,2000,-0.23727364131851988,2.115750054798822,735.7588823428848,1239,761
10.0,100,-0.24027388448395096,2.4309826483653745,36.78794411714422,61,39
10.0,250,-0.2926381436062805,2.9616155025882116,91.9698602928606,147,103
10.0,500,-0.33156997820465006,3.36972939608139,183.9397205857212,288,212
10.0,1000,-0.3728316685421384,3.782759368238316,367.8794411714424,568,432
10.0,2000,-0.41377579312695345,4.200578241504827,735.7588823428848,1120,880
