n,a_zeta_W1,a_delta_W1,a_zeta_W2,a_delta_W2
0,2959.8899193993334,2959.8899193993334,158.50079803631118,158.50079800715392
1,2758.832001596285,2758.832001596285,3006.573789558895,3006.573789919313
2,2743.5393124842712,2743.5393124842712,2772.785498002076,2772.7854976875315
3,2737.9247606785634,2737.9247606785634,2748.883769182897,2748.883769150233
4,2735.080494945795,2735.080494945795,2740.4910042822,2740.4910046310597
5,2733.3920226903174,2733.3920226903174,2736.5714065374677,2736.5714061922163
6,2732.2904561701603,2732.2904561701603,2734.445533923205,2734.4455339484366
7,2731.526161712069,2731.526161712069,2733.1816061831114,2733.181606500557
8,2730.9730766865728,2730.9730766865728,2732.3837585715787,2732.3837582016513
9,2730.560942045399,2730.560942045399,2731.8601136540974,2731.860113738492
10,2730.2476193092916,2730.2476193092916,2731.508443021024,2731.5084432990116
11,2730.006358544445,2730.006358544445,2731.2702351911585,2731.270234804824
12,2729.8193918987918,2729.8193918987918,2731.110056613467,2731.1100567553576
13,2729.674473637634,2729.674473637634,2731.005445694654,2731.0054459265684
14,2729.562901330985,2729.562901330985,2730.941614419241,2730.9416140255553
15,2729.4783292098973,2729.4783292098973,2730.908511046741,2730.9085112426405
16,2729.4160276038224,2729.4160276038224,2730.8991141305437,2730.899114311153
17,2729.372404752811,2729.372404752811,2730.908401768199,2730.9084013763986
18,2729.3446888090352,2729.3446888090352,2730.9327072970123,2730.9327075420024
19,2729.330710852264,2729.330710852264,2730.9693044512146,2730.9693045766876
20,2729.328753428858,2729.328753428858,2731.0161332061284,2731.0161328252707
21,2729.3374426628034,2729.3374426628034,2731.0716143432683,2731.0716146312693
22,2729.355669985083,2729.355669985083,2731.1345213749946,2731.134521442954
23,2729.38253439157,2729.38253439157,2731.2038903808966,2731.2038900195985
24,2729.41729917577,2729.41729917577,2731.278955397732,2731.278955721737
25,2729.4593590227128,2729.4593590227128,2731.359101334042,2731.3591013435644
26,2729.5082146162104,2729.5082146162104,2731.443829086442,2731.443828752646
27,2729.5634527539655,2729.5634527539655,2731.5327292619436,2731.5327296142477
28,2729.624730535188,2729.624730535188,2731.6254620346176,2731.6254619861897
29,2729.6917625778156,2729.6917625778156,2731.721741409415,2731.721741110215
30,2729.7643104966432,2729.7643104966432,2731.821322667278,2731.821323039713
31,2729.84217406826,2729.84217406826,2731.923992108358,2731.923992003813
