n,b_zeta_W1,b_delta_W1,b_zeta_W2,b_delta_W2
0,1508.6271253180814,1508.6271253180814,439.90344190816637,439.9034418710135
1,1390.525696449911,1390.525696449911,1484.9350427930024,1484.9350427427898
2,1372.2190387874016,1372.2190387874016,1384.8551863952491,1384.8551865744937
3,1366.2672196866679,1366.2672196866679,1369.9409191163156,1369.9409189508308
4,1363.6779846932588,1363.6779846932588,1365.1074793483292,1365.1074793459702
5,1362.3515161095913,1362.3515161095913,1362.9593723874414,1362.959372554545
6,1361.594946558288,1361.594946558288,1361.813688271082,1361.8136880917987
7,1361.128358023701,1361.128358023701,1361.123117163225,1361.1231171906156
8,1360.8222873724876,1360.8222873724876,1360.6677601146603,1360.6677602639672
9,1360.6107324480943,1360.6107324480943,1360.3457185455338,1360.345718355904
10,1360.4574720273556,1360.4574720273556,1360.104618963066,1360.104619019782
11,1360.3414478098305,1360.3414478098305,1359.9153314108853,1359.9153315387225
12,1360.2498360297466,1360.2498360297466,1359.7606140130765,1359.7606138174813
13,1360.174525243604,1360.174525243604,1359.6297355056997,1359.6297355903957
14,1360.1102202832328,1360.1102202832328,1359.515734907972,1359.5157350113748
15,1360.0533717998774,1360.0533717998774,1359.4139385386825,1359.4139383417212
16,1360.0015470785827,1360.0015470785827,1359.3211161337936,1359.321116244346
17,1359.953047243209,1359.953047243209,1359.2349797431466,1359.2349798198468
18,1359.906667309338,1359.906667309338,1359.153875087496,1359.153874893761
19,1359.8615418069567,1359.8615418069567,1359.0765853306089,1359.0765854642527
20,1359.8170431521771,1359.8170431521771,1359.0022028132714,1359.0022028617168
21,1359.7727133687347,1359.7727133687347,1358.9300431378608,1358.930042951786
22,1359.7282173724973,1359.7282173724973,1358.859586360911,1358.8595865143582
23,1359.6833104783414,1359.6833104783414,1358.790435956099,1358.7904359754655
24,1359.6378154546999,1359.6378154546999,1358.7222896772344,1358.7222895029727
25,1359.5916060878687,1359.5916060878687,1358.6549185431202,1358.6549187126786
26,1359.5445952447662,1359.5445952447662,1358.5881514602804,1358.5881514504622
27,1359.4967260795115,1359.4967260795115,1358.5218638181982,1358.5218636595196
28,1359.4479654567212,1359.4479654567212,1358.4559689201922,1358.455969101879
29,1359.3982989475371,1359.3982989475371,1358.3904114607465,1358.3904114223296
30,1359.3477269447428,1359.3477269447428,1358.3251624928691,1358.3251623530762
31,1359.296261573394,1359.296261573394,1358.2602154874407,1358.2602156771013
32,1359.2439241635586,1359.2439241635586,1358.195583196074,1358.195583130291
33,1359.1907431154186,1359.1907431154186,1358.1312951059824,1358.1312949878477
34,1359.1367520327985,1359.1367520327985,1358.0673953303938,1358.0673955238133
35,1359.0819880349652,1359.0819880349652,1358.0039408181433,1358.0039407268116
36,1359.0264901822293,1359.0264901822293,1357.9409997959347,1357.9409997016546
37,1358.9702979711908,1358.9702979711908,1357.8786503796032,1357.878650572616
38,1358.9134498722333,1358.9134498722333,1357.8169793086815,1357.8169791941305
39,1358.8559818964566,1358.8559818964566,1357.756080773237,1357.7560807044074
40,1358.797926192458,1358.797926192458,1357.6960553142403,1357.696055502829
41,1358.739309685886,1358.739309685886,1357.637008789397,1357.637008654386
42,1358.6801527868151,1358.6801527868151,1357.5790514056728,1357.5790513632828
43,1358.6204682018365,1358.6204682018365,1357.5222968279384,1357.5222970083169
44,1358.560259899357,1358.560259899357,1357.466861379977,1357.466861227606
45,1358.4995222875814,1358.4995222875814,1357.4128633594348,1357.4128633438797
46,1358.4382396748028,1358.4382396748028,1357.36042249151,1357.3604226601997
47,1358.3763860901522,1358.3763860901522,1357.309659546663,1357.3096593802832
48,1358.313925549383,1358.313925549383,1357.2606961445554,1357.260696155663
49,1358.250812853596,1358.250812853596,1357.2136547588066,1357.2136549126913
50,1358.1869950082416,1358.1869950082416,1357.1686589240023,1357.1686587471277
51,1358.122413344388,1358.122413344388,1357.1258336267497,1357.1258336638257
52,1358.0570064132871,1358.0570064132871,1357.0853058356277,1357.0853059719875
53,1357.9907137080643,1357.9907137080643,1357.0472050902176,1357.047204906446
54,1357.9234802426324,1357.9234802426324,1357.0116640272097,1357.0116640890858
55,1357.855261987569,1357.855261987569,1356.9788186728001,1356.9788187893366
56,1357.786032126289,1357.786032126289,1356.948808277418,1356.948808090361
57,1357.7157880532686,1357.7157880532686,1356.9217744147684,1356.9217744998598
58,1357.6445589907291,1357.6445589907291,1356.8978590175443,1356.8978591123814
59,1357.5724140529528,1357.5724140529528,1356.8772009840827,1356.877200797307
60,1357.4994705402628,1357.4994705402628,1356.859930972757,1356.8599310791171
61,1357.4259021998082,1357.4259021998082,1356.846164014963,1356.8461640866437
62,1357.3519471495774,1357.3519471495774,1356.8359896351094,1356.8359894520986
63,1357.2779151268865,1357.2779151268865,1356.8294592794612,1356.8294594048286
64,1357.2041936938206,1357.2041936938206,1356.8265710360197,1356.8265710834926
65,1357.1312530095227,1357.1312530095227,1356.8272518821607,1356.8272517062846
66,1357.0596487619198,1357.0596487619198,1356.8313380264276,1356.8313381682588
67,1356.9900228377744,1356.9900228377744,1356.838554306352,1356.838554328969
68,1356.9231012976777,1356.9231012976777,1356.8484940422572,1356.848493876745
69,1356.859689210137,1356.859689210137,1356.8606011874722,1356.8606013429635
70,1356.8006618852098,1356.8006618852098,1356.8741569992094,1356.8741569967392
71,1356.746952034625,1356.746952034625,1356.8882737053189,1356.8882735532227
72,1356.699532376079,1356.699532376079,1356.9018976729412,1356.9018978390393
73,1356.6593932028504,1356.6593932028504,1356.9138243093025,1356.9138242819695
74,1356.6275144693714,1356.6275144693714,1356.9227262749796,1356.9227261391115
75,1356.6048320177742,1356.6048320177742,1356.9271955395052,1356.9271957129317
76,1356.5921977138194,1356.5921977138194,1356.9257983954753,1356.9257983440202
77,1356.5903335012529,1356.5903335012529,1356.9171408876668,1356.9171407704962
78,1356.5997797508903,1356.5997797508903,1356.8999404083706,1356.899940585673
79,1356.6208388005953,1356.6208388005953,1356.8730977250527,1356.8730976507898
80,1356.6535152701467,1356.6535152701467,1356.835762733616,1356.8357626371342
81,1356.6974555862776,1356.6974555862776,1356.787387030687,1356.7873872083508
82,1356.7518901325154,1356.7518901325154,1356.7277571369727,1356.7277570418028
83,1356.815582468888,1356.815582468888,1356.6570038986874,1356.6570038242746
84,1356.8867910215504,1356.8867910215504,1356.5755860899474,1356.5755862645567
85,1356.9632493455856,1356.9632493455856,1356.4842492220362,1356.4842491083814
86,1357.0421713010735,1357.0421713010735,1356.383963615201,1356.3839635635463
87,1357.120287027815,1357.120287027815,1356.275848457202,1356.2758486256134
88,1357.1939142676697,1357.1939142676697,1356.1610904682454,1356.1610903389
89,1357.2590672678762,1357.2590672678762,1356.0408666447797,1356.0408666158944
90,1357.3116022599188,1357.3116022599188,1355.9162802539397,1355.9162804134196
91,1357.3473945993262,1357.3473945993262,1355.788317843803,1355.7883177017407
92,1357.3625385294838,1357.3625385294838,1355.6578327023335,1355.6578326956583
93,1357.353556812257,1357.353556812257,1355.5255572126111,1355.5255573608938
94,1357.3176048205464,1357.3176048205464,1355.3921432390011,1355.3921430871906
95,1357.2526526955753,1357.2526526955753,1355.258226382219,1355.2582263967904
96,1357.1576301814216,1357.1576301814216,1355.124506996389,1355.1245071316505
97,1357.0325217624368,1357.0325217624368,1354.9918385700682,1354.9918384113446
98,1356.8784043711885,1356.8784043711885,1354.8613126747243,1354.8613127093483
99,1356.6974255180053,1356.6974255180053,1354.7343293239658,1354.7343294447378
100,1356.492725360721,1356.492725360721,1354.6126422891273,1354.612642126144
101,1356.2683111399776,1356.2683111399776,1354.498370574516,1354.4983706279013
102,1356.0288958880249,1356.0288958880249,1354.3939696467644,1354.3939697518197
103,1355.779715009438,1355.779715009438,1354.302158849064,1354.3021586843045
104,1355.5263341930015,1355.5263341930015,1354.2258044318594,1354.2258045027004
105,1355.2744604001143,1355.2744604001143,1354.1677606022552,1354.167760690505
106,1355.0297648448307,1355.0297648448307,1354.1306738859155,1354.130673721751
107,1354.797723486968,1354.797723486968,1354.1167590163889,1354.1167591033768
108,1354.5834771493567,1354.5834771493567,1354.1275577326094,1354.127557803037
109,1354.3917104085717,1354.3917104085717,1354.16369547739,1354.163695316156
110,1354.2265462357818,1354.2265462357818,1354.224655063803,1354.2246551655714
111,1354.0914521816208,1354.0914521816208,1354.3085905557286,1354.3085906073889
112,1353.9891537733936,1353.9891537733936,1354.4122080273764,1354.4122078714292
113,1353.9215516739464,1353.9215516739464,1354.5307411438273,1354.5307412588465
114,1353.8896408903665,1353.8896408903665,1354.6580469610344,1354.6580469931453
115,1353.893432690592,1353.893432690592,1354.7868394792768,1354.7868393309916
116,1353.9318826046658,1353.9318826046658,1354.909064668403,1354.9090647948499
117,1354.002830648181,1354.002830648181,1355.0164018556563,1355.0164018677967
118,1354.1029624170349,1354.1029624170349,1355.1008554097075,1355.1008552713708
119,1354.2278017332058,1354.2278017332058,1355.1553820856034,1355.1553822212868
120,1354.3717469215449,1354.3717469215449,1355.1744882261512,1355.174488218483
121,1354.528163473649,1354.528163473649,1355.1547310212875,1355.1547308948986
122,1354.6895456590644,1354.6895456590644,1355.095070107664,1355.0950702500957
123,1354.847758198551,1354.847758198551,1354.9970372507119,1354.9970372240837
