n,lambda_zeta,lambda_delta,abs_diff,rel_diff
1,0.022868873551074854,0.022870825208673538,1.9516575986838758e-06,8.534122130349295e-05
2,0.09143839357019048,0.09144229688224519,3.903312054701069e-06,4.2687889652225634e-05
3,0.20559740183288042,0.20560325679339148,5.85496051105916e-06,2.847779426618609e-05
4,0.36516111289807357,0.36516891949818436,7.806600110793482e-06,2.1378508924011624e-05
5,0.56987182920145,0.569881587429447,9.758227996981006e-06,1.7123548659450346e-05
6,0.8193999375852135,0.8194116474265261,1.1709841312601554e-05,1.4290752019228448e-05
7,1.1133451826900904,1.1133588441272912,1.366143720082924e-05,1.2270621378915171e-05
8,1.4512382113664946,1.451253824379299,1.561301280439409e-05,1.075840801469304e-05
9,1.8325423810212051,1.832559945586472,1.75645652669143e-05,9.584807123056138e-06
10,2.2566558236095853,2.2566753397013164,1.95160917311199e-05,8.648235821758303e-06
11,2.7229137558171415,2.722935223406482,2.1467589340407045e-05,7.884050420085619e-06
12,3.230591024853744,3.2306144439089817,2.3419055237727804e-05,7.24915504858373e-06
13,3.7789048782144667,3.7789302487010326,2.53704865658122e-05,6.71371399478035e-06
14,4.367017944747946,4.367045266628415,2.7321880469166615e-05,6.2564158917701834e-06
15,4.99404141342127,4.994070686655359,2.9273234089188804e-05,5.861632226460569e-06
16,5.659038395284226,5.659069619828798,3.1224544572161506e-05,5.517641406741728e-06
17,6.361027453319607,6.361060629128665,3.317580905815021e-05,5.2154796220596195e-06
18,7.098986284123954,7.0990214111486445,3.512702469077311e-05,4.9481747512783e-06
19,7.8718555346983115,7.871892612886927,3.707818861542478e-05,4.710222189925618e-06
20,8.678542737044317,8.678581766342292,3.902929797483523e-05,4.4972179267192935e-06
21,9.517926342760035,9.517967323109946,4.098034991173449e-05,4.305596454095998e-06
22,10.388859839414797,10.388902770756367,4.2931341569740766e-05,4.132440155450117e-06
23,11.29017593015475,11.290220812424844,4.488227009424861e-05,3.9753384156196605e-06
24,12.220690757752397,12.220737590885022,4.6833132625323515e-05,3.8322819514612255e-06
25,13.17920815416523,13.179256938091543,4.878392631191275e-05,3.701582503383923e-06
26,14.164523896611145,14.164574631259436,5.0734648290529094e-05,3.581811055623785e-06
27,15.175429951201878,15.17548263649759,5.2685295711896174e-05,3.4717497877365612e-06
28,16.210718685300087,16.210773321165803,5.463586571607948e-05,3.3703543178269694e-06
29,17.269187029979854,17.269243616335302,5.658635544847357e-05,3.2767237595051736e-06
30,18.34964057427359,18.34969911103564,5.853676205092029e-05,3.1900767654811457e-06
31,19.45089757327852,19.45095806036119,6.048708267059055e-05,3.1097322086404484e-06
32,20.571792852671596,20.571855289986043,6.243731444754985e-05,3.035093484301798e-06
33,21.711181592739685,21.711245980194214,6.43874545289691e-05,2.9656356681434855e-06
34,22.86794297567035,22.86800931317041,6.633750006201922e-05,2.9008949398114635e-06
35,24.040983680563023,24.041051968011207,6.828744818321297e-05,2.840459820220373e-06
36,25.22924121140846,25.229311448704507,7.023729604682671e-05,2.7839638718530294e-06
37,26.431687044141167,26.431759231181953,7.21870407858205e-05,2.73107958130964e-06
38,27.647329579791208,27.647403716470762,7.413667955447067e-05,2.6815132123523718e-06
39,28.875216891743662,28.875292977953155,7.608620949284273e-05,2.6350004496277285e-06
40,30.114439256151012,30.11451729177876,7.803562774810757e-05,2.591302699822592e-06
41,31.364131455630908,31.364211440562368,7.99849314603307e-05,2.550203935137848e-06
42,32.623474847513485,32.623556781631265,8.193411778023574e-05,2.5115079911997984e-06
43,33.89169918907317,33.89178307225702,8.388318384788818e-05,2.475036243533416e-06
44,35.16808421338378,35.16817004551059,8.583212681401164e-05,2.4406256051146184e-06
45,36.45196095066694,36.45204873161076,8.778094382222434e-05,2.4081267929872034e-06
46,37.7427127912559,37.74280252088791,8.972963201614448e-05,2.3774028250807856e-06
47,39.03977628756416,39.0398679657527,9.167818853939025e-05,2.348327712333579e-06
48,40.34264169372369,40.34273532033423,9.362661053557986e-05,2.320785318085549e-06
49,41.65085324283595,41.65094881773111,9.557489516254236e-05,2.294668361421419e-06
50,42.964009163052694,42.96410668609225,9.752303955679054e-05,2.2698775430077042e-06
51,44.28176143496742,44.281860906008276,9.947104085483716e-05,2.2463207792879057e-06
52,45.60381529404563,45.60391671294185,0.0001014188962216167,2.2239125294163426e-06
53,46.92992848304676,46.93003184964955,0.00010336660279364196,2.2025732008303126e-06
54,48.25991026058662,48.260015574744344,0.00010531415772163655,2.1822286273011484e-06
55,49.59362017315093,49.59372743470908,0.00010726155814921867,2.1628096068552e-06
56,50.930966598991716,50.931075807792936,0.00010920880122000654,2.1442514939853615e-06
57,52.27190507341435,52.27201622929843,0.00011115588407761834,2.126493838736185e-06
58,53.616436405987805,53.61654950879169,0.00011310280388698857,2.1094800674659796e-06
59,54.96460460117982,54.96471965073759,0.00011504955777041914,2.0931571982589974e-06
60,56.316494594827084,56.31661159096998,0.00011699614289284455,2.0774755910249986e-06
61,57.67222981969435,57.67234876225074,0.00011894255639077755,2.0623887226597255e-06
