orig_index	refined_dps80	seconds
0	9.2223793999211025222437671927434781355287706224320092899981864280019212953707290	0.039
8	31.178209498360259064492188890774055854645511989662666644190795917550937107744858	0.045
16	45.040079213775596476022600396965359415702781148875395485229932179877121928282013	0.068
24	56.715294044725366480667460106736512397747172758632726350535700521737599645703154	0.078
32	67.938609774750467459304517611785856280183037313716521200887275962145580544184970	0.088
40	77.684611250260335649493267121206104643575793265350291830128608756584605150754387	0.105
48	88.075130994256732736033139851873174236515917599434745858153894580935489809332384	0.117
56	97.341040889846869479677861320260029906078065728062139965567398183060808099032084	0.152
64	106.29382213420061679962953490121770837030194128871838169428744255841382538859139	0.158
72	115.06276556053481076708709639541487996189565471498765806676168450391898407838168	0.156
80	123.21241716312161744303486002696977826728001566622959424473846349470896118770591	0.172
88	131.70819904811898675815475737563153728663661945875495281652554797643935719845808	0.207
96	139.93658439005705184125255662541257996096149320099355938006404688298384411652501	0.210
104	148.11775412261281552121919045608435819994452272372389455552140227894234492170503	0.234
112	155.73207939113746656073290403070275604552307305143341099580975895816499103622946	0.248
120	163.54749410876717715117303743143181767604102652736209531805231030896810572869932	0.328
128	171.46649999772902989806869348522002979087929322351469625898006063956890039381816	0.387
136	179.24676522075081976804492622288740542406680836850086514082609347202708087997766	0.285
144	186.24441700357176400480199871600121094657981127635668418722635503850098484391985	0.347
152	193.54811117693233774360518622832958526521513443043126729219827691175837798403932	0.357
160	200.78604277141662121369854893895159080867119898646814917495571529609795510436558	0.374
168	208.34430225235497011290408490661804453971235742208176831302726747471456285994578	0.420
176	215.58261544954948429891277978827439116362087389180853207554929647927786377148262	0.459
184	222.49233460255050559568538278163505529542017739445291736307843751429764303729716	0.418
192	229.30999175200387905490910335920074491288478425522505471881262664852808901960164	0.429
200	236.30930635953714138235242152577489471911581067986308505771692539791430610010009	0.442
208	243.72635504033652672094514184435162979090187484135830016186604852946712031070232	0.751
216	250.08524895620210500250037955636383796753311864249432382813027217715863380625491	0.590
224	257.11572136588503730532159154220456323205961513189743198414199359050238344669486	0.541
232	263.46094116714448787922865252204093797798575323871872351454948064444133258019952	0.545
240	270.89889612251666957364942791053816605704246758757081741518277589378936351860305	0.609
248	276.92535442246407471401366020796280838280768506750361187190584768951065748282363	0.608
256	283.58039553953539629145933823675672727640370944674304936301960365561854760265921	0.629
264	290.13507821017791027260025761815498232088886932104029419250291920610856754174481	0.662
272	297.28421776769605691477336941592219814342547285545575105678296205951576987459596	0.786
280	303.33828243498113936780727398032747972600608806158926565168110202689547321218897	0.844
288	309.84395424201453926717035698060745386521437917718489731862561742684287817294620	0.848
296	316.45771298051443470730500165450261409761347075951760527543225646062393341079731	0.863
304	322.63157836651388173113407751088390455410232248806520717876679754102498188883779	0.874
312	329.02573883813750056341743822567168972790951332999823068149066530604193712567972	0.898
320	335.30458702815677694585257128881659800814318350011557474271898759994816007789852	0.995
328	341.64933556873228268431195360445370269003032958780775541128872003762685460910032	0.972
336	348.03220800892961084275392556223224651281531490714331343244126796179517277820924	0.903
344	354.05705574109760968005333248900549224933337025413669976928172608497951959282852	0.983
352	360.52995620895784712714044278484359547154357387932428606541692107017957355427953	1.051
360	366.39463101627834456004382434389282889560788033949822024251279362589640061241449	1.057
368	372.61071721825356772196437608287962262849811334159027928063660280085242169287333	1.065
376	379.27930789411184831390741509749087673678750671143722562009000934898243235956653	1.157
384	385.05107121627747044269597323388957375225469290492013126184184666427263178034681	1.168
392	391.11592270012226528308576532281316754971380068089902024953166842876917978835303	1.337
400	397.18074803691476321514982430559536165385677027331597292906697004232516655018026	1.270
408	403.47926672416862174311079650636601234642637076520868813710477049393832588872553	1.227
416	409.09285955917736008596199978220103112050654277755095855373703542697709505029557	1.359
424	415.26010240317615553668076732193267495961626392780097152817708133835385281576900	1.413
432	421.07176829482649656668234584636654255526716132958882157280344091120939350951474	1.413
440	426.92772739079189100591638289209256392553944333268774143191463894605875572750896	1.407
448	433.30269005296161907209290589252649238046776213892062680494323991294476205916036	1.539
456	439.13926295524000204024433326640108920477596041212842533661014010200721986193757	1.627
464	444.87061128699451075535747863951763191403175942654910632040756433095273254822954	1.608
472	451.01680350291955227521732521743621141086479888437834257850705764973947004222756	1.599
480	456.80534683522253396968656672900704811747137750704801843023115330515348423589538	1.663
488	462.38063092464084430566454831935599484614987495077143955312014005638900206165945	1.802
496	468.18586500955291914369441842691313896049727315757580322712206937414442528064850	1.890
504	474.52715919274991147866644613350537681356141639057504321471472818046130612245701	1.867
512	480.19098776991894105654663723087737131819827479197684814244144185058360392164706	1.885
520	485.59532661910319661208354367846536975305522591827301640317608763610893135064054	1.919
528	491.56697085032429479177225503866764860996385136795377709837575284085434598880096	2.195
536	497.42543992685609730775354855008895739212236539204245576535723201292702067454472	2.029
544	503.21980277157153966830590155707463659580571337926425036511064139355625000644735	2.202
552	508.70300831394667974956116942371237733939150828189907979497777652429858051035106	2.138
560	514.70268396525443311984559251497734428218841498982863634560664717614933882491661	2.179
568	520.20501783736079656404244266218081475012428645035037194365047117903153253003109	2.266
576	525.84307615230790456735379436936828312094500391982818152709219646186949699729652	2.367
584	531.64070742717580478018866954596478070333422711603038016315300550915065838158499	2.461
592	536.99336790602452896618233138665237030619463252842956385170441552604611918258800	2.495
600	543.09167631474902787462711861486445730256022860377979059108646797403521539239051	2.705
608	548.69501273404685773564657553365547066605275445232709785004544296649121454490557	2.584
616	554.16945246495162709302981682414519130187496248093809945387479592192693853793174	2.665
624	560.04922910969739375084430275677752589263382271534211279634121679647890959163645	2.715
632	565.31311297157192111488188979484701839213289968097431385695332730601389211008033	2.679
640	570.91381762416560114745611443586427445200576539761264809588500665665119675051344	2.760
648	576.24411146774451566810109618087835841923955824931855101938234180005155522316464	2.872
656	581.59649939516778301442151620924743219903248555474762554977079092076301393773699	3.045
664	587.65187220290390039293373843642467485906336469943838082391768933412573067824515	2.922
672	593.06352532829495420481787291962402340014846237624204006073322036055754052820177	2.932
680	598.51633755527611197076632417901458733074052141023806815861129961671458772160069	2.977
688	603.83302886500875033482846684616866073361184951827665479918651883160965206674898	3.266
