L,k,a,C,R2,p_value,se_a
zeta,M_0,-3.728977595564388e-13,500.00000000043195,0.6850598518328274,0.17231657511290743,1.7878230481983576e-13
zeta,M_1,5.9098318272002395,0.003081827799115371,0.9303117179787201,0.03547331919810525,1.143735913544271
zeta,M_2,9.179180863968284,7.87406174378203e-06,0.9887855933855185,0.005623012441700492,0.6912354672462084
zeta,M_3,11.259969395180171,5.97411909752424e-08,0.9965486391170735,0.0017271720030272995,0.46856316909347595
zeta,M_4,14.830842707188477,1.5966779243954203e-12,0.9993700460432452,0.0003150265992565293,0.2632946720660113
zeta,M_geq5,19.28455352830609,5.454890592719944e-19,0.9915610192924433,0.0042284301646068325,1.2579977524488652
L(Δ),M_0,-3.728977595564388e-13,500.00000000043195,0.6850598518328274,0.17231657511290743,1.7878230481983576e-13
L(Δ),M_1,0.28928053353572597,516.1409483930829,0.9880894882885048,0.005973094786411282,0.022458010608340018
L(Δ),M_2,0.7980121742452697,96.15719180229216,0.9998103199461749,9.484452465446935e-05,0.007772246098741669
L(Δ),M_3,2.0225388824692287,1.28142180643264,0.9992829332351115,0.0003585976785918099,0.03831046678525638
L(Δ),M_4,4.821428276194549,0.0001298489131971443,0.9699741941988015,0.01512732081816714,0.5998296899020711
L(Δ),M_geq5,9.949372368654558,1.0594248708833094e-11,0.9902073375495296,0.004908377309139623,0.699629333110959
L_DH,M_0,-3.728977595564388e-13,500.00000000043195,0.6850598518328274,0.17231657511290743,1.7878230481983576e-13
L_DH,M_1,0.17068225658364278,424.37861445014244,0.9922899870085279,0.0038624658168291428,0.010638530147027744
L_DH,M_2,0.48011401315820756,248.1139450845427,0.9962979057582144,0.001852763487162456,0.020694670238649814
L_DH,M_3,1.5659746154077776,5.312259419419308,0.9935243193121398,0.003243099190108566,0.0893970487645702
L_DH,M_4,3.0658414470210875,0.023504109772998664,0.9945508300958782,0.002728306781006551,0.160467237397523
L_DH,M_geq5,8.610817044027074,1.1444632542816864e-09,0.915393582461052,0.04323796978504001,1.8510880849840927
