L,class_k,C_a,R2_a,C_b,k_b,R2_b,C_c,a_c,R2_c,R2_c_log,M_vals
zeta,0,47.157236721125855,,500.0,0,,499.99999999999096,7.349181077804355e-15,,-0.33333333333333326,"[500.0, 500.0, 500.0]"
zeta,1,312.148552762068,0.4809075319574633,312.148552762068,1,0.4809075319574633,0.710177061628676,3.561478827881168,0.9711590483113373,0.9800394567075144,"[1965.74700772074, 3208.301641106254, 4480.038022291646]"
zeta,2,2158.2546040676893,0.28741443071193784,208.27069772882135,2,0.5194544267934497,0.00020852285493944264,7.76478176935958,0.9952742090588406,0.9981046908159135,"[6483.537674305455, 21414.20007251949, 37384.58076182486]"
zeta,3,2563.3863523138343,0.24291263183592182,23.661451678047516,3,0.6115938510360126,5.516212553019424e-07,10.300406708932206,0.9984185773637024,0.9995253291239391,"[4759.568118168202, 24096.365733649374, 48011.97243412399]"
zeta,4,400.7323572062509,0.20071725873297375,0.3519004381182656,4,0.6425672086735084,5.54491670561298e-12,14.293415915601956,0.999553032769901,0.999908521288941,"[337.9223951132758, 3301.8616691086822, 8267.691144528528]"
zeta,>=5,5.719748939047359,0.1621096294260722,0.000473628116488349,5,0.6297457954261421,1.4887675686387268e-16,16.86315977249942,0.9737181302779421,0.9947781553300256,"[2.83520293581297, 35.047524425834375, 130.95057721430686]"
L(Δ),0,47.157236721125855,,500.0,0,,499.99999999999096,7.349181077804355e-15,,-0.33333333333333326,"[500.0, 500.0, 500.0]"
L(Δ),1,96.48339277402079,-2.7567032632051545,96.48339277402079,1,-2.7567032632051545,465.2889696902257,0.33405524802540265,0.997401100741576,0.9975244289785056,"[976.3038593443137, 1033.094242138206, 1050.8612956150264]"
L(Δ),2,59.63382139559756,0.9369978237735528,5.531578880621265,2,-0.9865330138226862,97.14826154309989,0.7935856884671296,0.999374568121616,0.9994365433399756,"[566.1920776118553, 641.38920664528, 676.6089108646144]"
L(Δ),3,14.511399459908578,0.7425952833180218,0.12474830530327119,3,0.8592465571249425,1.0648753396855304,2.1024488446712772,0.9999998247964348,0.9999998682059595,"[113.40989357089992, 159.0916051487542, 181.3085253680784]"
L(Δ),4,1.25823162119309,0.37087041436495705,0.0010339406980424896,4,0.9375367239606164,8.171802232623119e-06,6.0153268117579115,0.9866543258389106,0.9943803523622811,"[5.078208354921522, 14.413874724880426, 18.942435904298137]"
L(Δ),>=5,0.02404739973278649,0.24103253427548899,1.9034811340470082e-06,5,0.8284846748500578,3.719106739293383e-13,11.395257676872806,0.9982193358867308,0.9995598516397126,"[0.0358827283635872, 0.2338850585889389, 0.4500564353981997]"
L_DH,0,47.157236721125855,,500.0,0,,499.99999999999096,7.349181077804355e-15,,-0.33333333333333326,"[500.0, 500.0, 500.0]"
L_DH,1,59.90390615662732,-16.08490979032128,59.90390615662732,1,-16.08490979032128,405.6795205971864,0.19013499249587312,0.9952854107515197,0.9954167565610911,"[618.47871745761, 639.0664914412771, 644.8083164040538]"
L_DH,2,72.7002188706992,0.059409802762806385,6.728029525769833,2,-6.743263524839362,235.59215787141014,0.5024691303915979,0.9915566004007018,0.9921777524377924,"[717.7694267064708, 784.0068963251387, 800.8888861836557]"
L_DH,3,20.462582403396524,0.8343516091770165,0.17498601222890867,3,0.556043169793067,3.6241157087842018,1.7310532687218525,0.9952912927343627,0.9963493521013561,"[168.57113023499926, 226.64796782493028, 246.56972054719452]"
L_DH,4,3.2293512226870384,0.5299262895474759,0.00256807314187769,4,0.9803539120701751,0.011301220585662323,3.381947763250238,0.997635600742235,0.9984562505887526,"[20.71694901440356, 34.94277428792376, 44.39866480963434]"
L_DH,>=5,0.12566305522795476,0.256894298741686,9.891784044236347e-06,5,0.8581586183600349,2.157715131752691e-13,12.313029968801759,0.9388955837443828,0.9885541689312172,"[0.1536459246873944, 1.3883091753059045, 2.222815149517187]"
