L,k,a_4pt,a_3pt,pct_change_a,b_4pt,b_3pt,pct_change_b
zeta,M_1,62.46669257779672,53.172453638156405,17.47942459621761,-136.8569136279309,-115.29620575158795,18.700275291622948
zeta,M_2,43.37557977491781,40.79140976759828,6.335083837607899,-82.74882215934736,-76.75408337627343,7.810319033693324
zeta,M_3,34.438727655498155,32.21012326426558,6.918956419223087,-56.0882141465313,-50.91831389290575,10.153321778288205
zeta,M_4,27.857893104868822,27.637811567107953,0.7963059492843148,-31.52299981719227,-31.01245626699335,1.6462531887301501
zeta,M_geq5,80.46922699784173,136.11656929343755,-40.88212227538025,-148.05534573955435,-277.1456455610023,-46.57850552194008
L(Δ),M_1,-0.817636589892345,-1.290285799488458,-36.631357935079016,2.6785302285838952,3.7749784264694597,-29.045151362918258
L(Δ),M_2,0.9781561714882514,2.6327878479315787,-62.84713284981435,-0.43591442566071237,-4.274316951185158,-89.8015418454206
L(Δ),M_3,0.17227041330579596,2.176948857524246,-92.08661183241063,4.477299989994776,-0.17313848081513894,-2685.9646965339944
L(Δ),M_4,-24.7288558188975,-38.12347076813507,-35.13482555327376,71.50610243232404,102.57883274539053,-30.291561603349173
L(Δ),M_geq5,-24.569256399790675,-11.944819489052149,105.68964162505151,83.52855751223603,54.242480609815544,53.99103538992827
L_DH,M_1,-0.33354717921639576,-1.0691645226976518,-68.80300719529961,1.2201399340083299,2.9266196957806825,-58.3089003409835
L_DH,M_2,-0.22183008690205952,-3.852282764851061,-94.24159386932656,1.6985720529507944,10.120469763618017,-83.21647025657865
L_DH,M_3,-2.6936508199464697,-8.496519544602164,-68.29700907758465,10.307488473667945,23.76894112510073,-56.63463332498678
L_DH,M_4,-3.7190412983365775,16.36192028062977,-122.7298583207217,16.41813388391182,-30.165534697451278,-154.42679550877978
L_DH,M_geq5,-82.70491017963165,-117.00865711312872,-29.31727256755952,220.9668009798117,300.5443835554798,-26.47781390364204
