delta,sigma,J,m,lambda_min_dQ,lambda_min_Q,lambda_min_base,tr_Mzeros
1e-05,0.5,4,1,0.0,-0.11585441329342104,-0.11585441329342104,0.002952926210956064
0.0001,0.5,4,1,0.0,-0.11585441329342104,-0.11585441329342104,0.002952926210956064
0.001,0.5,4,1,0.0,-0.11585441329342104,-0.11585441329342104,0.002952926210956064
0.01,0.5,4,1,0.0,-0.11585441329342104,-0.11585441329342104,0.002952926210956064
0.1,0.5,4,1,0.0,-0.11585441329342104,-0.11585441329342104,0.002952926210956064
1e-05,0.5,4,5,0.0,-0.11585441329342104,-0.11585441329342104,0.002952926210956064
0.0001,0.5,4,5,0.0,-0.11585441329342104,-0.11585441329342104,0.002952926210956064
0.001,0.5,4,5,0.0,-0.11585441329342104,-0.11585441329342104,0.002952926210956064
0.01,0.5,4,5,0.0,-0.11585441329342104,-0.11585441329342104,0.002952926210956064
0.1,0.5,4,5,0.0,-0.11585441329342104,-0.11585441329342104,0.002952926210956064
1e-05,0.5,4,20,-3.7585272791547643e-11,-0.11383466838784281,-0.11383466836138645,0.005905852384367383
0.0001,0.5,4,20,-3.75852697200829e-09,-0.11383467100703004,-0.11383466836138645,0.005905848667437888
0.001,0.5,4,20,-3.758500493027683e-07,-0.1138349329239393,-0.11383466836138645,0.005905476977136122
0.01,0.5,4,20,-3.755852229978753e-05,-0.11386110646597072,-0.11383466836138645,0.0058683344203878125
0.1,0.5,4,20,-0.003493731241125641,-0.11629709032547877,-0.11383466836138645,0.0024161105645137443
1e-05,0.5,8,1,0.0,-1.1889407665908904,-1.1889407665908904,0.5933982827093893
0.0001,0.5,8,1,0.0,-1.1889407665908904,-1.1889407665908904,0.5933982827093893
0.001,0.5,8,1,0.0,-1.1889407665908904,-1.1889407665908904,0.5933982827093893
0.01,0.5,8,1,0.0,-1.1889407665908904,-1.1889407665908904,0.5933982827093893
0.1,0.5,8,1,0.0,-1.1889407665908904,-1.1889407665908904,0.5933982827093893
1e-05,0.5,8,5,0.0,-1.1889407665908904,-1.1889407665908904,0.5933982827093893
0.0001,0.5,8,5,0.0,-1.1889407665908904,-1.1889407665908904,0.5933982827093893
0.001,0.5,8,5,0.0,-1.1889407665908904,-1.1889407665908904,0.5933982827093893
0.01,0.5,8,5,0.0,-1.1889407665908904,-1.1889407665908904,0.5933982827093893
0.1,0.5,8,5,0.0,-1.1889407665908904,-1.1889407665908904,0.5933982827093893
1e-05,0.5,8,20,-1.4319616812536182e-09,-1.163587960678313,-1.163587960730795,1.1867965642269884
0.0001,0.5,8,20,-1.4319620039147948e-07,-1.1635879554826494,-1.163587960730795,1.1867964462396972
0.001,0.5,8,20,-1.4319682220217093e-05,-1.1635874359175613,-1.163587960730795,1.1867846474425146
0.01,0.5,8,20,-0.0014325904710386418,-1.1635354930899686,-1.163587960730795,1.185604086344866
0.1,0.5,8,20,-0.14962770902654862,-1.1585019569238657,-1.163587960730795,1.0605966044127164
1e-05,0.5,12,1,0.0,-1.2805027809097969,-1.2805027809097969,2.003669962007857
