X,tr_Mzeros,tr_Marith,eta,lambda_min
500,6.362035104543552,6.393055301569902,0.004875829277363802,-0.27959308706518865
1000,6.362035104543552,6.368255128066558,0.0009776782775944644,-0.32511920694458324
2000,6.362035104543552,6.367058738726261,0.000789626919713294,-0.12062186904657338
3000,6.362035104543552,6.379664719891285,0.0027710653993629534,-0.07197786368442693
5000,6.362035104543552,6.345138945474448,0.0026557789750386485,-0.021323970314047636
7000,6.362035104543552,6.335088428502349,0.00423554343828734,-0.031419021610749456
10000,6.362035104543552,6.358053427680555,0.0006258495587604725,-0.011161446405123485
15000,6.362035104543552,6.36769296042025,0.0008893154130283105,-0.009390365375265433
20000,6.362035104543552,6.363957498440416,0.00030216650258516883,-0.002706626270765196
30000,6.362035104543552,6.362203543392411,2.647562393025507e-05,-0.00032755980374838886
50000,6.362035104543552,6.362054539989437,3.054910192305362e-06,-2.6989433280196405e-05
70000,6.362035104543552,6.362078520022784,6.824149587156345e-06,-6.796962363843102e-05
100000,6.362035104543552,6.362044530072174,1.4815272891007617e-06,-1.2356358058933967e-05
150000,6.362035104543552,6.362035316556022,3.3324630612457744e-08,-5.094743314025537e-07
200000,6.362035104543552,6.362034939311092,2.5971635962297014e-08,-3.898838485477973e-08
250000,6.362035104543552,6.3620353228724085,3.431745545877436e-08,-3.154377305987701e-07
300000,6.362035104543552,6.362035225795229,1.9058630634805815e-08,-1.4446564576576869e-07
