zero_index,gamma,K_quartet_per_zero,in_window
1,14.134725141734693,0.0,False
2,21.022039638771556,1214.9784890880255,False
3,25.01085758014569,846.1472888257049,False
4,30.424876125859512,447.41344333942834,False
5,32.93506158773919,302.35838727321607,False
6,37.58617815882567,100.37106714833044,False
7,40.9187190121475,10.040599381255788,False
8,43.327073280915,-10.17709363626551,True
9,48.00515088116716,-13.242888933895358,True
10,49.7738324776723,-6.371154250839339,True
11,52.970321477714464,48.26255872103502,False
12,56.44624769706339,167.09174926177184,False
13,59.34704400260235,303.5256489738458,False
14,60.83177852460981,386.40627781205694,False
15,65.1125440480816,674.7757483935857,False
16,67.07981052949417,831.8989168856206,False
17,69.54640171117398,1050.7893184694694,False
18,72.0671576744819,1299.6469110930775,False
19,75.70469069908393,0.0,False
20,77.1448400688748,0.0,False
