function,T0,sigma,J,trace_M_zeros,n_zeros_used,rho_RvM,tr_over_J,H1_rel_err
zeta,30.0,2.0,4,0.9812081045435727,26,0.24881015580846486,0.24530202613589316,0.014099624113704847
zeta,30.0,2.0,8,1.8244586984773008,26,0.24881015580846486,0.2280573373096626,0.08340824525980309
zeta,30.0,2.0,12,2.9746210763242087,26,0.24881015580846486,0.24788508969368406,0.003717959629802724
zeta,30.0,2.0,16,3.9664742922798806,26,0.24881015580846486,0.24790464326749254,0.003639371303112672
zeta,30.0,2.0,20,4.963456659327684,26,0.24881015580846486,0.2481728329663842,0.0025614824282786304
zeta,30.0,2.0,24,5.881836535080977,26,0.24881015580846486,0.2450765222950407,0.015005953037939166
zeta,30.0,2.0,28,6.879915201636472,26,0.24881015580846486,0.24571125720130257,0.012454871856387675
zeta,46.13,2.0,4,1.3009517437188498,36,0.31728913500010564,0.32523793592971245,0.025052231711634777
zeta,46.13,2.0,8,2.5683838538854213,36,0.31728913500010564,0.32104798173567767,0.0118467552807025
zeta,46.13,2.0,12,3.8393481528470668,36,0.31728913500010564,0.3199456794039222,0.00837262960112293
zeta,46.13,2.0,16,5.081141941328353,36,0.31728913500010564,0.31757137133302205,0.0008895241020979617
zeta,46.13,2.0,20,6.021985164808377,36,0.31728913500010564,0.30109925824041883,0.051025626073459514
zeta,46.13,2.0,24,7.326705629268158,36,0.31728913500010564,0.3052794012195066,0.03785107164351863
zeta,46.13,2.0,28,8.859989218911112,36,0.31728913500010564,0.31642818638968256,0.002713451282921449
zeta,60.0,2.0,4,1.4498176498672661,44,0.3591279558847907,0.36245441246681653,0.00926259436926984
zeta,60.0,2.0,8,2.849218821411223,44,0.3591279558847907,0.3561523526764029,0.008285635132627723
zeta,60.0,2.0,12,4.127223287203057,44,0.3591279558847907,0.3439352739335881,0.042304370078269427
zeta,60.0,2.0,16,5.779186769928586,44,0.3591279558847907,0.3611991731205366,0.00576735172466047
zeta,60.0,2.0,20,7.293460852268242,44,0.3591279558847907,0.3646730426134121,0.015440420712890137
zeta,60.0,2.0,24,8.911734706369876,44,0.3591279558847907,0.37132227943207813,0.033955372583691086
zeta,60.0,2.0,28,9.974858690739255,44,0.3591279558847907,0.35624495324068767,0.008027786745256591
zeta,85.7,2.0,4,1.7014234084257236,50,0.41586800825508496,0.4253558521064309,0.02281455573165004
zeta,85.7,2.0,8,3.2027466422907374,50,0.41586800825508496,0.40034333028634217,0.03733078202836962
zeta,85.7,2.0,12,4.942158025385643,50,0.41586800825508496,0.41184650211547025,0.009670150287559525
zeta,85.7,2.0,16,6.974669436324458,50,0.41586800825508496,0.4359168397702786,0.04820960284806546
zeta,85.7,2.0,20,8.269543031237223,50,0.41586800825508496,0.41347715156186116,0.005749075778287099
zeta,85.7,2.0,24,9.845057399014998,50,0.41586800825508496,0.4102107249589582,0.013603554935287749
zeta,85.7,2.0,28,11.644403837670541,50,0.41586800825508496,0.4158715656310908,8.55409874097103e-06
zeta,120.0,2.0,4,2.0504173256169445,56,0.46944575596111643,0.5126043314042361,0.09193517013431995
zeta,120.0,2.0,8,3.6224304080281895,56,0.46944575596111643,0.4528038010035237,0.03545021921333798
zeta,120.0,2.0,12,5.647125990410128,56,0.46944575596111643,0.47059383253417736,0.0024456000687671006
zeta,120.0,2.0,16,7.598631832643584,56,0.46944575596111643,0.474914489540224,0.01164934075910693
zeta,120.0,2.0,20,9.357207789713263,56,0.46944575596111643,0.4678603894856631,0.0033771025838917885
zeta,120.0,2.0,24,11.112680048760872,56,0.46944575596111643,0.46302833536503635,0.01367020686541605
zeta,120.0,2.0,28,13.14093465262703,56,0.46944575596111643,0.4693190947366796,0.00026981013850580334
Lchi,30.0,2.0,4,1.8647441607265551,24,0.5049601551718529,0.4661860401816388,0.0767864842266973
Lchi,30.0,2.0,8,4.233881988263306,24,0.5049601551718529,0.5292352485329133,0.04807328481748989
Lchi,30.0,2.0,12,6.01421627287485,24,0.5049601551718529,0.5011846894062375,0.0074767597541047165
Lchi,30.0,2.0,16,7.689969934747848,24,0.5049601551718529,0.4806231209217405,0.04819594972167615
Lchi,30.0,2.0,20,9.956550710768859,24,0.5049601551718529,0.49782753553844294,0.014125113754732788
Lchi,30.0,2.0,24,12.061931392266388,24,0.5049601551718529,0.5025804746777661,0.004712610430177191
Lchi,30.0,2.0,28,13.938242453692196,24,0.5049601551718529,0.49779437334614984,0.014190786643877507
Lchi,46.13,2.0,4,2.241248451972032,28,0.5734391343634937,0.560312112993008,0.022891743140370867
Lchi,46.13,2.0,8,4.66446768510863,28,0.5734391343634937,0.5830584606385788,0.01677479910010392
Lchi,46.13,2.0,12,6.976887710954358,28,0.5734391343634937,0.5814073092461965,0.013895415232773342
Lchi,46.13,2.0,16,8.826348317244989,28,0.5734391343634937,0.5516467698278118,0.03800292520996321
Lchi,46.13,2.0,20,11.479252122684057,28,0.5734391343634937,0.5739626061342029,0.0009128637013765371
Lchi,46.13,2.0,24,13.647506422874422,28,0.5734391343634937,0.5686461009531009,0.008358399563561365
Lchi,46.13,2.0,28,16.12055062499339,28,0.5734391343634937,0.575733950892621,0.004001848481573432
Lchi,60.0,2.0,4,2.4669621091669915,29,0.6152779552481787,0.6167405272917479,0.0023770915747813523
Lchi,60.0,2.0,8,4.844338825503316,29,0.6152779552481787,0.6055423531879145,0.01582309584996799
Lchi,60.0,2.0,12,7.3082591597678555,29,0.6152779552481787,0.6090215966473213,0.010168345131646925
Lchi,60.0,2.0,16,9.933337120867787,29,0.6152779552481787,0.6208335700542367,0.009029439066798702
Lchi,60.0,2.0,20,12.496757943277986,29,0.6152779552481787,0.6248378971638993,0.015537598631929555
Lchi,60.0,2.0,24,14.744598363321426,29,0.6152779552481787,0.6143582651383928,0.0014947555034943842
Lchi,60.0,2.0,28,17.146102486749122,29,0.6152779552481787,0.612360803098183,0.004741194000391431
Lchi,85.7,2.0,4,2.6688233940511084,32,0.6720180076184731,0.6672058485127771,0.007160759162912212
Lchi,85.7,2.0,8,5.410795783148435,32,0.6720180076184731,0.6763494728935544,0.006445460130497637
Lchi,85.7,2.0,12,8.095089427045949,32,0.6720180076184731,0.6745907855871623,0.003828436053085526
Lchi,85.7,2.0,16,10.774084989792696,32,0.6720180076184731,0.6733803118620435,0.002027184135136819
Lchi,85.7,2.0,20,13.394081173512113,32,0.6720180076184731,0.6697040586756057,0.0034432841332149404
Lchi,85.7,2.0,24,16.016309557257664,32,0.6720180076184731,0.6673462315524027,0.006951861427979338
Lchi,85.7,2.0,28,18.748064141519446,32,0.6720180076184731,0.6695737193399802,0.0036372362805500297
Lchi,120.0,2.0,4,2.9212618466801836,35,0.7255957553245046,0.7303154616700459,0.006504594756663836
Lchi,120.0,2.0,8,5.928613422071061,35,0.7255957553245046,0.7410766777588826,0.021335464438397362
Lchi,120.0,2.0,12,8.802114135106551,35,0.7255957553245046,0.7335095112588793,0.010906563160413585
Lchi,120.0,2.0,16,11.265936813927016,35,0.7255957553245046,0.7041210508704385,0.029595962071831648
Lchi,120.0,2.0,20,14.40561678982663,35,0.7255957553245046,0.7202808394913315,0.007324899290233794
Lchi,120.0,2.0,24,17.33488827353748,35,0.7255957553245046,0.722287011397395,0.0045600376005918136
Lchi,120.0,2.0,28,20.32621136662892,35,0.7255957553245046,0.7259361202367473,0.0004690833838883642
LDelta,85.7,2.0,4,3.320819034764254,80,0.8317360165101699,0.8302047586910635,0.0018410382485675781
LDelta,85.7,2.0,8,6.573733220592934,80,0.8317360165101699,0.8217166525741167,0.01204632688397073
LDelta,85.7,2.0,12,10.051376223619432,80,0.8317360165101699,0.8376146853016193,0.007067950256759744
LDelta,85.7,2.0,16,13.46547188369663,80,0.8317360165101699,0.8415919927310394,0.011849885090011501
LDelta,85.7,2.0,20,16.512245231560282,80,0.8317360165101699,0.8256122615780142,0.0073626184397425345
LDelta,85.7,2.0,24,19.62503921818648,80,0.8317360165101699,0.8177099674244367,0.01686358268406396
LDelta,85.7,2.0,28,23.304968036450134,80,0.8317360165101699,0.8323202870160762,0.0007024710897548526
